"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
NA,"GALNT7","ZNF395",NA,"GREB1","MTHFR",NA,"ITGA5","AP1M2",NA,"CRYGS",NA,NA,NA,NA,"SCRN1",NA,NA,NA,"PIPOX",NA,NA
NA,"NFIC","DUSP10",NA,"TEDC2","CENPK",NA,"DDHD2","AC097641.2",NA,"TRNAU1AP",NA,NA,NA,NA,"FLAD1",NA,NA,NA,"AC124016.2",NA,NA
NA,"AC096537.1","C1QL1",NA,"ZNF708","ZNF574",NA,"MTREX","ADAMTS17",NA,"ZDHHC5",NA,NA,NA,NA,"FBXL15",NA,NA,NA,"GRK2",NA,NA
NA,"CCDC14","BST2",NA,"PARN","MALSU1",NA,"HLA-DQA1","CDH1",NA,"CCDC88A",NA,NA,NA,NA,"RPN1",NA,NA,NA,"LGSN",NA,NA
NA,"AP000550.1","SPIDR",NA,"AC073257.2","TTC4",NA,"ARFGAP3","FAHD1",NA,"ANKRD52",NA,NA,NA,NA,"ESRP1",NA,NA,NA,"AL356417.2",NA,NA
NA,"BRF2","PRRG4",NA,"CHD6","PYGL",NA,"CFHR5","NAAA",NA,"DGUOK-AS1",NA,NA,NA,NA,"COA1",NA,NA,NA,"ASH2L",NA,NA
NA,"THADA","CBX3",NA,"AC063960.1","LRRC41",NA,"MAP3K6","AUH",NA,"FZD6",NA,NA,NA,NA,"PHB2",NA,NA,NA,"AC027279.1",NA,NA
NA,"CDH24","ORC2",NA,"ENTPD4","AL139243.1",NA,"NSF","PGAP3",NA,"GREB1L",NA,NA,NA,NA,"RABL6",NA,NA,NA,"PPP1R2",NA,NA
NA,"GTF2H3","MASTL",NA,"LGI2","NRDC",NA,"PITPNB","SAMD8",NA,"LENG9",NA,NA,NA,NA,"ARFGEF1",NA,NA,NA,"ETFDH",NA,NA
NA,"SNAPC2","FAM122B",NA,"VPS8","MTPN",NA,"PAXIP1-AS2","TMEM19",NA,"RILP",NA,NA,NA,NA,"TMEM205",NA,NA,NA,"RAB28",NA,NA
NA,"SRGAP2C","POLL",NA,"SEC14L5","LEFTY2",NA,"JPH1","PINK1",NA,"FGFBP3",NA,NA,NA,NA,"ACAA2",NA,NA,NA,"C3orf62",NA,NA
NA,"RFC3","CHIT1",NA,"UBE2S","PLA1A",NA,"EZH1","RAB11FIP2",NA,"KIAA1324L",NA,NA,NA,NA,"LRRC61",NA,NA,NA,"AC015982.2",NA,NA
NA,"BCO2","CCDC152",NA,"ZNF433","UBE2R2",NA,"IZUMO4","PIGO",NA,"LMBR1L",NA,NA,NA,NA,"ATF2",NA,NA,NA,"JMJD7",NA,NA
NA,"VARS2","KDM1B",NA,"ALPK1","LCAT",NA,"MHENCR","BMF",NA,"LIMK2",NA,NA,NA,NA,"PTBP3",NA,NA,NA,"FOXC1",NA,NA
NA,"UBA5","BATF",NA,"USP38","AP002840.2",NA,"DUS1L","PCID2",NA,"AL022345.4",NA,NA,NA,NA,"FBXW11",NA,NA,NA,"DPH1",NA,NA
NA,"MSTO1","C1QTNF1",NA,"NEK2","CR2",NA,"ING4","DPYS",NA,"TEX264",NA,NA,NA,NA,"COMMD6",NA,NA,NA,"L3MBTL3",NA,NA
NA,"MAP2K4","TNPO3",NA,"AC097662.1","BAG4",NA,"PDK1","RRN3",NA,"VNN1",NA,NA,NA,NA,"AGPS",NA,NA,NA,"AC174065.1",NA,NA
NA,"AQP7","ARHGAP45",NA,"TRIM23","CLK4",NA,"EFTUD2","CARD16",NA,"TLN1",NA,NA,NA,NA,"CSNK1A1",NA,NA,NA,"SIGLEC10",NA,NA
NA,"SENP5","TWNK",NA,"MAPK7","MUC2",NA,"NHLRC2","AFAP1-AS1",NA,"TIMELESS",NA,NA,NA,NA,"C9orf16",NA,NA,NA,"AC002550.2",NA,NA
NA,"LINC00339","IFI27",NA,"ZNF248","PDCD10",NA,"CRIP1","ING4",NA,"SLCO2A1",NA,NA,NA,NA,"COPS4",NA,NA,NA,"WDR59",NA,NA
NA,"ATOH7","NUFIP1",NA,"MAP3K12","FAR1",NA,"ZNF540","HAUS1",NA,"EXOSC3",NA,NA,NA,NA,"IER3IP1",NA,NA,NA,"DGLUCY",NA,NA
NA,"KAT7","IVD",NA,"NT5M","PUDP",NA,"ELL3","NCAPH",NA,"PRKAA2",NA,NA,NA,NA,"RPAP2",NA,NA,NA,"MRPL11",NA,NA
NA,"METTL22","CYBC1",NA,"AC064807.1","MIR194-2HG",NA,"NPC1L1","ZBED4",NA,"AC060780.1",NA,NA,NA,NA,"YIPF5",NA,NA,NA,"AC073352.1",NA,NA
NA,"MVB12B","MMP11",NA,"AC004233.2","DDX41",NA,"TFAP2A-AS2","ATP13A2",NA,"LINC02033",NA,NA,NA,NA,"KIF11",NA,NA,NA,"RGS19",NA,NA
NA,"PPP1R12A","AC105935.1",NA,"TUBB2B","ZNF780A",NA,"KLHL8","IQCN",NA,"CC2D1B",NA,NA,NA,NA,"HMGCS1",NA,NA,NA,"FAM110A",NA,NA
NA,"DMC1","CTSF",NA,"HPGD","DUSP12",NA,"TMEM217","SAP25",NA,"OGG1",NA,NA,NA,NA,"TRMT6",NA,NA,NA,"TBC1D2B",NA,NA
NA,"UTP20","TFDP2",NA,"GATA4","TMX3",NA,"IBA57","OCEL1",NA,"MCMBP",NA,NA,NA,NA,"IQANK1",NA,NA,NA,"SURF6",NA,NA
NA,"GRAMD2B","CDC42EP4",NA,"Z83745.1","FAM161A",NA,"INTS4","STON1",NA,"AC064836.3",NA,NA,NA,NA,"SESN1",NA,NA,NA,"USP1",NA,NA
NA,"FANCF","ZNF77",NA,"LINC00467","ARRDC4",NA,"TMEM220","EXD2",NA,"STX12",NA,NA,NA,NA,"GAB2",NA,NA,NA,"ALDH5A1",NA,NA
NA,"AC022413.2","SLC35E3",NA,"AC005523.2","MRPL2",NA,"CARD19","CCDC150",NA,"TMF1",NA,NA,NA,NA,"BAG2",NA,NA,NA,"AC091607.2",NA,NA
NA,"BX323046.2","ANAPC2",NA,"TMEM161B-AS1","PRKX",NA,"EDEM1","ZNF224",NA,"GNB2",NA,NA,NA,NA,"DDX42",NA,NA,NA,"SLC6A9",NA,NA
NA,"ULK3","AC018648.1",NA,"EPOP","SBNO1",NA,"GSTA4","C1GALT1",NA,"SYNE2",NA,NA,NA,NA,"GGA2",NA,NA,NA,"AC008771.1",NA,NA
NA,"SYNGAP1","NETO2",NA,"LINC02649","GOSR2",NA,"IQCE","ZFP41",NA,"SLC66A2",NA,NA,NA,NA,"UBE2M",NA,NA,NA,"AC024257.5",NA,NA
NA,"AC012063.1","FLYWCH1",NA,"ZBED3","RSBN1L",NA,"SS18L1","SRR",NA,"AAMDC",NA,NA,NA,NA,"ZDHHC5",NA,NA,NA,"PLEKHF2",NA,NA
NA,"C11orf1","CNPY4",NA,"DYRK1A","CHMP7",NA,"TBXAS1","ATP1B2",NA,"STIM2",NA,NA,NA,NA,"LETMD1",NA,NA,NA,"FBXW9",NA,NA
NA,"SINHCAF","KIAA1217",NA,"PREX2","CDYL",NA,"CHCHD5","PTPN4",NA,"PRKACB",NA,NA,NA,NA,"G3BP2",NA,NA,NA,"XRRA1",NA,NA
NA,"DEDD","UNC93A",NA,"FAM155B","OCEL1",NA,"LINC01641","PCAT6",NA,"AC007952.4",NA,NA,NA,NA,"GID8",NA,NA,NA,"OTUD6B-AS1",NA,NA
NA,"SDF2","ATP1B3",NA,"USP24","POLA2",NA,"GAS8","LENG8",NA,"C20orf194",NA,NA,NA,NA,"TUBA1B",NA,NA,NA,"FAM102B",NA,NA
NA,"KMT2C","LRRC8E",NA,"AC017083.2","CRIPT",NA,"FNIP2","SMARCA2",NA,"AC009283.1",NA,NA,NA,NA,"PGAM1",NA,NA,NA,"DHRS7B",NA,NA
NA,"BCAM","AC084756.1",NA,"ZNF19","AL035701.1",NA,"YY1","RASIP1",NA,"C14orf28",NA,NA,NA,NA,"SV2B",NA,NA,NA,"SNHG4",NA,NA
NA,"FAM200A","FOSL2",NA,"NOP14-AS1","SLC26A1",NA,"DIDO1","AC096751.2",NA,"TMEM245",NA,NA,NA,NA,"SEPTIN10",NA,NA,NA,"KCNJ3",NA,NA
NA,"AC011337.1","AC090517.2",NA,"PNO1","LTO1",NA,"CYTOR","HOXD1",NA,"TEDC2",NA,NA,NA,NA,"TAF7",NA,NA,NA,"FBXL2",NA,NA
NA,"HOXD1","DPH5",NA,"GYG1","PTPN6",NA,"NBPF11","CAV2",NA,"SNX11",NA,NA,NA,NA,"MED24",NA,NA,NA,"PIK3IP1",NA,NA
NA,"GFM1","SENP1",NA,"SEMA3C","LINC02802",NA,"ZNF562","GLIS2",NA,"TMEM88",NA,NA,NA,NA,"HMGCR",NA,NA,NA,"DNAH10OS",NA,NA
NA,"RASA3","MRPL48",NA,"RAD51D","KDM4C",NA,"APEX2","SULT1A1",NA,"SHROOM2",NA,NA,NA,NA,"MRPS18A",NA,NA,NA,"AFAP1",NA,NA
NA,"EGR1","BRCA1",NA,"GTF2IRD1","COX19",NA,"CCDC84","TRAFD1",NA,"C1orf112",NA,NA,NA,NA,"PBXIP1",NA,NA,NA,"STXBP6",NA,NA
NA,"EIF4E3","PNLIP",NA,"ARID2","HJURP",NA,"SLC25A14","AL451085.2",NA,"MAOB",NA,NA,NA,NA,"DHX36",NA,NA,NA,"MOB1B",NA,NA
NA,"C4orf19","AC007877.1",NA,"IFT57","KLHDC8B",NA,"ESPL1","HDHD3",NA,"FSD1",NA,NA,NA,NA,"ALDH9A1",NA,NA,NA,"OSMR",NA,NA
NA,"CYBRD1","KCNIP4",NA,"HMGCL","SLC4A1AP",NA,"EEF1AKMT2","TYW1",NA,"CBARP",NA,NA,NA,NA,"NBR1",NA,NA,NA,"BRD3OS",NA,NA
NA,"ZNF362","SP5",NA,"TMEM256","RP2",NA,"MATN2","FCGR3A",NA,"AC018845.3",NA,NA,NA,NA,"CELF1",NA,NA,NA,"CD84",NA,NA
NA,"SLC41A1","UBR7",NA,"AC245884.9","CDAN1",NA,"AC108449.2","GAL3ST1",NA,"RELL2",NA,NA,NA,NA,"CAMLG",NA,NA,NA,"C12orf29",NA,NA
NA,"ZCRB1","NOXA1",NA,"AL357079.1","THBS3",NA,"CD1B","CDC34",NA,"IMP4",NA,NA,NA,NA,"NT5C3A",NA,NA,NA,"MINDY1",NA,NA
NA,"TMEM266","ZNF177",NA,"PHAX","TSN",NA,"NAT9","SNRNP48",NA,"DOT1L",NA,NA,NA,NA,"NONO",NA,NA,NA,"PBX3",NA,NA
NA,"KLC3","CD3EAP",NA,"GTF3C6","ARHGEF15",NA,"AL365226.2","AL159169.2",NA,"ENTR1",NA,NA,NA,NA,"EIF1AX",NA,NA,NA,"RIN3",NA,NA
NA,"SLC35B4","POLR2A",NA,"AC005786.3","TBC1D10A",NA,"SARDH","AL590714.1",NA,"FBRS",NA,NA,NA,NA,"DDIT4-AS1",NA,NA,NA,"RPS6KL1",NA,NA
NA,"USP40","STK4",NA,"RNF6","CCDC136",NA,"DNAJC12","PRICKLE4",NA,"MLIP",NA,NA,NA,NA,"REN",NA,NA,NA,"ATP8B1",NA,NA
NA,"RFX6","ELAVL4",NA,"ID3","AC005332.5",NA,"SEC22C","AC119673.2",NA,"NEU4",NA,NA,NA,NA,"UBA2",NA,NA,NA,"BCL6B",NA,NA
NA,"FBXO36","CAMK2G",NA,"TRIM52-AS1","EHHADH",NA,"ANKIB1","MMP23B",NA,"ABI1",NA,NA,NA,NA,"PSMB3",NA,NA,NA,"RNF139",NA,NA
NA,"DCK","TSSC4",NA,"FAM49B","DRC3",NA,"AC239809.3","MTNR1B",NA,"ZER1",NA,NA,NA,NA,"SLC25A6",NA,NA,NA,"TAF9B",NA,NA
NA,"GRB7","DIO2",NA,"ZHX3","ACOX3",NA,"SHPK","KCNK1",NA,"PHETA2",NA,NA,NA,NA,"PID1",NA,NA,NA,"CRYGS",NA,NA
NA,"PES1","C17orf107",NA,"CKS1B","FBN1",NA,"ZNF138","FAM72A",NA,"AC092368.3",NA,NA,NA,NA,"CCDC138",NA,NA,NA,"GPX7",NA,NA
NA,"TMED1","DNASE1L3",NA,"TRMT11","PLEKHO1",NA,"AL603839.3","ENTPD1",NA,"SERPINA10",NA,NA,NA,NA,"SIK1B",NA,NA,NA,"AL031847.1",NA,NA
NA,"TELO2","AC135050.6",NA,"FOLR3","CUL9",NA,"TRIM3","TMEM201",NA,"ADARB1",NA,NA,NA,NA,"MTUS1",NA,NA,NA,"NFATC2IP",NA,NA
NA,"LRRC20","ZNF185",NA,"LINC01619","KCNK13",NA,"PLEKHN1","AC108673.3",NA,"GLT1D1",NA,NA,NA,NA,"GALR2",NA,NA,NA,"PUS3",NA,NA
NA,"NHLRC3","SPRYD7",NA,"SUZ12","ZNF710-AS1",NA,"CRIPAK","SNRPG",NA,"PDK1",NA,NA,NA,NA,"RABGAP1L",NA,NA,NA,"KIDINS220",NA,NA
NA,"ASPG","RPS6KC1",NA,"AC159540.2","HDDC2",NA,"ZC3H3","TLR3",NA,"CCDC82",NA,NA,NA,NA,"RNF10",NA,NA,NA,"NOL7",NA,NA
NA,"PITPNM2","LRRC17",NA,"ABLIM1","FGFR3",NA,"ZNF329","ZNF655",NA,"CSGALNACT2",NA,NA,NA,NA,"ATPSCKMT",NA,NA,NA,"AC007192.2",NA,NA
NA,"SDCBP2-AS1","SERTAD3",NA,"GTF2H5","HES6",NA,"EBAG9","ADGRB2",NA,"SBF1",NA,NA,NA,NA,"UBL3",NA,NA,NA,"ADGRL4",NA,NA
NA,"MTERF2","ADORA2A-AS1",NA,"AC011503.2","AL391832.2",NA,"DAPK3","EVI5",NA,"PCDH17",NA,NA,NA,NA,"SEPTIN3",NA,NA,NA,"OSBPL5",NA,NA
NA,"ZDHHC21","MRPL15",NA,"AC010642.2","RWDD4",NA,"PPT1","GLIDR",NA,"SPECC1L",NA,NA,NA,NA,"TRIM44",NA,NA,NA,"TCP1",NA,NA
NA,"TAF11","INAFM2",NA,"FLYWCH2","TRAFD1",NA,"SLC12A5","TADA1",NA,"ZNF574",NA,NA,NA,NA,"MICA",NA,NA,NA,"DLGAP1-AS1",NA,NA
NA,"MIPEP","AC069544.1",NA,"SMAD7","SNTB2",NA,"DDX21","WDR89",NA,"HMGCLL1",NA,NA,NA,NA,"HSD17B11",NA,NA,NA,"RABEP2",NA,NA
NA,"USE1","IER5",NA,"FAM210B","AC243830.2",NA,"CNP","EEF1AKMT3",NA,"GEN1",NA,NA,NA,NA,"TM9SF4",NA,NA,NA,"POLB",NA,NA
NA,"TRMT13","TCTN2",NA,"OSBPL11","COL4A4",NA,"PTPRA","YTHDF1",NA,"KLHL35",NA,NA,NA,NA,"RANGAP1",NA,NA,NA,"EDARADD",NA,NA
NA,"ARL4C","HSDL1",NA,"SLC17A9","GLT8D1",NA,"IFFO1","CPVL",NA,"LINC00342",NA,NA,NA,NA,"GATA4",NA,NA,NA,"CENPI",NA,NA
NA,"CNNM2","WDHD1",NA,"AP5S1","PSME4",NA,"SLC7A5","ATP2B3",NA,"CELSR2",NA,NA,NA,NA,"TAF9",NA,NA,NA,"CNRIP1",NA,NA
NA,"C14orf132","SLC26A9",NA,"NT5C3A","PCSK1",NA,"SCML1","TRIM3",NA,"AC138932.2",NA,NA,NA,NA,"DCAF5",NA,NA,NA,"RAB40C",NA,NA
NA,"DOK6","TRIM35",NA,"CIR1","KMT2C",NA,"TCTA","GCOM1",NA,"RAB3IL1",NA,NA,NA,NA,"ADH1C",NA,NA,NA,"CABLES1",NA,NA
NA,"CRYZL1","RTCB",NA,"CACYBP","TMEM44-AS1",NA,"NUMB","IGLV9-49",NA,"AP000254.2",NA,NA,NA,NA,"GPX7",NA,NA,NA,"VASP",NA,NA
NA,"KDM4D","TNFRSF13C",NA,"EIF3G","B4GALT6",NA,"TCTN1","EXOC3L1",NA,"POLDIP2",NA,NA,NA,NA,"PAM",NA,NA,NA,"TCF7",NA,NA
NA,"C1orf109","CDK6",NA,"CXCL10","KCTD21",NA,"PUS10","PAK1IP1",NA,"DDX31",NA,NA,NA,NA,"SPRYD4",NA,NA,NA,"UBFD1",NA,NA
NA,"ADGRL1","AC008875.3",NA,"BMP8B","RTN2",NA,"SIRT3","TTC26",NA,"AC097376.3",NA,NA,NA,NA,"RNF25",NA,NA,NA,"PIK3CA",NA,NA
NA,"LBX2-AS1","PRUNE1",NA,"TMEM82","AC097065.2",NA,"ZNF653","MBD4",NA,"CLK2",NA,NA,NA,NA,"PDCL3",NA,NA,NA,"AC006058.3",NA,NA
NA,"CCDC63","PGBD2",NA,"AC109322.1","MAPK1",NA,"ZNF76","VNN2",NA,"TUBGCP3",NA,NA,NA,NA,"HSPA4L",NA,NA,NA,"SEMA3G",NA,NA
NA,"TBC1D10B","STOML2",NA,"AC010240.3","ALG6",NA,"NCOA3","YBEY",NA,"NATD1",NA,NA,NA,NA,"ZNHIT1",NA,NA,NA,"GKAP1",NA,NA
NA,"SGTB","CCDC102B",NA,"ZSCAN21","C6",NA,"LRRC24","AC010422.2",NA,"ZDHHC23",NA,NA,NA,NA,"PCED1B-AS1",NA,NA,NA,"POLH",NA,NA
NA,"MYO5B","PLSCR3",NA,"AL024508.2","MAGEH1",NA,"TNFSF4","WNT9A",NA,"CDKN2B-AS1",NA,NA,NA,NA,"FAM89B",NA,NA,NA,"MASP2",NA,NA
NA,"ETV1","SLC26A11",NA,"AC083843.3","ZDHHC8",NA,"AC026803.3","DTNBP1",NA,"LDLRAP1",NA,NA,NA,NA,"ATP5PO",NA,NA,NA,"AC009133.1",NA,NA
NA,"IL10RA","GEMIN6",NA,"ANKRD36C","PNO1",NA,"IL18R1","ARID4A",NA,"ZNF519",NA,NA,NA,NA,"EXOSC10",NA,NA,NA,"LHX5",NA,NA
NA,"MYO1B","PCSK4",NA,"C1QTNF3","CFD",NA,"BBIP1","ZNF367",NA,"NPDC1",NA,NA,NA,NA,"IWS1",NA,NA,NA,"DTWD1",NA,NA
NA,"IGFBP2","AC107081.2",NA,"CARMN","RNASEH1",NA,"NRARP","RBM12B",NA,"RGN",NA,NA,NA,NA,"EIF2A",NA,NA,NA,"KIF23",NA,NA
NA,"NIPA1","ART4",NA,"ZNF630","CCDC157",NA,"WDR72","RPUSD1",NA,"NAAA",NA,NA,NA,NA,"ACYP2",NA,NA,NA,"CLDND2",NA,NA
NA,"UBN1","CDCA7",NA,"PRPS1","ICOSLG",NA,"UHMK1","AC097717.1",NA,"RECQL5",NA,NA,NA,NA,"MRPL30",NA,NA,NA,"OSBPL3",NA,NA
NA,"IFT74","DRAM1",NA,"NUTM2A-AS1","ENO4",NA,"RAB2B","USP35",NA,"L2HGDH",NA,NA,NA,NA,"PROS1",NA,NA,NA,"MAGEA1",NA,NA
NA,"GEM","SPINT1",NA,"INTS10","PAQR3",NA,"NR1D1","AC091271.1",NA,"EMC1",NA,NA,NA,NA,"NOP16",NA,NA,NA,"ICAM4",NA,NA
NA,"MS4A6A","BLOC1S3",NA,"DIPK1A","XPO4",NA,"AC010336.2","TAF6",NA,"FAM122A",NA,NA,NA,NA,"RAC1",NA,NA,NA,"ZNF138",NA,NA
NA,"TANGO2","ZNF383",NA,"ZNF394","CAPN5",NA,"ARPC4","AMPD2",NA,"LYRM9",NA,NA,NA,NA,"NUCB2",NA,NA,NA,"DAPK2",NA,NA
NA,"SLC35C1","IL11RA",NA,"BX322562.1","SCN9A",NA,"PCMTD1","GOPC",NA,"GMFB",NA,NA,NA,NA,"FBXO36",NA,NA,NA,"SILC1",NA,NA
NA,"RBM8A","SETMAR",NA,"KLHL2","HLA-F",NA,"AL513548.1","CATSPERB",NA,"ANKRD12",NA,NA,NA,NA,"RRM2",NA,NA,NA,"LDLRAD3",NA,NA
NA,"TENT4A","LNPK",NA,"CLEC1A","HERC4",NA,"CENPU","IFFO2",NA,"WWC3",NA,NA,NA,NA,"CLTB",NA,NA,NA,"ATP6AP1L",NA,NA
NA,"KIF18A","CHORDC1",NA,"CHST10","USF3",NA,"LMBR1L","ZNF524",NA,"SHROOM4",NA,NA,NA,NA,"AL627171.2",NA,NA,NA,"ERLIN2",NA,NA
NA,"ICAM4","TMEM65",NA,"AL354696.1","PLPP5",NA,"ZNF75A","ZBTB47",NA,"PLEKHA5",NA,NA,NA,NA,"CCDC34",NA,NA,NA,"ATP2B1",NA,NA
NA,"CYP20A1","TXNDC12",NA,"SPAG16","ORC3",NA,"GOLGA6L9","MRM1",NA,"LINC00839",NA,NA,NA,NA,"ZNF845",NA,NA,NA,"AC007038.2",NA,NA
NA,"SPHK1","BCL7A",NA,"SPACA9","KPNA3",NA,"HSPA1A","CUL7",NA,"HCST",NA,NA,NA,NA,"GSPT1",NA,NA,NA,"NANP",NA,NA
NA,"FCGR3A","KIF18B",NA,"ZNF582","CSNK1A1",NA,"NR4A2","AC244090.1",NA,"ATP13A1",NA,NA,NA,NA,"RAD50",NA,NA,NA,"PDE1A",NA,NA
NA,"SLC22A1","EXD3",NA,"LINC02315","SERPINE2",NA,"TRPM8","AC067852.3",NA,"AL133338.1",NA,NA,NA,NA,"DCUN1D1",NA,NA,NA,"NUDT10",NA,NA
NA,"PYCR2","MEX3C",NA,"CNOT8","RNASEH2A",NA,"TBC1D23","TDP2",NA,"NOP9",NA,NA,NA,NA,"B4GALT4",NA,NA,NA,"CCDC78",NA,NA
NA,"OXCT1","COL27A1",NA,"CDK13","DNAJC22",NA,"CEP57","TNIK",NA,"DIS3L2",NA,NA,NA,NA,"AL161645.1",NA,NA,NA,"AC091544.4",NA,NA
NA,"CHD1","PNMA8A",NA,"ATP5PD","SLC5A3",NA,"PHYHIP","CPM",NA,"PLEKHA8",NA,NA,NA,NA,"CASC4",NA,NA,NA,"LINC02018",NA,NA
NA,"SNAPC1","C1orf112",NA,"P2RY1","PRIM1",NA,"AC116036.2","FZD8",NA,"BFAR",NA,NA,NA,NA,"PNN",NA,NA,NA,"NOX4",NA,NA
NA,"THAP9-AS1","TTPAL",NA,"AC073611.1","ZFYVE1",NA,"ZNF525","C4orf33",NA,"C1QC",NA,NA,NA,NA,"DEPTOR",NA,NA,NA,"AC093388.1",NA,NA
NA,"NUDT11","TM2D3",NA,"BOLA3-AS1","STXBP4",NA,"ZSWIM1","PPFIBP2",NA,"PSPC1",NA,NA,NA,NA,"SLC26A9",NA,NA,NA,"ZC3H8",NA,NA
NA,"ZSCAN31","AC009407.1",NA,"TBCA","FBXO42",NA,"CCN1","ZNF783",NA,"SBNO1-AS1",NA,NA,NA,NA,"DNALI1",NA,NA,NA,"CCDC66",NA,NA
NA,"PLA2G5","PDS5B",NA,"IQCC","EMC8",NA,"NSFL1C","CMPK2",NA,"CABLES1",NA,NA,NA,NA,"MRPS24",NA,NA,NA,"MYEF2",NA,NA
NA,"RCN3","MFAP1",NA,"AQR","HCRT",NA,"KIAA1143","UBAP2L",NA,"AP1AR",NA,NA,NA,NA,"COPA",NA,NA,NA,"EFNA2",NA,NA
NA,"ENGASE","SLC2A13",NA,"AL157700.1","PPP3CA",NA,"CFHR2","SPATA41",NA,"MFSD14C",NA,NA,NA,NA,"VPS51",NA,NA,NA,"SYT7",NA,NA
NA,"MTSS1","SLC6A8",NA,"ELL","RANBP1",NA,"AC084024.3","ZNF518A",NA,"STRADA",NA,NA,NA,NA,"COX16",NA,NA,NA,"CEP164",NA,NA
NA,"KAT6A","DIDO1",NA,"GNAI1","DMAC1",NA,"RBAK","PARP2",NA,"PLEKHB1",NA,NA,NA,NA,"TMEM183A",NA,NA,NA,"IFNAR2",NA,NA
NA,"IL10RB","AL133395.1",NA,"ERP27","ITM2C",NA,"RELT","PCBP1-AS1",NA,"RCOR3",NA,NA,NA,NA,"LTBP3",NA,NA,NA,"CCNT1",NA,NA
NA,"SLC2A1","AC006064.2",NA,"NDUFA7","AC002467.1",NA,"TMEM117","AC024075.2",NA,"ZNF444",NA,NA,NA,NA,"TOB1",NA,NA,NA,"PYM1",NA,NA
NA,"KCTD1","DCPS",NA,"FIZ1","PPRC1",NA,"MPEG1","LGI3",NA,"PLSCR4",NA,NA,NA,NA,"NEDD8",NA,NA,NA,"MAFG",NA,NA
NA,"SKAP2","DSCAS",NA,"ZNF341","CUL2",NA,"TTC19","STAG2",NA,"MYH4",NA,NA,NA,NA,"HUNK",NA,NA,NA,"ACSS3",NA,NA
NA,"LYPLAL1-AS1","DEF8",NA,"HEATR5A","POLR3E",NA,"CISH","NAA40",NA,"NFYA",NA,NA,NA,NA,"TAGLN",NA,NA,NA,"SPATA2",NA,NA
NA,"EVA1B","C5orf63",NA,"SNHG16","LINC00960",NA,"GID4","MIS18A",NA,"CFAP74",NA,NA,NA,NA,"ATP6V1D",NA,NA,NA,"CCAR2",NA,NA
NA,"SCO2","MED12",NA,"THEM4","NRDE2",NA,"TSR2","MFAP2",NA,"RAD51D",NA,NA,NA,NA,"ELAVL1",NA,NA,NA,"ADCY6",NA,NA
NA,"AVPI1","DHX34",NA,"TRIM46","MFAP2",NA,"MAP3K21","ADAMTS18",NA,"REEP1",NA,NA,NA,NA,"TOP2A",NA,NA,NA,"AC096677.1",NA,NA
NA,"SLC25A26","ANPEP",NA,"AC245884.8","PNKD",NA,"PROZ","ADORA2B",NA,"LEF1-AS1",NA,NA,NA,NA,"SLMAP",NA,NA,NA,"LINGO1-AS1",NA,NA
NA,"PVT1","MID1",NA,"ASNS","AC137936.1",NA,"ZFYVE27","LPAR6",NA,"CARD10",NA,NA,NA,NA,"AK6",NA,NA,NA,"AC013468.1",NA,NA
NA,"EIF4E","GDF15",NA,"CKAP2L","PLAU",NA,"ZBTB37","CYP4V2",NA,"AC004233.2",NA,NA,NA,NA,"SEPTIN8",NA,NA,NA,"CLEC2B",NA,NA
NA,"ING4","MAPK8IP2",NA,"AC107308.1","SUPT7L",NA,"COMMD6","KIF24",NA,"AL355388.2",NA,NA,NA,NA,"GHRH",NA,NA,NA,"LPAR3",NA,NA
NA,"ITGAL","LINC01197",NA,"AC021321.1","MGLL",NA,"SNAP25","CARD9",NA,"ABITRAM",NA,NA,NA,NA,"SLC35G1",NA,NA,NA,"WDCP",NA,NA
NA,"JUN","TMEM200B",NA,"RHBDL3","PSMF1",NA,"SYNJ1","HLCS",NA,"ESYT1",NA,NA,NA,NA,"C4orf36",NA,NA,NA,"WSCD1",NA,NA
NA,"MEF2B","DCLRE1C",NA,"ITPR1","RAP2B",NA,"ZNF644","NAT10",NA,"RBM19",NA,NA,NA,NA,"ERI3",NA,NA,NA,"TAMM41",NA,NA
NA,"LRIG3","PAOX",NA,"SAMD9","AC253536.3",NA,"THUMPD3-AS1","FBXO27",NA,"AC015802.5",NA,NA,NA,NA,"CU638689.5",NA,NA,NA,"AC020663.3",NA,NA
NA,"GMEB2","CXCL17",NA,"DACT1","LINC01116",NA,"OSGIN2","STAT5A",NA,"LCMT1-AS1",NA,NA,NA,NA,"CFAP97",NA,NA,NA,"RCSD1",NA,NA
NA,"PAPSS2","LONRF1",NA,"ST7","NOL10",NA,"DEAF1","C6orf226",NA,"ANKZF1",NA,NA,NA,NA,"PROSER2",NA,NA,NA,"FAM120C",NA,NA
NA,"METTL4","MAFK",NA,"WBP4","AC005703.3",NA,"C6orf99","PDLIM4",NA,"TP53I11",NA,NA,NA,NA,"DHRS2",NA,NA,NA,"LINC01485",NA,NA
NA,"CDC40","PEX3",NA,"CBLB","RUVBL2",NA,"ERGIC1","NT5C3A",NA,"ZNF644",NA,NA,NA,NA,"SLC39A1",NA,NA,NA,"NGFR",NA,NA
