"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"RELL2","BTN2A2","CMTR1","AC009093.6","GUCY1A1","IKZF1","ZNF628",NA,NA,NA,"CCDC121","AC027601.6"
"FCHSD1","AC139530.1","MED20","PUS7","STOX2","CLDN4","FAM13C",NA,NA,NA,"INHA","TMEM17"
"ARAP3","BRCA1","BYSL","GAN","PDLIM3","TMEM60","AP004608.1",NA,NA,NA,"CCDC149","MED17"
"PCDH12","LINC01515","GTPBP2","KCNC4","TRIO","KRIT1","TUBD1",NA,NA,NA,"CA2","ARHGAP42"
"SMIM3","FOXD2-AS1","ENPP4","LHX9","MYO10","LRCH4","ZNF213-AS1",NA,NA,NA,"IGHG1","UPRT"
"SH3PXD2B","SLC16A13","CENPQ","MICU3","LINC02241","CAV2","SSTR3",NA,NA,NA,"AC016588.2","ST3GAL6"
"LINC01485","SENP3","PAQR8","AL589765.5","ADAMTS12","ST7-AS1","ZFYVE1",NA,NA,NA,"APOO","KRT6C"
"UIMC1","ZNF322","ICK","NR4A3","FYB1","GCC1","BMP4",NA,NA,NA,"SYP","HOXC6"
"AC139795.2","HOXD8","AL135905.2","TLE2","C9","BPGM","DTWD2",NA,NA,NA,"AC112484.3","IKBKE"
"RUFY1","PTGDR2","AL080250.1","FAM169A","DAB2","UBN2","AL050341.2",NA,NA,NA,"MUC3A","OSGEPL1"
"TBC1D9B","TRIM71","AFG1L","NAALAD2","C5orf34","TBXAS1","CYP1B1",NA,NA,NA,"PRKAG2-AS1","TEKT4"
"BTNL9","NLGN2","CEP57L1","RUNDC3A","CCNO","AC004918.4","GPR27",NA,NA,NA,"ALOX5","UPK1A-AS1"
"AC008443.5","BCORL1","L3MBTL3","C5orf22","SGTB","AC005229.4","DIP2C",NA,NA,NA,"PSD","SNX24"
"TRIM52-AS1","ERVK9-11","PEX7","AC112220.2","AC010359.3","ARHGEF10","PCDHB15",NA,NA,NA,"RNFT1-DT","PLA2G4C"
"GMDS","PRH1","REPS1","LRCH1","GTF2H2C","NAT1","PKN3",NA,NA,NA,"AC145207.3","AL050309.1"
"ATXN1","PPIP5K1","ERMARD","AC010997.5","BDP1","NAT2","AL390957.1",NA,NA,NA,"C19orf44","AC109439.2"
"HMGN4","SARM1","AC093627.5","EAF2","MAP1B","HR","ZNF107",NA,NA,NA,"LINC01301","AL592211.2"
"ZNF184","POGLUT3","CYP2W1","AL160006.1","F2R","MAK16","CEACAM19",NA,NA,NA,"SLC27A4","THRSP"
"HIST1H4J","ZWILCH","ELFN1","LRMP","HOMER1","PIP4P2","LINC02245",NA,NA,NA,"AC104825.1","BBS2"
"ZKSCAN8","MKI67","FOXK1","LINC00672","THBS4","PLEKHF2","AL355472.3",NA,NA,NA,"AC005225.2","SLC41A1"
"ZSCAN31","ZNF763","UMAD1","ZNF621","VCAN","VPS13B-DT","TROAP",NA,NA,NA,"ENPP7","DCXR-DT"
"HLA-F-AS1","SIRT4","AC073332.1","GP1BB","EDIL3","FBXO43","FEN1",NA,NA,NA,"HSD11B1","ZNF497"
"PRR3","CEP85","KLHL7","FAM99A","ERAP2","AZIN1-AS1","MHENCR",NA,NA,NA,"NHLRC1","MIOS"
"IER3","TMEM25","MPP6","AC008759.3","ST8SIA4","ANGPT1","OGFRP1",NA,NA,NA,"LRRC1","CDH23"
"CCHCR1","FAM161B","HOXA3","CADPS2","CCDC112","AC104958.2","DUSP28",NA,NA,NA,"AP002387.2","CNBD2"
