"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"GUF1",NA,"OVGP1",NA,"BIVM","MTMR8",NA,NA,NA,NA,NA,NA
"ICOS",NA,"PFKFB2",NA,"CLEC12A","SPG21",NA,NA,NA,NA,NA,NA
"SHANK2",NA,"AC004865.2",NA,"CCAR1","BFAR",NA,NA,NA,NA,NA,NA
"FAM131B",NA,"OR56A1",NA,"STON2","RTEL1",NA,NA,NA,NA,NA,NA
"EFNA4",NA,"DAP3",NA,"PLK2","C1QL1",NA,NA,NA,NA,NA,NA
"AL928654.2",NA,"ERBB2",NA,"DHODH","ASGR2",NA,NA,NA,NA,NA,NA
"AC007786.2",NA,"EBAG9",NA,"ARMCX4","AC026691.1",NA,NA,NA,NA,NA,NA
"SLC37A4",NA,"AL360270.2",NA,"RPLP2","POLR2A",NA,NA,NA,NA,NA,NA
"SLC17A7",NA,"AC073352.2",NA,"PRCC","NPAS2",NA,NA,NA,NA,NA,NA
"AL355601.1",NA,"POLH-AS1",NA,"LINC01374","TMEM37",NA,NA,NA,NA,NA,NA
"AC010641.2",NA,"AC245014.1",NA,"TMEM123","ANAPC5",NA,NA,NA,NA,NA,NA
"ROCK2",NA,"AP002449.1",NA,"NUMBL","AC015961.2",NA,NA,NA,NA,NA,NA
"TOR1AIP1",NA,"ITGB3",NA,"ZBTB14","JADE2",NA,NA,NA,NA,NA,NA
"CFL1",NA,"SLC45A2",NA,"ARMC7","AL731537.1",NA,NA,NA,NA,NA,NA
"NPPA",NA,"BAMBI",NA,"FAM43A","CFAP74",NA,NA,NA,NA,NA,NA
"AC145343.1",NA,"MLLT3",NA,"RCAN2","NECAB3",NA,NA,NA,NA,NA,NA
"DMD",NA,"AL133215.1",NA,"SNX2","SGSM3",NA,NA,NA,NA,NA,NA
"AL358472.4",NA,"EAPP",NA,"RGS10","HSFX3",NA,NA,NA,NA,NA,NA
"ESR1",NA,"AC025171.5",NA,"ZSWIM1","PPP1R3D",NA,NA,NA,NA,NA,NA
"COPS5",NA,"PNPLA8",NA,"CAPZA2","SNAP25",NA,NA,NA,NA,NA,NA
"TCEAL7",NA,"EMP3",NA,"DBNDD1","CD80",NA,NA,NA,NA,NA,NA
"SNRPA",NA,"NDUFA6",NA,"AL021578.1","PYURF",NA,NA,NA,NA,NA,NA
"AC092919.1",NA,"PRKAR2A",NA,"DNAJC10","WASHC5",NA,NA,NA,NA,NA,NA
"AL122125.1",NA,"PRELID3B",NA,"HMGN3-AS1","GTPBP6",NA,NA,NA,NA,NA,NA
"ATG9B",NA,"UBE2W",NA,"DMTF1","PPIC",NA,NA,NA,NA,NA,NA
"CSNK2B",NA,"TNFRSF1A",NA,"DLL1","TRPC7-AS1",NA,NA,NA,NA,NA,NA
"STYX",NA,"MRPS9",NA,"FBLL1","AL109917.1",NA,NA,NA,NA,NA,NA
"FCGR3B",NA,"CENPV",NA,"AC103691.1","KDM1A",NA,NA,NA,NA,NA,NA
"TMEM86B",NA,"SRSF10",NA,"ZNF202","AC108134.2",NA,NA,NA,NA,NA,NA
"LRPPRC",NA,"MTMR7",NA,"AC018647.2","CACNB3",NA,NA,NA,NA,NA,NA
"LINC01465",NA,"KRTCAP2",NA,"XPC","AC002553.1",NA,NA,NA,NA,NA,NA
"GUCA2A",NA,"CKS2",NA,"GZMB","HOXA2",NA,NA,NA,NA,NA,NA
"PIAS4",NA,"ATF2",NA,"ATMIN","SAMD14",NA,NA,NA,NA,NA,NA
"AC009242.1",NA,"NSD2",NA,"ZNF14","NR0B2",NA,NA,NA,NA,NA,NA
"GSTA4",NA,"HNRNPK",NA,"THSD1","LAMTOR1",NA,NA,NA,NA,NA,NA
"TTC34",NA,"ATP5MC2",NA,"OSTF1","AC026471.1",NA,NA,NA,NA,NA,NA
"ECE1",NA,"LINC01273",NA,"LINC00504","AP006248.4",NA,NA,NA,NA,NA,NA
"AC105429.1",NA,"CPA1",NA,"RAPGEF5","SNORC",NA,NA,NA,NA,NA,NA
"AP1M2",NA,"TTI1",NA,"TENM1","LINC02356",NA,NA,NA,NA,NA,NA
"PHRF1",NA,"APPBP2",NA,"TRIM13","RAP2C-AS1",NA,NA,NA,NA,NA,NA
"AC008738.6",NA,"AP000355.1",NA,"AP1S1","ADK",NA,NA,NA,NA,NA,NA
"SCRN2",NA,"ATRN",NA,"RAB22A","PTS",NA,NA,NA,NA,NA,NA
"FBXW4",NA,"AC008079.1",NA,"ZRANB1","AL445222.1",NA,NA,NA,NA,NA,NA
"ARHGAP29-AS1",NA,"PNMA6A",NA,"AC092910.3","AK7",NA,NA,NA,NA,NA,NA
"GATC",NA,"RAB18",NA,"SV2A","NFIL3",NA,NA,NA,NA,NA,NA
"ITPKA",NA,"GLRX5",NA,"RAB4B","SGPL1",NA,NA,NA,NA,NA,NA
"AL121990.1",NA,"PNISR",NA,"LRRC6","SPIC",NA,NA,NA,NA,NA,NA
"AC087273.2",NA,"RPL26L1",NA,"MAP3K15","POM121C",NA,NA,NA,NA,NA,NA
"AL390208.1",NA,"HECTD1",NA,"NCF4","AL592402.1",NA,NA,NA,NA,NA,NA
"GLCE",NA,"AL049795.1",NA,"CALU","SPATC1",NA,NA,NA,NA,NA,NA
"ATRX",NA,"NFS1",NA,"AP002807.1","STAMBP",NA,NA,NA,NA,NA,NA
"ORMDL2",NA,"RMND1",NA,"ABI3","CBFA2T3",NA,NA,NA,NA,NA,NA
"EIF1B",NA,"AL513314.2",NA,"CRYBG3","HNRNPL",NA,NA,NA,NA,NA,NA
"NMRAL1",NA,"ZRANB2",NA,"NLRP2","NSFL1C",NA,NA,NA,NA,NA,NA
"MAFA",NA,"TRAP1",NA,"AL355488.1","SMIM7",NA,NA,NA,NA,NA,NA
"CKLF",NA,"RNF115",NA,"CDC7","LPCAT4",NA,NA,NA,NA,NA,NA
"TRIB2",NA,"AP001432.1",NA,"RAC1","ZFAND2A",NA,NA,NA,NA,NA,NA
"ST14",NA,"HADH",NA,"SLCO1B3","PEAK1",NA,NA,NA,NA,NA,NA
"CES5A",NA,"FST",NA,"OTUD7A","GPAT4",NA,NA,NA,NA,NA,NA
"SLC22A3",NA,"ALDH4A1",NA,"PYCARD","AC012464.3",NA,NA,NA,NA,NA,NA
"RAE1",NA,"SLC7A2",NA,"CRB3","AC021016.3",NA,NA,NA,NA,NA,NA
"USP48",NA,"FMR1NB",NA,"PPP1R2","PLN",NA,NA,NA,NA,NA,NA
"GNB2",NA,"CD164",NA,"MROH1","MTG1",NA,NA,NA,NA,NA,NA
"FRMD6-AS1",NA,"AC093151.2",NA,"GMEB2","SLC44A4",NA,NA,NA,NA,NA,NA
"SLC25A6",NA,"AL136169.1",NA,"B3GNT4","AC083862.3",NA,NA,NA,NA,NA,NA
"AMFR",NA,"RBM10",NA,"MPRIP","GID8",NA,NA,NA,NA,NA,NA
"HIPK2",NA,"EHD3",NA,"AC008280.3","DAG1",NA,NA,NA,NA,NA,NA
"IFT172",NA,"KMT2C",NA,"FZD7","C1orf115",NA,NA,NA,NA,NA,NA
"RAPGEF4-AS1",NA,"POP4",NA,"CYP17A1","FUBP3",NA,NA,NA,NA,NA,NA
"UBD",NA,"GDE1",NA,"RILPL1","UBALD2",NA,NA,NA,NA,NA,NA
"CDCP1",NA,"CCDC130",NA,"RPL34","CALHM2",NA,NA,NA,NA,NA,NA
"SEPHS1",NA,"GMNN",NA,"GRIN3A","AC124067.4",NA,NA,NA,NA,NA,NA
"EMP2",NA,"KIF23",NA,"AC005476.2","CARNMT1-AS1",NA,NA,NA,NA,NA,NA
"RASSF4",NA,"P2RX6",NA,"AC005041.3",NA,NA,NA,NA,NA,NA,NA
"GNAL",NA,"DHX33",NA,"ANKLE1",NA,NA,NA,NA,NA,NA,NA
"AC087854.1",NA,"KIAA1549",NA,"GPATCH2L",NA,NA,NA,NA,NA,NA,NA
"KCNIP1",NA,"SNORC",NA,"MAN1A2",NA,NA,NA,NA,NA,NA,NA
"EHBP1",NA,"LINC00844",NA,"TMEM254-AS1",NA,NA,NA,NA,NA,NA,NA
"CKMT2-AS1",NA,"HPS4",NA,"RPS18",NA,NA,NA,NA,NA,NA,NA
"TSR2",NA,"CCL15",NA,"VPREB3",NA,NA,NA,NA,NA,NA,NA
"ACADVL",NA,"EIF3K",NA,"AL162377.1",NA,NA,NA,NA,NA,NA,NA
"AC137932.3",NA,"PEX19",NA,"USP8",NA,NA,NA,NA,NA,NA,NA
"GFPT2",NA,"FAXC",NA,"AARS2",NA,NA,NA,NA,NA,NA,NA
"PAF1",NA,"CANT1",NA,"PDGFRB",NA,NA,NA,NA,NA,NA,NA
"AL359632.1",NA,"TNRC18",NA,"VAV1",NA,NA,NA,NA,NA,NA,NA
"AC072022.2",NA,"ACP2",NA,"XAF1",NA,NA,NA,NA,NA,NA,NA
"MCM10",NA,"C4orf47",NA,"SHC2",NA,NA,NA,NA,NA,NA,NA
"CPT2",NA,"LINC01309",NA,"OGN",NA,NA,NA,NA,NA,NA,NA
"BHMT2",NA,"TMED9",NA,"ZFP90",NA,NA,NA,NA,NA,NA,NA
"CSNK1G2",NA,"VARS",NA,"PRPF3",NA,NA,NA,NA,NA,NA,NA
"AC068580.3",NA,"CD24",NA,"AL670729.3",NA,NA,NA,NA,NA,NA,NA
"NME8",NA,"COA5",NA,"ZCRB1",NA,NA,NA,NA,NA,NA,NA
"MAGED1",NA,"PTK7",NA,"MBLAC2",NA,NA,NA,NA,NA,NA,NA
"TMED3",NA,"TRIP11",NA,"CYP2U1",NA,NA,NA,NA,NA,NA,NA
"AC127526.4",NA,"POLR2H",NA,"AC138969.1",NA,NA,NA,NA,NA,NA,NA
"AC004466.1",NA,"KIAA1522",NA,"RPS27A",NA,NA,NA,NA,NA,NA,NA
"AL512625.1",NA,"PAXBP1-AS1",NA,"AL596244.1",NA,NA,NA,NA,NA,NA,NA
"VCL",NA,"NMRK1",NA,"ARSA",NA,NA,NA,NA,NA,NA,NA
"SHROOM1",NA,"PSMA4",NA,"ACTR2",NA,NA,NA,NA,NA,NA,NA
"DCUN1D3",NA,"AL161663.2",NA,"HERC3",NA,NA,NA,NA,NA,NA,NA
"CLSTN3",NA,"LAMTOR3",NA,"CRLF3",NA,NA,NA,NA,NA,NA,NA
"C14orf119",NA,"DNAH3",NA,"TMEM161B",NA,NA,NA,NA,NA,NA,NA
"TCEA2",NA,"CETN3",NA,"YPEL1",NA,NA,NA,NA,NA,NA,NA
"TMEM41B",NA,"ANKRD40",NA,"CBX3",NA,NA,NA,NA,NA,NA,NA
"TDP2",NA,"ALG1L",NA,"LINC01184",NA,NA,NA,NA,NA,NA,NA
"AC010542.4",NA,"TRPC4AP",NA,"PSPN",NA,NA,NA,NA,NA,NA,NA
"MAF",NA,"LSM14A",NA,"GALK2",NA,NA,NA,NA,NA,NA,NA
"AC009269.5",NA,"SS18L2",NA,"ARL2",NA,NA,NA,NA,NA,NA,NA
"AC004900.1",NA,"SEMA6C",NA,"AC147067.1",NA,NA,NA,NA,NA,NA,NA
"LINC00895",NA,"TMEM234",NA,"UGT2B17",NA,NA,NA,NA,NA,NA,NA
"AL139289.2",NA,"AC015688.6",NA,"AL158042.1",NA,NA,NA,NA,NA,NA,NA
"ITGA2",NA,"MSMO1",NA,"AC018755.4",NA,NA,NA,NA,NA,NA,NA
"NUDT7",NA,"TM4SF5",NA,"OTUD7B",NA,NA,NA,NA,NA,NA,NA
"AC007192.2",NA,"CNNM3",NA,"HINT3",NA,NA,NA,NA,NA,NA,NA
"PPP1R16B",NA,"PRPF31",NA,"WWC2",NA,NA,NA,NA,NA,NA,NA
"AC036108.2",NA,"IGF1R",NA,"RMDN3",NA,NA,NA,NA,NA,NA,NA
"AC243829.4",NA,"DGCR6L",NA,"CYP4F3",NA,NA,NA,NA,NA,NA,NA
"SH3BGRL2",NA,"BTG1",NA,"GPX3",NA,NA,NA,NA,NA,NA,NA
"IRF3",NA,"MRPL2",NA,"PRIM2",NA,NA,NA,NA,NA,NA,NA
"ASPH",NA,"ATF4",NA,"ATAT1",NA,NA,NA,NA,NA,NA,NA
"H2AFY",NA,"CIAO2B",NA,"RBPMS2",NA,NA,NA,NA,NA,NA,NA
"DIAPH1",NA,"AC092683.1",NA,"FRMD3",NA,NA,NA,NA,NA,NA,NA
"AC022201.2",NA,"USP7",NA,"CIRBP-AS1",NA,NA,NA,NA,NA,NA,NA
"RER1",NA,"COPS9",NA,"PDE1A",NA,NA,NA,NA,NA,NA,NA
"COL7A1",NA,"BICC1",NA,"NUCKS1",NA,NA,NA,NA,NA,NA,NA
"NOP56",NA,"DUSP16",NA,"USP47",NA,NA,NA,NA,NA,NA,NA
"TEAD1",NA,"AAMDC",NA,"EIF4EBP2",NA,NA,NA,NA,NA,NA,NA
"SELENOI",NA,"AC093425.1",NA,"SPINT1-AS1",NA,NA,NA,NA,NA,NA,NA
"AC099520.1",NA,"SAMM50",NA,"DENND1C",NA,NA,NA,NA,NA,NA,NA
"PSMB6",NA,"RPL22L1",NA,"AC005280.1",NA,NA,NA,NA,NA,NA,NA
"SMIM24",NA,"TTLL6",NA,"SRXN1",NA,NA,NA,NA,NA,NA,NA
"MEPCE",NA,"AC022509.1",NA,"MERTK",NA,NA,NA,NA,NA,NA,NA
"CNNM4",NA,"YWHAE",NA,"AP002026.1",NA,NA,NA,NA,NA,NA,NA
"SNX3",NA,"SETDB1",NA,"PIH1D1",NA,NA,NA,NA,NA,NA,NA
"PHB2",NA,"KDM3B",NA,"ZGLP1",NA,NA,NA,NA,NA,NA,NA
"ROR2",NA,"SLC30A6",NA,"GNG11",NA,NA,NA,NA,NA,NA,NA
"LINC01357",NA,"METTL15",NA,"FPR1",NA,NA,NA,NA,NA,NA,NA
"PRRC1",NA,"AC022613.2",NA,"ZNF232",NA,NA,NA,NA,NA,NA,NA
"SEC16A",NA,"HMGB2",NA,"MYL12A",NA,NA,NA,NA,NA,NA,NA
"ARV1",NA,"R3HDM4",NA,"API5",NA,NA,NA,NA,NA,NA,NA
"CPA3",NA,"LRRC3",NA,"PPP1R9A",NA,NA,NA,NA,NA,NA,NA
"RNPEPL1",NA,"MAD2L1BP",NA,"ZFP36L1",NA,NA,NA,NA,NA,NA,NA
"AC008667.1",NA,"POLR2D",NA,"RRBP1",NA,NA,NA,NA,NA,NA,NA
"LRP10",NA,"MFSD5",NA,"NIPBL-DT",NA,NA,NA,NA,NA,NA,NA
"AL157813.1",NA,"LINC01754",NA,"MPHOSPH9",NA,NA,NA,NA,NA,NA,NA
"BTBD1",NA,"HNRNPH3",NA,"AL356056.2",NA,NA,NA,NA,NA,NA,NA
"STUB1",NA,"AC087277.1",NA,"AC005726.3",NA,NA,NA,NA,NA,NA,NA
"FAHD1",NA,"SKAP2",NA,"CNRIP1",NA,NA,NA,NA,NA,NA,NA
"TTC25",NA,"AC010761.1",NA,"TADA2B",NA,NA,NA,NA,NA,NA,NA
"COG2",NA,"SMAD2",NA,"ZNF627",NA,NA,NA,NA,NA,NA,NA
"AC091181.2",NA,"ABCA1",NA,"TMSB10",NA,NA,NA,NA,NA,NA,NA
"CASC16",NA,"EMC7",NA,"RFESD",NA,NA,NA,NA,NA,NA,NA
"OSBPL5",NA,"ZMIZ1-AS1",NA,"HUS1",NA,NA,NA,NA,NA,NA,NA
"OPTN",NA,"YOD1",NA,"PLCE1",NA,NA,NA,NA,NA,NA,NA
"ZBP1",NA,"GSK3B",NA,"PHF3",NA,NA,NA,NA,NA,NA,NA
"ENOX1",NA,"SIVA1",NA,"LRRC31",NA,NA,NA,NA,NA,NA,NA
"AC093525.7",NA,"COX16",NA,"LGALS3",NA,NA,NA,NA,NA,NA,NA
"SPATA46",NA,"AL035458.2",NA,"ZNF830",NA,NA,NA,NA,NA,NA,NA
"AL031432.5",NA,"ORMDL1",NA,"WASHC4",NA,NA,NA,NA,NA,NA,NA
"MAU2",NA,"FKBP4",NA,"EIF3J",NA,NA,NA,NA,NA,NA,NA
"AC007639.1",NA,"WWOX",NA,"CREB1",NA,NA,NA,NA,NA,NA,NA
"EIF3L",NA,"CSNK1E",NA,"SEC22A",NA,NA,NA,NA,NA,NA,NA
"PDCD2",NA,"SLC39A3",NA,"AC107464.3",NA,NA,NA,NA,NA,NA,NA
"EHD3",NA,"HADHA",NA,"FAM124A",NA,NA,NA,NA,NA,NA,NA
"MIR122HG",NA,"SALL1",NA,"ARHGAP39",NA,NA,NA,NA,NA,NA,NA
"YAP1",NA,"PTCRA",NA,"THUMPD1",NA,NA,NA,NA,NA,NA,NA
"SELE",NA,"SMARCC1",NA,"ZNF180",NA,NA,NA,NA,NA,NA,NA
"LINC00898",NA,"NCAPG2",NA,"IL15RA",NA,NA,NA,NA,NA,NA,NA
"SERTAD1",NA,"RBPJ",NA,"AC124319.1",NA,NA,NA,NA,NA,NA,NA
"AP2M1",NA,"SRP19",NA,"AC144831.1",NA,NA,NA,NA,NA,NA,NA
"TM9SF3",NA,"ITGB5",NA,"C12orf45",NA,NA,NA,NA,NA,NA,NA
"CARM1",NA,"CCNI",NA,"ACY3",NA,NA,NA,NA,NA,NA,NA
"AC018695.6",NA,"NARF",NA,"DTX3",NA,NA,NA,NA,NA,NA,NA
"RHD",NA,"NOXA1",NA,"FAM189B",NA,NA,NA,NA,NA,NA,NA
"KHNYN",NA,"AC068724.3",NA,"AL158196.1",NA,NA,NA,NA,NA,NA,NA
"C9orf153",NA,"SEC61A1",NA,"ELF3",NA,NA,NA,NA,NA,NA,NA
"TMC3",NA,"PLBD2",NA,"RPS8",NA,NA,NA,NA,NA,NA,NA
"RGS11",NA,"NAGK",NA,"BTN3A1",NA,NA,NA,NA,NA,NA,NA
"SPTA1",NA,"ZFX",NA,"AC011472.4",NA,NA,NA,NA,NA,NA,NA
"AL133375.1",NA,"UBE2V2",NA,"TARBP1",NA,NA,NA,NA,NA,NA,NA
"QRSL1",NA,"AL359851.1",NA,"CD14",NA,NA,NA,NA,NA,NA,NA
"ELAC2",NA,"AC026367.2",NA,"XPNPEP1",NA,NA,NA,NA,NA,NA,NA
"AASDHPPT",NA,"UBALD1",NA,"HSPA2",NA,NA,NA,NA,NA,NA,NA
"RCN1",NA,"LCOR",NA,"FAM76B",NA,NA,NA,NA,NA,NA,NA
"AL033397.1",NA,"NHSL1",NA,"CCDC191",NA,NA,NA,NA,NA,NA,NA
"AL139393.1",NA,"AP001781.1",NA,"ACVR2B",NA,NA,NA,NA,NA,NA,NA
"COPB1",NA,"TCL6",NA,"ANKRD11",NA,NA,NA,NA,NA,NA,NA
"HIF1A-AS1",NA,"ESRRA",NA,"GDPD5",NA,NA,NA,NA,NA,NA,NA
"AL136981.3",NA,"C12orf43",NA,"CALD1",NA,NA,NA,NA,NA,NA,NA
"TBC1D14",NA,"ATP13A3",NA,"GCNT1",NA,NA,NA,NA,NA,NA,NA
"AL512353.1",NA,"SEC11A",NA,"MEF2D",NA,NA,NA,NA,NA,NA,NA
"IGFALS",NA,"ACADL",NA,"CCNG1",NA,NA,NA,NA,NA,NA,NA
"ITGA2B",NA,"AC010641.2",NA,"ERVK3-1",NA,NA,NA,NA,NA,NA,NA
"AP002813.1",NA,"GALNT16",NA,"CFAP36",NA,NA,NA,NA,NA,NA,NA
"NDRG2",NA,"AC025034.1",NA,"CEP350",NA,NA,NA,NA,NA,NA,NA
"NOMO1",NA,"PAXX",NA,"ZNF813",NA,NA,NA,NA,NA,NA,NA
"RAB24",NA,"PDE1C",NA,"TDRD10",NA,NA,NA,NA,NA,NA,NA
"QSOX1",NA,"SMYD4",NA,"BHLHE41",NA,NA,NA,NA,NA,NA,NA
"SNHG29",NA,"AC096589.1",NA,"SPRTN",NA,NA,NA,NA,NA,NA,NA
"ST13",NA,"TUBA1B",NA,"YWHAB",NA,NA,NA,NA,NA,NA,NA
"SCGB1D2",NA,"GPI",NA,"FAM222B",NA,NA,NA,NA,NA,NA,NA
"HADHB",NA,"CCDC85B",NA,"HNF1A-AS1",NA,NA,NA,NA,NA,NA,NA
"PFKL",NA,"PPP1R12C",NA,"RAB11B",NA,NA,NA,NA,NA,NA,NA
"ENPP3",NA,"ERGIC1",NA,"TRIM66",NA,NA,NA,NA,NA,NA,NA
"AC009159.3",NA,"AC093788.1",NA,"HOXB4",NA,NA,NA,NA,NA,NA,NA
"SLC46A2",NA,"LECT2",NA,"AACS",NA,NA,NA,NA,NA,NA,NA
"RRBP1",NA,"DPY30",NA,"GATD3A",NA,NA,NA,NA,NA,NA,NA
"AL772337.2",NA,"SLC50A1",NA,"RUSC1",NA,NA,NA,NA,NA,NA,NA
"AC005034.4",NA,"MTUS1",NA,"ELF1",NA,NA,NA,NA,NA,NA,NA
"AL049597.2",NA,"TMEM86B",NA,"STK32B",NA,NA,NA,NA,NA,NA,NA
"C8G",NA,"CYB5D2",NA,"AP000553.3",NA,NA,NA,NA,NA,NA,NA
"AHNAK2",NA,"DUSP12",NA,"LINC-PINT",NA,NA,NA,NA,NA,NA,NA
"SEPTIN9-DT",NA,"RTEL1",NA,"ZC3H13",NA,NA,NA,NA,NA,NA,NA
"MIB1",NA,"PEX10",NA,"ZNF404",NA,NA,NA,NA,NA,NA,NA
"C11orf97",NA,"TSG101",NA,"LONP2",NA,NA,NA,NA,NA,NA,NA
"AC108519.1",NA,"RBBP5",NA,"UBQLN2",NA,NA,NA,NA,NA,NA,NA
"CCAR2",NA,"LINC00906",NA,"HIVEP2",NA,NA,NA,NA,NA,NA,NA
"STIP1",NA,"BTG2",NA,"HGF",NA,NA,NA,NA,NA,NA,NA
"MRPS22",NA,"RSL24D1",NA,"AC005840.4",NA,NA,NA,NA,NA,NA,NA
"AC010999.1",NA,"LSM3",NA,"CSNK1G3",NA,NA,NA,NA,NA,NA,NA
"AC016995.1",NA,"GTF2F1",NA,"ENG",NA,NA,NA,NA,NA,NA,NA
"TP53TG5",NA,"MRPL20-AS1",NA,"MED16",NA,NA,NA,NA,NA,NA,NA
"AC110619.1",NA,"FHAD1",NA,"DCAF4",NA,NA,NA,NA,NA,NA,NA
"UBTD1",NA,"CAMK2D",NA,"AC010378.2",NA,NA,NA,NA,NA,NA,NA
"LINC01752",NA,"LINC00390",NA,"SSTR1",NA,NA,NA,NA,NA,NA,NA
"PBX3",NA,"USP3",NA,"ZNF487",NA,NA,NA,NA,NA,NA,NA
"CSNK1E",NA,"FIGNL2",NA,"S100A4",NA,NA,NA,NA,NA,NA,NA
"TCF20",NA,"AC008035.1",NA,"LOXL4",NA,NA,NA,NA,NA,NA,NA
"AL022329.1",NA,"TMPO",NA,"WDR74",NA,NA,NA,NA,NA,NA,NA
"LRRC8C-DT",NA,"C6orf163",NA,"CCDC68",NA,NA,NA,NA,NA,NA,NA
"AC093677.2",NA,"TBC1D17",NA,"RASD2",NA,NA,NA,NA,NA,NA,NA
"AC025171.4",NA,"ZNF282",NA,"GHRLOS",NA,NA,NA,NA,NA,NA,NA
"PLIN1",NA,"EVA1A",NA,"ATP13A4",NA,NA,NA,NA,NA,NA,NA
"CHP1",NA,"KLHL9",NA,"GPR180",NA,NA,NA,NA,NA,NA,NA
"PM20D1",NA,"UVSSA",NA,"FBXO42",NA,NA,NA,NA,NA,NA,NA
"AC011379.1",NA,"AL109614.1",NA,"KCND1",NA,NA,NA,NA,NA,NA,NA
"SRD5A3-AS1",NA,"UBE2D1",NA,"LINC00923",NA,NA,NA,NA,NA,NA,NA
"TMEM132D-AS1",NA,"MIGA1",NA,"GNG10",NA,NA,NA,NA,NA,NA,NA
"ZXDA",NA,"LY6G5C",NA,"RAD23A",NA,NA,NA,NA,NA,NA,NA
"SERPINB6",NA,"IMPG2",NA,"IFI27L2",NA,NA,NA,NA,NA,NA,NA
"PHC3",NA,"ZDHHC14",NA,"RPLP0",NA,NA,NA,NA,NA,NA,NA
"EMC3",NA,"RFFL",NA,"KANK3",NA,NA,NA,NA,NA,NA,NA
"MTBP",NA,"UBE2E1-AS1",NA,"ZC3H10",NA,NA,NA,NA,NA,NA,NA
"AL450344.3",NA,"FAM72D",NA,"ATP8A2",NA,NA,NA,NA,NA,NA,NA
"PF4",NA,"SPDEF",NA,"CD8A",NA,NA,NA,NA,NA,NA,NA
"LINC01315",NA,"MTR",NA,"LINC01341",NA,NA,NA,NA,NA,NA,NA
"AC022210.2",NA,"TCEA1",NA,"SMARCA5",NA,NA,NA,NA,NA,NA,NA
"SERPING1",NA,"PIGF",NA,"FLNC",NA,NA,NA,NA,NA,NA,NA
"AC010996.1",NA,"SMPD4",NA,"PSD3",NA,NA,NA,NA,NA,NA,NA
"TCF25",NA,"TMEM64",NA,"RRP7A",NA,NA,NA,NA,NA,NA,NA
"PACSIN1",NA,"SOCS2-AS1",NA,"TSHZ3",NA,NA,NA,NA,NA,NA,NA
"AC078860.2",NA,"TARS",NA,"LINC01001",NA,NA,NA,NA,NA,NA,NA
"ACO2",NA,"CUL3",NA,"PITPNA",NA,NA,NA,NA,NA,NA,NA
"PILRB",NA,"AC091978.1",NA,"PCDH18",NA,NA,NA,NA,NA,NA,NA
"GABARAPL1",NA,"MOGS",NA,"EPPK1",NA,NA,NA,NA,NA,NA,NA
"MYOF",NA,"CENPU",NA,"JUP",NA,NA,NA,NA,NA,NA,NA
"EMD",NA,"OS9",NA,"BSCL2",NA,NA,NA,NA,NA,NA,NA
"BRD4",NA,"SNRPA",NA,"AC008906.1",NA,NA,NA,NA,NA,NA,NA
"PLCB4",NA,"LINC00266-1",NA,"CBX2",NA,NA,NA,NA,NA,NA,NA
"CAVIN1",NA,"DDX3X",NA,"NFIL3",NA,NA,NA,NA,NA,NA,NA
"NOTCH2",NA,"YBX1",NA,"SRGAP1",NA,NA,NA,NA,NA,NA,NA
"SUGP1",NA,"AC021321.2",NA,"SETD4",NA,NA,NA,NA,NA,NA,NA
"EML2-AS1",NA,"SLC43A1",NA,"P2RY10",NA,NA,NA,NA,NA,NA,NA
"GYG2",NA,"RBM8A",NA,"ABHD8",NA,NA,NA,NA,NA,NA,NA
"LINC00882",NA,"NDUFV2",NA,"LTV1",NA,NA,NA,NA,NA,NA,NA
"CBX7",NA,"FAAH2",NA,"FBXO46",NA,NA,NA,NA,NA,NA,NA
"AC006525.1",NA,"SH3GL2",NA,"ATP10A",NA,NA,NA,NA,NA,NA,NA
"RETREG1",NA,"NBDY",NA,"TMTC3",NA,NA,NA,NA,NA,NA,NA
"USH1C",NA,"PACSIN2",NA,"IFRD1",NA,NA,NA,NA,NA,NA,NA
"AC130352.1",NA,"AL512631.2",NA,"VLDLR",NA,NA,NA,NA,NA,NA,NA
"ZNF432",NA,"SNAPC4",NA,"PCYOX1L",NA,NA,NA,NA,NA,NA,NA
"PHF8",NA,"NBEAL1",NA,"FN3K",NA,NA,NA,NA,NA,NA,NA
"HIST1H2AI",NA,"TMED10",NA,"GAK",NA,NA,NA,NA,NA,NA,NA
"AC136604.3",NA,"PPP1R18",NA,"IFI6",NA,NA,NA,NA,NA,NA,NA
"DDIT4",NA,"MAD2L2",NA,"PDCD10",NA,NA,NA,NA,NA,NA,NA
"AP000787.1",NA,"TMEM38A",NA,"ZBTB1",NA,NA,NA,NA,NA,NA,NA
"RTEL1",NA,"EGFL8",NA,"PILRA",NA,NA,NA,NA,NA,NA,NA
"DELE1",NA,"KEAP1",NA,"LARP1B",NA,NA,NA,NA,NA,NA,NA
"GPR82",NA,"EPHB4",NA,"AC083862.3",NA,NA,NA,NA,NA,NA,NA
"LDB3",NA,"ASB7",NA,"BMP1",NA,NA,NA,NA,NA,NA,NA
"CSTF1",NA,"ATF7IP2",NA,"TRMT11",NA,NA,NA,NA,NA,NA,NA
"SMARCB1",NA,"SHC2",NA,"C9orf24",NA,NA,NA,NA,NA,NA,NA
