"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"AC090912.2","ZNF740","PROM2",NA,NA,NA,"AL023803.1","B3GAT1","NEK2"
"MAPKBP1","CYP3A4","SPEGNB",NA,NA,NA,"LINC00659","CACNA1C","AC008014.1"
"TMEM266","A2M","INPP5J",NA,NA,NA,"AL096828.3","DYRK4","AL645933.2"
"FAM186B","ANKRD34A","AL627309.5",NA,NA,NA,"CU633906.5","KCNA5","NEK3"
"DDX47","TDRP","AC025154.2",NA,NA,NA,"IGLV4-69","NTF3","NFYA"
"AFDN-DT","TNK2-AS1","LINC01311",NA,NA,NA,"AL022323.1","LINC00937","MOV10L1"
"CENPE","ZC3H8","EDN3",NA,NA,NA,"AC003681.1","CLEC4E","GLMN"
"ADCK1","FBP1","RAB25",NA,NA,NA,"MORC2-AS1","MFAP5","E2F2"
"DCDC2","ZSWIM4","ZDHHC19",NA,NA,NA,"Z95331.1","KLRG1","RAVER2"
"AC083900.1","ZNF383","ABO",NA,NA,NA,"LINC00899","AC092821.3","MIR4453HG"
"AMBN","ASPG","CGAS",NA,NA,NA,"CELSR1","CD69","ARHGEF35"
"LINC02814","FABP1","DIRAS2",NA,NA,NA,"AC207130.1","KLRF1","SCN7A"
"AL513477.2","EVI5L","MUC13",NA,NA,NA,"MAPK8IP2","BCL2L14","RHNO1"
"AC109454.3","VXN","NDUFV2-AS1",NA,NA,NA,"AC232271.1","C2CD5","C2CD4C"
"TLX1","KCTD14","PKP3",NA,NA,NA,"RIBC1","SSPN","PALB2"
"HOXA10","CYP2E1","FIGN",NA,NA,NA,"NLGN3","TMTC1","CDH22"
"AC093799.1","CCDC68","CYS1",NA,NA,NA,"GCNA","DDX11-AS1","ELFN1"
"RNF207","CEL","C11orf91",NA,NA,NA,"ARMCX5-GPRASP2","LINC02422","GRAMD1C"
"THAP6","PLG","GPRC5D-AS1",NA,NA,NA,"NUP62CL","AC016957.2","AC100861.1"
"AC005332.3","C8B","TRAIP",NA,NA,NA,"MID2","BICD1","ZNF558"
"LY6E-DT","DTX1","DZANK1",NA,NA,NA,"PAK3","ALG10B","IGF1R"
"AC078846.1","PON1","CEACAM6",NA,NA,NA,"SOWAHD","AC008083.3","DNAJC1"
"CCDC151","EXPH5","LMTK3",NA,NA,NA,"GRIA3","CCDC184","ENTPD1-AS1"
"HIST1H2BJ","AL031673.1","GPR39",NA,NA,NA,"AL844175.1","WNT10B","F2RL1"
"FBXO36","ATP11C","ANKRD36C",NA,NA,NA,"AL592183.1","RHEBL1","SLF1"
"BORA","ABCA6","AL391244.2",NA,NA,NA,"DUBR","ARHGEF25","SLC29A2"
"AL049840.3","THRSP","NOXO1",NA,NA,NA,"UNC5C","AVIL","PLB1"
"Z99572.1","LINC01554","SLC9A3-AS1",NA,NA,NA,"PAXIP1-AS2","ATP2B1-AS1","PCYOX1L"
"ZNF567","APLN","SNAP25",NA,NA,NA,"AL159169.2","CEP83","TAF1"
"TUB","RDH16","PLEKHS1",NA,NA,NA,"FAM111B","C12orf76","TNFRSF19"
"CARMIL3","MT-ND3","GALNT5",NA,NA,NA,"TLE6","ZNF891","AC005840.2"
"TOB1-AS1","ARRDC4","GAS2L3",NA,NA,NA,"ZNF180","ATP8A2","PEX1"
"C2CD4A","CHRNA10","SEMA3E",NA,NA,NA,"GPR173","PCDH17","THAP8"
"HPF1","TANC2","RMDN2",NA,NA,NA,"ELF3-AS1","SALL2","CTRC"
"UBXN10","ERMAP","SYT8",NA,NA,NA,"LINC01474","CDH24","SPIRE1"
"AGPAT5","SLC2A12","OSCP1",NA,NA,NA,"MTRF1","GZMH","ZNF165"
"AC007406.2","ARSG","HARBI1",NA,NA,NA,"WNT5A","AL139099.1","AC145207.3"
"RINL","PATL2","STX1A",NA,NA,NA,"DNAJC12","GNG2","AF117829.1"
"ELFN1-AS1","HSD17B6","IL17RE",NA,NA,NA,"DRD4","TTLL5","PIF1"
"CCP110","HAMP","LPCAT4",NA,NA,NA,"VPS9D1-AS1","TMEM63C","ZNF239"
"CLIC3","BLOC1S5","DUOX2",NA,NA,NA,"RADIL","NRXN3","SNX29"
"U91328.1","PIWIL4","FZD1",NA,NA,NA,"KIF14","DIO2","AL354920.1"
"LINC02018","AL691420.1","ARHGAP5-AS1",NA,NA,NA,"PIBF1","TSHR","AC127502.2"
"DIABLO","ITIH3","CDC25A",NA,NA,NA,"HOMEZ","GPR65","SLFN12L"
"CYP7A1","ZNF43","C19orf81",NA,NA,NA,"ZNF583","PRIMA1","ABCA3"
"PRR26","C6","FOXL1",NA,NA,NA,"RADX","LINC01550","AL355488.1"
"CRB3","DUOX1","C5orf30",NA,NA,NA,"ATP6V1E2","TDRD9","TRMO"
"MCM9","BICRA","MIR194-2HG",NA,NA,NA,"AQP7","IGHV3-21","THOC1"
"ARMH4","PSTK","AC011477.2",NA,NA,NA,"MBOAT2","IGHV1-24","ANKRD24"
"AC004585.1","AC084036.1","LINC02688",NA,NA,NA,"BX537318.1","IGHV4-39","LINC01124"
"OIP5","TSNAXIP1","BHLHE41",NA,NA,NA,"C17orf67","IGHV3-48","TRIM23"
"KLLN","TCF15","APTR",NA,NA,NA,"IRAK1BP1","PGBD4","ZNF140"
"ZNF888","CES4A","TBC1D8B",NA,NA,NA,"MYEOV","GPR176","AL160006.1"
"ZBTB37","ZNF844","PTPRH",NA,NA,NA,"ZNF30","DNAAF4","MIATNB"
"CD40LG","PBLD","DACH1",NA,NA,NA,"LINC00863","AC084782.3","PCP4L1"
"LINC00672","ZNF837","GCNT3",NA,NA,NA,"SULT1B1","CORO2B","TMEM26"
"RNF214","SLC7A2","SERTAD4-AS1",NA,NA,NA,"PLXNA4","AC079322.1","ABCA9"
"POLN","UROC1","FGF19",NA,NA,NA,"ZNF322","LOXL1-AS1","AC124016.2"
"EEF1AKMT2","SPP1","ELOVL7",NA,NA,NA,"LINC01370","ARNT2","GKAP1"
"AC009054.2","RPL8","MEAK7",NA,NA,NA,"AL357033.4","TMC3-AS1","AC093866.1"
"FOXO4","LINC01232","PPM1J",NA,NA,NA,"CCSAP","MEX3B","GAL3ST1"
"AL022151.1","NHLRC4","MMP1",NA,NA,NA,"ARL17B","SLCO3A1","C1QTNF4"
"AL356488.2","SLC4A3","IHH",NA,NA,NA,"PLPP6","SYNM","ZDHHC23"
"VSIG10L","GTF2E1","MMP28",NA,NA,NA,"GDAP1","SOX8","ATP2B2"
"ZXDB","ADAT2","ATP10B",NA,NA,NA,"HEY1","TNFRSF17","SEMA3B-AS1"
"ELP4","IGLC2","BMX",NA,NA,NA,"AC130343.2","NPIPA9","AC010186.3"
"AC016773.1","G6PC","C4orf33",NA,NA,NA,"LINC00482","TMC7","AC104785.1"
"ZNF354A","TRMT61B","IZUMO4",NA,NA,NA,"GMPR","NPIPB5","AASDH"
"ATP8B1","LINC01480","FOLR1",NA,NA,NA,"BARD1","APOBR","AC009283.1"
"CLOCK","ACSM3","NTM",NA,NA,NA,"GTF2IRD1","AC020765.2","USP2-AS1"
"CNOT4","HGFAC","DMBT1",NA,NA,NA,"DTNB","SPN","SNX16"
"VEGFC","MT1E","PDZK1IP1",NA,NA,NA,"LINC01270","C16orf54","PAQR5"
"AC064807.1","APOB","AGR2",NA,NA,NA,"PRKCQ","CCL17","SOBP"
"AL137796.1","CYP2C9","PLPP2",NA,NA,NA,"AC008443.1","CARMIL2","AC010969.2"
"PWP1","MARCO","FXYD3",NA,NA,NA,"BCL2L10","ZNF23","RGMA"
"CAMK2N2","ZNF382","CDK20",NA,NA,NA,"DNAH5","CHST6","BISPR"
"OSGEPL1","HMGCS2","SMPDL3B",NA,NA,NA,"AL139384.1","ASPA","LINC00467"
"NT5M","COLEC10","ZNF165",NA,NA,NA,"AMMECR1","SMTNL2","ANKS4B"
"CDPF1","RUNDC3B","EML6",NA,NA,NA,"GPR88","AC016876.3","AC109322.1"
"LINC01006","PDZD4","NFE2L3",NA,NA,NA,"KIAA1841","DNAH2","UFSP1"
"LINC01783","PLIN2","TRNP1",NA,NA,NA,"ZBTB11-AS1","GUCY2D","LILRA4"
"LAMP5","AZIN2","ZG16B",NA,NA,NA,"DBR1","TVP23C","RAD54L"
"LINC00893","CD300LF","FTCDNL1",NA,NA,NA,"BUB1","ZNF287","THAP9-AS1"
"ZFAND4","PTPDC1","GGT6",NA,NA,NA,"SNAI3-AS1","AC007952.5","CCDC150"
"TFAP4","LIPG","LIMCH1",NA,NA,NA,"HLA-F-AS1","AC015726.1","LDAH"
"ZSWIM3","PADI4","C19orf33",NA,NA,NA,"ENOX2","AC005730.2","SLC31A2"
"LRFN3","TDRD10","TMEM30B",NA,NA,NA,"TMEM125","CCL11","DGKG"
"C2orf81","XDH","ZNF805",NA,NA,NA,"TMEM182","CACNB1","AC093157.1"
"AC010503.4","GBP7","RIMS3",NA,NA,NA,"RET","GJD3","GAS2"
"LINC00910","IGHG1","AC111000.4",NA,NA,NA,"NAALADL2","CCR7","CHEK1"
"FAM227A","FAXDC2","C1orf210",NA,NA,NA,"ZMYND10","MEOX1","RNF146"
"ZBED3","PROX1-AS1","GABRP",NA,NA,NA,"ZNF709","CD300LG","B3GALNT2"
"KCNH2","DNAH14","ESRP1",NA,NA,NA,"FBXO10","MPP2","BEST1"
"MRPL20-AS1","CYP4A11","MARVELD3",NA,NA,NA,"MMP12","AC142472.1","NPIPB4"
"GPR137C","RAD54L2","TRMT9B",NA,NA,NA,"TVP23B","LRRC37A2","AL050341.2"
"ASB7","FN1","ENTPD3",NA,NA,NA,"AC083862.3","SP6","AL135925.1"
"CNNM1","SLC22A7","NECTIN4",NA,NA,NA,"AC110995.1","AC005332.4","ZNF362"
"TM4SF19-AS1","GABPB2","CLCN2",NA,NA,NA,"MIPEP","RNF157-AS1","DCBLD1"
"AC108136.1","MT-CO1","ZNF649",NA,NA,NA,"AC022101.1","MAFG-DT","COL26A1"
"AL033397.2","AGT","C2orf88",NA,NA,NA,"PPARG","AC124283.1","ETV1"
"CENPBD1","IP6K3","SCX",NA,NA,NA,"AP002748.4","AP005131.6","C16orf91"
"TMEM169","APOC4","VSTM2L",NA,NA,NA,"ERFE","ZNF521","AC018645.3"
"AC104958.2","TMEM233","AC026471.4",NA,NA,NA,"SCUBE1","B4GALT6","RWDD2B"
"LINC00884","HAO2","LYPD1",NA,NA,NA,"SEMA7A","AC027097.2","GAL3ST4"
"SKIDA1","DUSP10","PRSS8",NA,NA,NA,"AC006329.1","AC096708.3","HMGN5"
"AP003352.1","ZNF597","AC016252.1",NA,NA,NA,"AC068338.2","DOK6","STON2"
"AL162231.1","LINC02365","ETV1",NA,NA,NA,"BBS5","GZMM","MPZ"
"CXCL10","ZNF79","CAPN12",NA,NA,NA,"ASAH2B","AC104530.1","HOPX"
"LINC02028","ADH4","AC237221.1",NA,NA,NA,"PARP11","EBI3","AC009005.1"
"FSTL4","PRAP1","SLC24A1",NA,NA,NA,"LINC02055","ZNF440","TMEM71"
"TLL1","SPATA41","GALNT4",NA,NA,NA,"MOSMO","ZNF625","AP001160.3"
"ATL1","ARG1","DLG4",NA,NA,NA,"AC017104.1","PODNL1","RGS16"
"COCH","ZNF563","SPATA21",NA,NA,NA,"AL391834.2","AC024075.2","ZNF461"
"L1TD1","AC020910.5","ANXA13",NA,NA,NA,"ALOX12-AS1","ZNF93","GFM2"
"FOCAD","MAMDC4","SLCO4A1-AS1",NA,NA,NA,"AL135905.1","ZBTB32","NEURL3"
"AGAP1-IT1","PRSS53","WNT7B",NA,NA,NA,"GAREM2","ZNF781","FAM13B"
"ZNF683","RPL28","CXCL5",NA,NA,NA,"AL035461.2","RYR1","ZNF85"
"AMN1","LNPK","REG1A",NA,NA,NA,"AC004816.2","ZNF780B","PSD"
"BRD3OS","CP","KCNK5",NA,NA,NA,"CCDC126","CEACAM21","LDLRAD1"
"DPF3","AC023509.3","KLK11",NA,NA,NA,"NPAS1","GRIK5","KBTBD3"
"ANKS4B","ALG1L","SINHCAF",NA,NA,NA,"MCEMP1","LIPE-AS1","NICN1"
"AC007292.2","ACSM5","IGF2BP2",NA,NA,NA,"CDC6","PINLYP","PRPF40B"
"MEF2B","AC243964.3","TMEM86A",NA,NA,NA,"MAP3K9","ZNF230","AL354707.1"
"LINC02019","MT1F","PMAIP1",NA,NA,NA,"CIT","ZNF227","LINC02361"
"ZNF808","KLKB1","AC011043.1",NA,NA,NA,"LINGO1","ZNF229","VNN3"
"FCHO2","SAMD10","KCNK15",NA,NA,NA,"PTCHD4","EXOC3L2",NA
"SLC22A10","AFM","FGF14-AS2",NA,NA,NA,"AGAP5","CARD8-AS1",NA
"COPG2","FAM221A","AC020656.1",NA,NA,NA,"ADGRB3","HAS1",NA
"LINC02550","RBM48","SLC6A8",NA,NA,NA,"SLC45A1","FPR2",NA
"ZNF341","MBTPS2","FGD6",NA,NA,NA,"C5orf46","ZNF880",NA
"AC002456.1","GTSE1","ZNF778",NA,NA,NA,"MIR1915HG","ZNF813",NA
"SCG5","SERPINA7","TOLLIP-AS1",NA,NA,NA,"AC097468.3","AC020922.4",NA
"DUS4L","FTCD","KIF27",NA,NA,NA,"ZSWIM9","ZIK1",NA
"TMEM79","AL360012.1","TPRG1",NA,NA,NA,"CD28","ZNF135",NA
"AC022167.3","SERPINF2","ATP7A",NA,NA,NA,"MORN1","A1BG-AS1",NA
"MARCH3","PLA2G2A","CADM4",NA,NA,NA,"RBL1","NRSN2-AS1",NA
"SPEF2","CDCA7L","KIAA1324",NA,NA,NA,"AJM1","SIRPG",NA
"SCFD1","STON1","BX088651.4",NA,NA,NA,"TYW1","LINC01597",NA
"HDAC4-AS1","NNMT","PPM1H",NA,NA,NA,"ADGRB2","SLC12A5",NA
"COX10-AS1","ADH1B","FAM110C",NA,NA,NA,"PNMA6A","COL9A3",NA
"LINC00526","DCXR","AL035661.1",NA,NA,NA,"NICN1","CHODL",NA
"PPWD1","RND1","TMEM51",NA,NA,NA,"DZIP1L","MIR155HG",NA
"AC108134.2","CETP","LONRF1",NA,NA,NA,"PRKN","JAM2",NA
"AUH","Z83843.1","BAIAP2L2",NA,NA,NA,"FANCG","TRAPPC10",NA
"AC105094.2","SLC8A1","LAMC2",NA,NA,NA,"PTPN22","AP001059.3",NA
"FABP3","DSTYK","ZNF100",NA,NA,NA,"HRC","AC006946.2",NA
"SCAPER","CLECL1","TLR9",NA,NA,NA,"FAM131A","TMEM191B",NA
"AC007130.1","ZFP30","TJP3",NA,NA,NA,"IBA57-DT","SCARF2",NA
"TMEM229B","ZNF568","PGM2L1",NA,NA,NA,"PEX12","AP000550.1",NA
"AL590705.1","F2","F3",NA,NA,NA,"ARFGEF3","IGLV6-57",NA
"PXMP4","HSD17B2","U2AF1",NA,NA,NA,"ZSCAN21","IGLV1-51",NA
"TTK","WFIKKN1","CHST4",NA,NA,NA,"POC1B","IGLV1-44",NA
"AC105411.1","ABCB11","C14orf93",NA,NA,NA,"CCDC134","IGLV2-23",NA
"ZNF34","SERPINC1","WDR25",NA,NA,NA,"DHX32","IGLV3-1",NA
"AC011337.1","GCKR","DUSP4",NA,NA,NA,"LIN9","RGL4",NA
"MCM10","FAM83A-AS1","PHOSPHO2",NA,NA,NA,"SLC36A4","OSM",NA
"TTC21B","IGLC1","AC005225.2",NA,NA,NA,"AC100835.2","APOBEC3D",NA
"LINC01176","ST6GAL2","CHRNA5",NA,NA,NA,"EDARADD","PDGFB",NA
"LRRC6","GLUL","SLC35G2",NA,NA,NA,"C2orf92","SHISAL1",NA
"ZNF280C","RELA-DT","CCDC40",NA,NA,NA,"SMG8","TAFA5",NA
"HSD17B1","DBH","AC091607.2",NA,NA,NA,"PPP1R14B-AS1","AL683807.1",NA
"AL356652.1","P3H2","DEPDC1B",NA,NA,NA,"AP003068.2","NHS",NA
"AC012409.1","SHROOM4","PRR15L",NA,NA,NA,"AC012065.3","MED14OS",NA
"STK26","MT-ND2","PLEKHN1",NA,NA,NA,"ADIRF-AS1","ZNF674-AS1",NA
"AC016876.1","ID2-AS1","STYK1",NA,NA,NA,"FAM53A","KCND1",NA
"MAST1","FLT1","B3GNT7",NA,NA,NA,"LRRC29","PPP1R3F",NA
"MESP2","EPHX1","MANSC1",NA,NA,NA,"BIVM","USP51",NA
"AL157884.2","ALDH6A1","ALKBH8",NA,NA,NA,"CEP162","KLF8",NA
"TRIM31","CCDC188","RAB27B",NA,NA,NA,"LINC00511","AL590764.1",NA
"HEPACAM","CLEC4M","AL031963.3",NA,NA,NA,"LINC02716","LINC00891",NA
"CEBPA-DT","CPNE7","TEC",NA,NA,NA,"UGT1A6","GPRASP1",NA
"SFTPC","FAM99A","AC099343.3",NA,NA,NA,"HSPB9","BEX2",NA
"AC110792.3","TRMT13","NGF",NA,NA,NA,"ERMP1","PLP1",NA
"KCTD6","CPS1","ZNF468",NA,NA,NA,"THAP7-AS1","ZCCHC18",NA
"BTBD16","CDA","PRR4",NA,NA,NA,"NRN1","COL4A5",NA
"COL25A1","CD244","CDRT1",NA,NA,NA,"CTRL","CHRDL1",NA
"ANKAR","RMI1","SBSPON",NA,NA,NA,"CDHR3","RAB33A",NA
"MANEAL","HPN","MMP7",NA,NA,NA,"AC097534.2","RTL8B",NA
"AC102953.2","PTH1R","C8orf37",NA,NA,NA,"IFNLR1","LINC00632",NA
"FICD","AC074032.1","C9orf152",NA,NA,NA,"ZDHHC11B","L1CAM",NA
"ARID2","FREM2","C12orf75",NA,NA,NA,"LINC01569","NLGN4Y",NA
"SYTL5","IL21R","MAPK4",NA,NA,NA,"CA13","KAZN",NA
"AL391056.1","AC111149.2","FAM3B",NA,NA,NA,"AC009093.6","MNDA",NA
"DISP1","CU639417.4","SH2D3A",NA,NA,NA,"AL354920.1","PGBD2",NA
"TNFSF15","GOLGA7B","CYB5R2",NA,NA,NA,"AC090559.1","AC015982.2",NA
"ERI2","F12","NAT1",NA,NA,NA,"SLC51B","NPPC",NA
"AL355816.2","IGLC3","AL109613.1",NA,NA,NA,"SLC37A2","AC090425.2",NA
"PAPPA","CLIC6","ZNF680",NA,NA,NA,"JADE3","ZNF827",NA
"AFP","GOT1","ZNF841",NA,NA,NA,"ADPRHL1","GZMK",NA
"AL121583.1","RIDA","TMEM59L",NA,NA,NA,"DAPL1","SERPINB9P1",NA
"GSTO2","VPS8","PLEKHH2",NA,NA,NA,"ARHGEF9","HIST1H1D",NA
"SULT1E1","GPR89A","AC009065.4",NA,NA,NA,"ESCO1","FAM220A",NA
"ZNF573","CTTNBP2","SHH",NA,NA,NA,"AZIN1-AS1","ADAM22",NA
"LIN52","C5","CCDC198",NA,NA,NA,"ZNF260","PEG10",NA
"ZNF586","CHEK2","FAM184A",NA,NA,NA,"AP001107.9","ING3",NA
"CPB2-AS1","ADH1C","HNF4G",NA,NA,NA,"MREG","ZNF596",NA
"TRMT10A","EDN1","AL138756.1",NA,NA,NA,"LINC02482","CASC8",NA
"RHCG","RPL13","PDE6D",NA,NA,NA,"TMED2-DT","AL157935.1",NA
"ASB8","SELE","GRHL1",NA,NA,NA,"B3GNT8","SCART1",NA
"SLC35A5","LCAT","ZNF439",NA,NA,NA,"AC037198.1","KCTD21-AS1",NA
"EPCAM-DT","H19","RASSF6",NA,NA,NA,"AC016355.1","RERGL",NA
"CTSV","CYP3A5","IFT74",NA,NA,NA,"POF1B","AL161772.1",NA
"SRSF12","ADAMTS12","EPHA2",NA,NA,NA,"ZBTB9","NOVA1",NA
"NRL","RAD51","GALNT12",NA,NA,NA,"ANLN","AC048382.6",NA
"UTP23","LTF","AC027020.2",NA,NA,NA,"CCDC127","NTRK3",NA
"HRCT1","MT1M","CHST9",NA,NA,NA,"MEMO1","LINC01197",NA
"BVES","GPX2","MFSD6",NA,NA,NA,"TNFRSF11A","SNX20",NA
"CCDC78","BMP5","PLEKHB1",NA,NA,NA,"ZNF239","HOXB5",NA
"OVOL1-AS1","PPP1R1A","PROM1",NA,NA,NA,"FAM83D","KCNJ2-AS1",NA
"LINC01588","ACY1","AC009403.1",NA,NA,NA,"TCTE3","CD226",NA
"AC087379.2","ERCC6","TSPAN1",NA,NA,NA,"AC008264.2","ZNF559",NA
"AC108673.2","TMEM82","AC103691.1",NA,NA,NA,"HYLS1","ZNF71",NA
"U91319.1","HHIP","AC108519.1",NA,NA,NA,"DDX10","AP000547.3",NA
"SRL","SERPING1","TIPIN",NA,NA,NA,"NEMP2","BTK",NA
"AC009133.1","MST1","KLHL28",NA,NA,NA,"TRIM29","SMIM10",NA
"USP54","ANG","EPCAM",NA,NA,NA,"WDR75","AC245140.2",NA
"MARVELD2","ITIH1","SPINT1-AS1",NA,NA,NA,"CCT6B","LINC01914",NA
"SYCE3","PCK2","UBE3D",NA,NA,NA,"PAXIP1","ECRG4",NA
"KRT80","SLC38A3","AC104035.1",NA,NA,NA,"SOCS4","KCNMB3",NA
"AC127164.1","LINC00115","TMC4",NA,NA,NA,"ZNF426","MTX3",NA
"PLA2G1B","BMP6","PLLP",NA,NA,NA,"PCOLCE2","LRRC17",NA
"ALG11","CTSD","CDCP1",NA,NA,NA,"RNF227","TRAF1",NA
"PRDM16","SERPINA10","AC005840.2",NA,NA,NA,"KCTD21","LINC00857",NA
"AL133477.2","AC084375.1","VENTX",NA,NA,NA,"ZKSCAN4","OLFML1",NA
"LDB1","EPHA1","TFF1",NA,NA,NA,"ZNF254","RAPSN",NA
"CHMP1B-AS1","PAMR1","LINC01023",NA,NA,NA,"AC022784.6","POGLUT2",NA
"ARL6","LRRC3","RSPH3",NA,NA,NA,"PODXL2","SYNJ1",NA
"LRFN1","RPL36","OBI1",NA,NA,NA,"DENND2C","APOBEC3G",NA
"DNAAF2","CD5L","INAVA",NA,NA,NA,"ANKRD35","SMIM10L2B",NA
"GVQW3","NFKBIE","NT5DC3",NA,NA,NA,"SDR42E1","CHIT1",NA
"WDSUB1","SLC6A1","TESC",NA,NA,NA,"TMEM240","GAP43",NA
"AL645608.7","RPLP1","SHROOM3",NA,NA,NA,"TMEM161B","ARL10",NA
"ZKSCAN2","SDC4","LINC01320",NA,NA,NA,"MTFMT","SLC35F2",NA
"KLHL20","C1S","BSPRY",NA,NA,NA,"MOV10L1","GREB1L",NA
"DCST1-AS1","ZNF70","TTTY14",NA,NA,NA,"LINC02535","IQCC",NA
"NUP54","CAPS2","BCL10",NA,NA,NA,"POLH","CDC14A",NA
"PROSER2","CSAD","CCDC77",NA,NA,NA,"BNIP1","AL445426.1",NA
"STAG1","ZNF268","AC022784.1",NA,NA,NA,"AL080317.2","FCGR1A",NA
"APAF1","AC096586.1","AC027097.1",NA,NA,NA,"LOXL3","SEMA4A",NA
"FASTKD3","HSD11B1","PDCL",NA,NA,NA,"DGKG","ATP1A2",NA
"P2RX6","TRIM73","CST1",NA,NA,NA,"ANKRD23","WDPCP",NA
"CPA6","MMUT","SLC19A2",NA,NA,NA,"AL133353.1","BASP1",NA
"AC002467.1","SLC17A4","GRAMD1C",NA,NA,NA,"AC007099.1","ZC2HC1C",NA
"UBE2Q2L","FXYD1","UGT2B17",NA,NA,NA,"C5AR2","ASB2",NA
"NCOA5","DCXR-DT","CDC45",NA,NA,NA,"HKDC1","SLX1A",NA
"IGHMBP2","AKR1C1","KNL1",NA,NA,NA,"WDR97","AC008556.1",NA
"AL008729.2","GYS2","LRRC73",NA,NA,NA,"LCA5","LINC01730",NA
"CD109","CCDC18-AS1","RMI2",NA,NA,NA,"DAGLA","FAT4",NA
"CDK5R1","ZNF549","DDR1",NA,NA,NA,"AL096854.1","VIM-AS1",NA
"AC087854.1","UBASH3A","S100A14",NA,NA,NA,"TFAP2A-AS2","AP003486.1",NA
"RMC1","ARHGEF5","TMEM81",NA,NA,NA,"LMNB1","AC008115.3",NA
"GTF2IRD2","LAMC3","TYW1B",NA,NA,NA,"CAMKMT","AC016705.2",NA
"SLC38A6","GAMT","PIGR",NA,NA,NA,"AVPR1A","EDA2R",NA
"SPATA5","ABTB2","AQP3",NA,NA,NA,"CNR2","C1orf167",NA
"CHMP4C","NANP","ZNF618",NA,NA,NA,"SNHG4","LINC01779",NA
"CENPO","SPTLC3","CTSE",NA,NA,NA,"PHLPP1","KCNK2",NA
"ZNF91","ASL","AATK",NA,NA,NA,"TMEM147-AS1","CHL1",NA
"PPIP5K1","HNRNPA1L2","SEMA3B-AS1",NA,NA,NA,"HS3ST2","PRRT3",NA
"QPCTL","AC096677.1","CDH6",NA,NA,NA,"CDKN2A","SORCS2",NA
"AC017002.3","MLXIPL","SMAGP",NA,NA,NA,"ANKRD40","MIR4458HG",NA
"ZNF823","ZNF605","PHF7",NA,NA,NA,"AL672310.1","SYNE1",NA
"DPH5","BLOC1S3","DEGS2",NA,NA,NA,"NDUFAF6","AL161457.2",NA
"AGAP1","AL590617.2","MPZL3",NA,NA,NA,"WRN","TIGD7",NA
"AC008780.2","ZNF225","AC104785.1",NA,NA,NA,"NUP205","TNFRSF13C",NA
"AL365181.3","SYCN","TET2",NA,NA,NA,"LMLN","SCML4",NA
"TP53INP2","AL121603.2","REPS2",NA,NA,NA,"TIMM29","LINC00989",NA
"AKR1B10","RPS15","LRRC1",NA,NA,NA,"C17orf53","FZD10-AS1",NA
"AC096861.2","CACHD1","AP000873.2",NA,NA,NA,"SERPINI1","CXorf65",NA
"PSRC1","ADRA1A","NOA1",NA,NA,NA,"AC120053.1","AL451085.2",NA
"AC007423.1","TMEM100","DNMBP",NA,NA,NA,"SHISAL2A","CYP1B1-AS1",NA
"MALINC1","GATM","TMEM54",NA,NA,NA,"NBPF12","STARD7-AS1",NA
"POLR3G","IFITM3","PRSS3",NA,NA,NA,"RGMA","KIAA1211L",NA
"SF3B4","CGNL1","PRKCD",NA,NA,NA,"AK9","AC110611.1",NA
"SMG6","CASC19","ZNF761",NA,NA,NA,"AC099509.1","AC019131.2",NA
"IGLC6","TFR2","NOSTRIN",NA,NA,NA,"BUD13","PGM5P3-AS1",NA
"ZNF200","SCYL3","SMPD3",NA,NA,NA,"RNF165","ST8SIA1",NA
"TTYH1","CDKN1C","SPINT2",NA,NA,NA,"SLFN12L","MYZAP",NA
"AL592494.1","SLC2A2","HIST2H2BE",NA,NA,NA,"OXER1","CILP",NA
"CA3-AS1","SRD5A1","MAP2K6",NA,NA,NA,"WAKMAR2","PM20D1",NA
"SYTL4","AC127024.6","TMEM128",NA,NA,NA,"TMEM26","CDYL",NA
"GLIS3","CSF3R","AC015908.2",NA,NA,NA,"AC025164.1","AC022706.1",NA
"NOTUM","COL27A1","PGBD5",NA,NA,NA,"MARCH8","AC093525.6",NA
"FRAT1","TSPYL2","ZNF189",NA,NA,NA,"CYB5RL","GAB3",NA
"MIR3936HG","HOGA1","DPH6",NA,NA,NA,"RXYLT1","SLC11A1",NA
"SNAI2","NEAT1","KRT19",NA,NA,NA,"SLC24A4","KLHL7",NA
"SPTBN5","PIPOX","MACC1",NA,NA,NA,"RBM28","ADGRD1",NA
"AP001059.1","NRSN2","MUC1",NA,NA,NA,"SPINDOC","AC004477.1",NA
"AC012645.1","MT1X","LRP2BP",NA,NA,NA,"MSX1","CSTA",NA
"TMCC1","CDCA8","ZNF575",NA,NA,NA,"ZNF90","LCNL1",NA
"PAXIP1-AS1","C2CD4C","TDRD7",NA,NA,NA,"GRK4","FUT1",NA
"LGALS8-AS1","CREB3L3","ABCC4",NA,NA,NA,"PGBD5","CCDC17",NA
"LINC01702","TTLL7","ANKRD50",NA,NA,NA,"XYLB","PPP1R16B",NA
"WDR70","RPL41","TNNI2",NA,NA,NA,"ALPK1","SMIM17",NA
"DUSP28","MAT1A","SCAMP1-AS1",NA,NA,NA,"RAD54L","FP565260.6",NA
"VPS13A","AC092306.1","AC016355.1",NA,NA,NA,"ABHD4","DOCK11",NA
