"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"BCS1L","IGKC","FAM98A","AC008875.3","GPR89B","MAP3K20","EOMES","OXNAD1","ZC3H8","INTS7","EML6","CCNF","TSNAXIP1","LINC01558","ZNF446","KIF21B",NA,"BTRC","NPDC1",NA,"ADAL","C12orf73","SATB2","ABHD14A","CEP68"
"ABCB6","MRPS5","CDC42EP3","MAP3K1","NBPF19","SP3","TRANK1","RFTN1","TTL","LINC02608","AC016727.1","AL023803.1","VEGFB","DENND6B","AL355353.1","MYO19",NA,"CYTH4","FLVCR1",NA,"ENTPD8","AMOTL2","ORC2","LRIG1","DYSF"
"AC009407.1","KANSL3","ATL2","MTX3","HIST2H2AC","RBM45","MAP4","OXSM","SFT2D3","PACC1","PNO1","AC026979.2","ATP7A","PARD6B","PHF11","ADPRM",NA,"RBM12B","AC004918.1",NA,"KBTBD4","LINC00884","ALS2","ZNF654","DUSP11"
"INPP5D","ANKRD39","TMEM178A","SRFBP1","PLEKHO1","ASNSD1","ARIH2","MLH1","CXCR4","ATF3","PLEK","FIG4","RPP40","ZNF407","RLF","LINC00294",NA,"MRTFB","ZFPM1",NA,"EFNB1","ZNF414","EPHA4","CEP97","MTHFD2"
"DGKD","INPP4A","PIGF","CEP120","C1orf54","STK17B","SEMA3B","MYD88","AC016682.1","ITPKB","C2orf42","C15orf41","PRKX","TRIM13","CYP3A7","SLC7A6OS",NA,"TBC1D7","ABCA10",NA,"CEP57",NA,"RHBDD1","SLC35A5","SEMA4F"
"ASB1","BCL2L11","PPP1R21","SEPTIN8","PRPF3","MARS2","NAA80","OXSR1","RND3","IBA57","ZNF638","ZNF155","COL6A3","SIN3B","ATG5","LINC02352",NA,"FEN1","REV1",NA,NA,NA,"FARP2","NAA50","VAMP8"
"GPC1","TTL","PNPT1","AC113410.4","AL590133.2","SATB2","RAD54L2","PRKAR2A","NEB","GALNT2","AC007878.1","ARHGAP33","ABCC1","ABHD17C","AL162231.1","NFAT5",NA,"ZNF91","FHIT",NA,NA,NA,"THUMPD3","SEC22A","EIF2AK3"
"TRNT1","AC079922.2","PAPOLG","RELL2","OAZ3","ALS2","TWF2","USP19","IFIH1","MAP10","TET3","ACE","AL021707.6","SETBP1","ZSCAN29","AP1M2",NA,"CYP3A7","DLC1",NA,NA,NA,"ATG7","FAIM","ZAP70"
"AC024060.2","IL1RN","PUS10","SPDL1","S100A9","STK36","ACTR8","KLHDC8B","METTL5","SH3BP5L","MOB1A","AGER","NMNAT3","MSH5","ARID5A","LONRF3",NA,"PHF6","QSOX1",NA,NA,NA,"MKRN2","RBP1","MGAT4A"
"SRGAP3","CBWD2","AC010913.1","DBN1","S100A4","STK11IP","PTPRG","TCTA","TLK1","AC108488.1","ELMOD3","FZD3","PIK3CD","AL162595.1","BIK","ZNF623",NA,"SNTB2","SCARF1",NA,NA,NA,"PLCL2","GMPS","TXNDC9"
"XYLB","EPB41L5","SMYD5","AL441883.1","HCN3","SLC19A3","NXPE3","DCAF1","MAP3K20","SMC6","CAPG","PLCXD1","BRPF1","SCARNA9","PRKCI","PBRM1",NA,"JAK3","ZNF33B",NA,NA,NA,"NKIRAS1","MB21D2","NPAS2"
"KIAA1143","GYPC","LBX2-AS1","JARID2","ASH1L-AS1","SP140L","SLC35A5","TWF2","ANKAR","HS1BP3","KDM3A","THEMIS2","BX890604.2","AP001372.2",NA,"SFT2D1",NA,"C2CD3","CWC22",NA,NA,NA,"EOMES","TMEM44-AS1","TMEM87B"
"CXCR6","BIN1","PCGF1","HIST1H3C","TMEM79","GIGYF2","NEPRO","PPM1M","GLS","CENPA","RPIA","CDK8","PRRT3","EFNB1",NA,"ZSCAN29",NA,"AL121899.1","FBXO42",NA,NA,NA,"GORASP1","MSX1","ZC3H6"
"SLC25A20","SFT2D3","AC009237.14","HCG18","NES","FARP2","MBD4","DNAH1","KCTD18","GPN1","ZNF514","LINC01116","LINC01252","SLC9A6",NA,"AC090517.5",NA,"NHLRC3","CD8A",NA,NA,NA,"NKTR","TADA2B","TMEM177"
"RNF123","AC012306.2","LMAN2L","NRM","PEAR1","TTLL3","AC083799.1","GNL3","PPIL3","RASGRP3","LINC00342","PSPN","RIN2","IL15",NA,"FAM104B",NA,"ARMCX4","AC005162.3",NA,NA,NA,"SNRK","AFAP1","CLASP1"
"GMPPB","MCM6","IL18R1","HCG20","ETV3","TSEN2","ACTL6A","EOGT","RNF25","SLC8A1","ANKRD39","DCUN1D2","SP6","GPSM3",NA,"LINC01315",NA,"FAM53B","COX11",NA,NA,NA,"TDGF1","EXOC1","AMMECR1L"
"HEMK1","RIF1","MALL","NCR3","CRP","CHCHD4","ABCC5","CPOX","CNPPD1","PPM1B","NCK2","LY6G5B","SMG6",NA,NA,"KIF20A",NA,"NUTM2A-AS1","TMEM8B",NA,NA,NA,"CCDC51","MMRN1","ORC4"
"NEK4","PKP4","CLASP1","AL354740.1","ARHGAP30","NGLY1","TMEM44-AS1","HCLS1","ANKZF1","RHOQ","GCC2","PRKN","SULT1E1",NA,NA,"ARMCX4",NA,"DDX52","SCMH1",NA,NA,NA,"CCDC71","DNAJB14","STAM2"
"RFT1","CERS6","ERCC3","TBC1D22B","APOA2","CNOT10","FAM43A","CCDC14","TUBA4A","EPCAM","RANBP2","AC009113.1","AMIGO1",NA,NA,"ENHO",NA,"EFCAB2","SLC66A3",NA,NA,NA,"NPRL2","GSTCD","TTC21B"
"RPP14","LINC01124","CCDC115","ZNF318","C1orf112","SS18L2","TNK2","TXNRD3","SPEGNB","FOXN2","ANAPC1","FBXL8","EPOR",NA,NA,"RLF",NA,"GJA1",NA,NA,NA,NA,"SELENOK","CCNA2","KLHL23"
"CD47","WIPF1","PLEKHB2","LINC01621","AL021026.1","AC099329.2","MYL5","ACAD11","DIS3L2","AC012358.3","POLR1B","NOD1","SAMD11",NA,NA,"CLVS2",NA,"NUDT1",NA,NA,NA,NA,"THOC7","ABHD18","HAT1"
"GRAMD1C","NUP35","CXCR4","AL359715.3","PIGC","SCAP","SLC26A1","STAG1","ATG16L1","VRK2","THORLNC","SENP8","CDC20",NA,NA,"APC",NA,"LINS1",NA,NA,NA,NA,"FOXP1","SMAD1","RAPGEF4"
"B4GALT4","CALCRL","ARHGAP15","COQ3","SERPINC1","PRKAR2A","GRK4","FAIM","USP40","REL","ERCC3","ZNF839","LAMB3",NA,NA,"MLIP",NA,NA,NA,NA,NA,NA,"ZBTB11-AS1","ZDHHC11B","SCRN3"
"HCLS1","GLS","SP3","AL133338.1","ANGPTL1","MON1A","TADA2B","WWTR1","SH3BP4","FAM161A","MAP3K2","FBXL20","FRMD4A",NA,NA,"USP49",NA,NA,NA,NA,NA,NA,"C3orf85","AC091978.1","SLC39A10"
"CCDC58","STAT4","HOXD9","PKIB","KIAA1614-AS1","RASSF1","LDB2","TIPARP-AS1","ILKAP","AFTPH","MYO7B","PTPRN2","LRP2BP",NA,NA,"CLTRN",NA,NA,NA,NA,NA,NA,"NECTIN3","ARL15","PPIL3"
"ZXDC","NIF3L1","OSBPL6","MTFR2","STX6","CYB561D2","TMEM165","RPL22L1","PER2","FBXO48","CCNT2","DCAF15","HIST1H2BJ",NA,NA,"ZFP64",NA,NA,NA,NA,NA,NA,"POPDC2","SETD9","CCNYL1"
"AC108673.2","FAM126B","PLEKHA3","ADAT2","GLUL","CYB561D2","HOPX","LINC02015","HDAC4-AS1","MXD1","ZEB2","STAB1","ATP7B",NA,NA,"CCNB1",NA,NA,NA,NA,NA,NA,"ZNF148","SMIM15","TNS1"
"CDV3","ABI2","SESTD1","MTHFD1L","RNASEL","PARP3","RUFY3","AC068631.1","ANKMY1","LINC01816","NMI","MUS81","TRAM2-AS1",NA,NA,"P2RY2",NA,NA,NA,NA,NA,NA,"SLC41A3","RASA1","GLB1L"
"LINC00886","NDUFS1","ZNF385B","PRKN","NCF2","GLT8D1","CXCL10","PIGG","TRNT1","MRPL53","TANC1","ZNF449","GNB4",NA,NA,"SLC66A3",NA,NA,NA,NA,NA,NA,"RAB43","WDR36","UGT1A4"
"RSRC1","AC021016.3","ITGAV","FOXK1","SWT1","ARF4","CNOT6L","PCGF3","CRBN","POLR1A","IFIH1","CLEC2B","SAMD9L",NA,NA,"AC104971.1",NA,NA,NA,NA,NA,NA,"NCK1","DCP2","AGAP1-IT1"
"AC106707.1","SNORC","COL3A1","ETV1","AL136456.1","DENND6A","AFF1","ZFYVE28","ACVR2B","PLGLB2","DCAF17","AC127502.2","PTCH1",NA,NA,"MEIS2",NA,NA,NA,NA,NA,NA,"CEP70","PHAX","ASB1"
"SMC4","DGKD","ORC2","CDCA7L","CFHR4","DNASE1L3","EMCN","BOD1L1","TTC21A","ZNF514","GPR155","FCHO2","ZNF564",NA,NA,"WDFY2",NA,NA,NA,NA,NA,NA,"ATP1B3","KIF3A","DUSP28"
"EIF5A2","MROH2A","ABI2","HOTTIP","KIF21B","PTPRG","MANBA","LDB2","TRAK1","MITD1","AGPS","ADRA1B","IL3RA",NA,NA,"INIP",NA,NA,NA,NA,NA,NA,"ATP11B","TMEM173","CAPN10"
"NCEH1","ESPNL","METTL21A","KIAA0895","LAD1","DHFR2","LINC02428","DCAF16","RTP3","MIR4435-2HG","ITGA4","KMT2A","PM20D2",NA,NA,"TVP23B",NA,NA,NA,NA,NA,NA,"EEF1AKMT4","PURA","RAD18"
"KCNMB3","CAPN10","SPAG16","TPST1","ATP2B4","NSUN3","AC097376.3","LIAS","PTPN23","FBLN7","WDR75","PAQR3","TRIL",NA,NA,"ERCC6L2",NA,NA,NA,NA,NA,NA,"CAMK2N2","RNF14","CAMK1"
"TMEM44","OGG1","IGFBP5","LINC00174","PIK3C2B","NEPRO","ARFIP1","APBB2","ATRIP","POLR1B","TRAK2","CLEC10A","PPP1R14A",NA,NA,"EPB41L3",NA,NA,NA,NA,NA,NA,"VPS8","ADRB2","IL17RE"
"AC139887.2","SYN2","CATIP","KRIT1","DSTYK","CCDC191","TMEM131L","COMMD8","DALRD3","CHCHD5","TMEM237","NEK1","MFSD14C",NA,NA,"DNAAF5",NA,NA,NA,NA,NA,NA,"TBCCD1","SLC26A2","HDAC11"
"CPLX1","PLCL2","AGFG1","KMT2E-AS1","SRGAP2","SLC49A4","RAPGEF2","CNGA1","USP4","AMMECR1L","NOP58","SNAPC1","ALDH3B1",NA,NA,"CELF2",NA,NA,NA,NA,NA,NA,"UTS2B","HMMR","CHCHD4"
"CRIPAK","KAT2B","SP110","ZNF467","YOD1","AC063919.1","AADAT","SPATA18","RBM5","SAP130","AC064836.3","F8","CYP2C19",NA,NA,"KLRK1",NA,NA,NA,NA,NA,NA,"FAM43A","STK10","CCDC174"
"STX18","SLC4A7","COPS7B","LINC01003","LAMB3","RUVBL1","ZDHHC11B","CHIC2","WDR82","PLEKHB2","METTL21A","ZNF324","AL161668.4",NA,NA,"AP005329.3",NA,NA,NA,NA,NA,NA,"MUC20","LINC01962","DPH3"
"SOD3","CMTM8","MLPH","AC144652.1","C1orf74","BCHE","RETREG1","UGT2A1","SFMBT1","CCNT2-AS1","CCNYL1","ZBTB40","HSPA4L",NA,NA,"WDR20",NA,NA,NA,NA,NA,NA,"NCBP2AS2","AL031058.1","ACVR2B"
"STIM2","PLCD1","DTYMK","PTPRN2","HHAT","USP13","RICTOR","COX18","DNASE1L3","RIF1","PIKFYVE","DPY19L3","ARMCX6",NA,NA,"GGA3",NA,NA,NA,NA,NA,NA,"SH3BP2","MCUR1","WDR48"
"LNX1","ZNF621","TATDN2","PRAG1","NEK2","DCUN1D1","PARP8","SOWAHB","GBE1","NEB","RNF25","POLR3F","SNHG12",NA,NA,"BATF2",NA,NA,NA,NA,NA,NA,"MRFAP1L1","MRS2","ABHD5"
"CLOCK","NKTR","VGLL4","CA3-AS1","FLVCR1","ABCF3","CENPH","CNOT6L","ZBTB11","LY75","AGFG1","ZNF473","OSCP1",NA,NA,"BEND3",NA,NA,NA,NA,NA,NA,"LINC02447","ZSCAN16","ZNF197"
"POLR2B","ANO10","TMEM43","POP1","RPS6KC1","CAMK2N2","GCNT4","ENOPH1","DZIP3","TANK","SP140L","MAN1C1","SLC10A3",NA,NA,"GLIS2",NA,NA,NA,NA,NA,NA,"LCORL","MICB","CCRL2"
"COPS4","ARIH2","RBSN","AC079061.1","TAF1A","ETV5","AC008771.1","SPATA5","TIMMDC1","PHOSPHO2","MTERF4","ZNF862","IL27RA",NA,NA,"CDADC1",NA,NA,NA,NA,NA,NA,"SEPSECS-AS1","C4A","KIF9"
"PAPSS1","QRICH1","EAF1","LINC01151","TAF1A-AS1","OPA1","CCNH","ANKRD50","PLA1A","TTC30A","RAD18","PPP2R5B","FAM78A",NA,NA,"CCDC18-AS1",NA,NA,NA,NA,NA,NA,"TMEM165","ATF6B","SMARCC1"
"AC096564.1","RASSF1","HACL1","SAXO1","EPHX1","MUC20","SLF1","DDX60L","HSPBAP1","RBM45","VHL","PDE7A","CA3-AS1",NA,NA,"AC103706.1",NA,NA,NA,NA,NA,NA,"POLR2B","BTBD9","SLC26A6"
"OTUD4","CISH","RFTN1","GAS1","AL512343.2","PIGX","YTHDC2","HPF1","SEC22A","SESTD1","PPARG","PCDH12","EPB41L2",NA,NA,"EYA3",NA,NA,NA,NA,NA,NA,"CXCL2","UNC5CL","NCKIPSD"
"AC012640.2","RAD54L2","AC097639.1","SPIN1","ZNF678","GAK","PGGT1B","WWC2","SLC41A3","OSGEPL1","NUP210","HHAT","CCR5",NA,NA,"ZNF583",NA,NA,NA,NA,NA,NA,"CCNG2","OARD1","CYB561D2"
"MTMR12","PARP3","ITGA9-AS1","ZNF484","AL162595.1","IDUA","CDC42SE2","RWDD4","AC063919.1","GLS","DPH3","RBAK","ZNF92",NA,NA,"TLCD2",NA,NA,NA,NA,NA,NA,"ANTXR2","CAPN11","CYB561D2"
"ZNF131","DNAH1","PLCD1","PHF2","CCSAP","HAUS3","JADE2","AC099343.3","CHCHD6","STK17B","RFTN1","DAPL1","OGFRL1",NA,NA,"NUP93",NA,NA,NA,NA,NA,NA,"ENOPH1","MYO6","DUSP7"
"TMEM267","NEK4","DLEC1","ERCC6L2","MAP3K21","NOP14-AS1","TMEM173","CCDC127","AC108673.3","GTF3C3","AZI2","CASP2","ADCY6",NA,NA,"COL5A3",NA,NA,NA,NA,NA,NA,"KLHL8","TTK","SLMAP"
"SLC38A9","IL17RB","MYD88","ZNF510","AL391832.2","TBC1D14","IGIP","MTRR","TOPBP1","PGAP1","TRIM71","INPP5E","SLC25A35",NA,NA,"WDR35",NA,NA,NA,NA,NA,NA,"TIGD2","RARS2","PTPRG"
"DIMT1","APPL1","OXSR1","PLPPR1","B3GALNT2","AC097382.3","TMCO6","ATPSCKMT","RYK","KCTD18","TRANK1","C10orf88","TMEM198",NA,NA,"PLCXD1",NA,NA,NA,NA,NA,NA,"PDLIM5","PM20D2","ADAMTS9"
"IPO11","DENND6A","CSRNP1","CDC26","LYST","RAB28","AFAP1L1","ZNF622","AC046134.2","TMEM169","ACVR2B-AS1","AGTPBP1","TMEM128",NA,NA,"RECQL4",NA,NA,NA,NA,NA,NA,"TSPAN5","LYRM2","TMF1"
"CCDC125","SLMAP","ABHD5","KIF12","EFCAB2","TLR1","HMGXB3","CPLANE1","DHX36","IGFBP5","CSRNP1","IRGQ","THUMPD2",NA,NA,"CHST7",NA,NA,NA,NA,NA,NA,"PLA2G12A","NDUFAF4","ZNF717"
"GCNT4","ARL13B","ZNF445","PFKP","SMYD3","KLHL5","TCOF1","ANXA2R","AC091607.2","STK36","EXOSC7","SLC23A1","RNASE6",NA,NA,"LINC01232",NA,NA,NA,NA,NA,NA,"TLR2","SESN1","USF3"
"LHFPL2","CPOX","ZDHHC3","IL15RA","PGBD2","NIPAL1","GEMIN5","KIF2A","RSRC1","STK16","LARS2","LINC01767","ACTR5",NA,NA,"AC008014.1",NA,NA,NA,NA,NA,NA,"CPE","MARCKS","TMEM39A"
"MSH3","NR1I2","FYCO1","SLC35G1","SH3YL1","FRYL","CPLX2","AC008771.1","BCHE","SP110","PTPN23","EXTL3","LINC02732",NA,NA,"FAM114A2",NA,NA,NA,NA,NA,NA,"TRAPPC11","SYNE1","HMCES"
"XRCC4","KALRN","TDGF1","LZTS2","PXDN","UBA6-AS1","PRR7","LUCAT1","MECOM","AC009407.1","ELP6","NCKAP5L","CCDC88B",NA,NA,"KIFC2",NA,NA,NA,NA,NA,NA,"EXOC3-AS1","RPS6KA2","IFT122"
"AC010226.1","SLC12A8","MYL3","SCT","U91324.1","RUFY3","COL23A1","MCTP1","PLD1","SETMAR","NME6","IL15","ZNF324",NA,NA,"POC1B-AS1",NA,NA,NA,NA,NA,NA,"AC026748.3","MIOS","PIK3R4"
"ZNF608","OSBPL11","NBEAL2","DRD4","ADAM17","MTHFD2L","ZNF354B","TSLP","ZNF639","AC026202.2","RBM6","TP53BP1","GCNT3",NA,NA,"LYVE1",NA,NA,NA,NA,NA,NA,"CDH6","MEOX2","MSL2"
"P4HA2","ZXDC","SCAP","AC090469.1","AC010969.2","SHROOM3","BTNL9","WDR36","MAP3K13","RAD18","NPRL2","VASH1-AS1","AC008915.2",NA,NA,"TMC3-AS1",NA,NA,NA,NA,NA,NA,"BRIX1","FAM221A","STAG1"
"GRPEL2","CHCHD6","NCKIPSD","CD6","GRHL1","SMARCAD1","SNRNP48","ACSL6","TPRG1","PRRT3-AS1","RBM15B","ADGRA3","GNPTAB",NA,NA,"CFAP44",NA,NA,NA,NA,NA,NA,"C5orf51","LINC00997","ATP1B3"
"PWWP2A","PLOD2","SLC25A20","RAB3IL1","AC104794.3","SLC39A8","CDKAL1","TCF7","UTS2B","TMEM43","BAP1","AP001372.2","AL121603.2",NA,NA,"DSCAS",NA,NA,NA,NA,NA,NA,"PELO","KBTBD2","XRN1"
"TSPAN17","ARHGEF26","AMT","GSTP1","E2F6","FAM241A","SLC17A1","SMAD5","FGF12","XPC","RFT1","JAG1","ARHGAP29",NA,NA,"DAPK3",NA,NA,NA,NA,NA,NA,"AC008966.1","C7orf25","DHX36"
"PRR7","IFT80","UBA7","XRRA1","GREB1","TIFA","HIST1H4H","FAM13B","PCYT1A","RBSN","DCP1A","BCL2L2","GLUD2",NA,NA,"DPYSL2",NA,NA,NA,NA,NA,NA,"GZMA","POM121C","LINC00886"
"PHYKPL","PIK3CA","MAPKAPK3","KCTD21-AS1","KCNS3","ANXA5","HIST1H2AG","BRD8","PCGF3","OXSM","THOC7","ADO","CLBA1",NA,NA,"AC004012.1",NA,NA,NA,NA,NA,NA,"AC016596.1","RBM48","IQCJ-SCHIP1"
"BTNL8","TBCCD1","RBM15B","AP001528.1","APOB","SPRY1","HIST1H3H","TMCO6","MAEA","CNOT10","EOGT","LINC01089","MAPKBP1",NA,NA,"TOLLIP-AS1",NA,NA,NA,NA,NA,NA,"TRIM23","TRRAP","LRRC31"
"TRIM41","ZNF141","NT5DC2","AP002784.1","UBXN2A","LARP1B","RPP21","TCERG1","DCAF16","MLH1","MITF",NA,"IRGQ",NA,NA,"NPHP3",NA,NA,NA,NA,NA,NA,"CDK7","STAG3","ACTL6A"
"SERPINB9P1","SLC26A1","GNL3","CCDC82","PTRHD1","ELF2","CCHCR1","STK10","PPARGC1A","XYLB","RYBP",NA,"PIP5K1C",NA,NA,"MKI67",NA,NA,NA,NA,NA,NA,"ANKRA2","PILRA","KLHL6"
"RIPK1","MXD4","ERC2","CASP4","ADCY3","RAB33B","AL645933.2","NOP16","C4orf19","EXOSC7","DCBLD2",NA,"CDKN2B",NA,NA,"NAT2",NA,NA,NA,NA,NA,NA,"GFM2","LRCH4","YEATS2"
"NHLRC1","LINC02482","ARF4-AS1","COLCA1","DNAJC27","TMEM184C","HCP5","ZNF346","WDR19","SACM1L","CD47",NA,"ARHGEF15",NA,NA,"E2F6",NA,NA,NA,NA,NA,NA,"WDR41","IFT22","TMEM41A"
"SCGN","CPEB2","LRIG1","GRAMD1B","AGBL5","DCLK2","ATF6B","MCUR1","GUF1","FYCO1","PHLDB2",NA,"ITM2A",NA,NA,"VTI1A",NA,NA,NA,NA,NA,NA,"JMY","KMT2E","RTP4"
"BTN2A1","TAPT1","TMF1","FAM118B","GTF3C2","TRIM2","PBX2","AL138724.1","EXOC1","MAP4","POGLUT1",NA,"LYST",NA,NA,"USF1",NA,NA,NA,NA,NA,NA,"RASGRF2","AC006333.2","APOD"
"C6orf136","CCDC149","CHMP2B","NCAPD3","IFT172","TRAPPC11","PSMB8-AS1","HFE","ANKRD17","P4HTM","GSK3B",NA,"CEP120",NA,NA,"ARHGAP42",NA,NA,NA,NA,NA,NA,"ATG10","PRKAG2-AS1","SENP5"
"AL645933.2","PI4K2B","C3orf38","CCDC77","LBH","MED10","ZBTB9","DHX16","WDFY3","USP19","RABL3",NA,"PHF2",NA,NA,"DPP8",NA,NA,NA,NA,NA,NA,"CCNH","SHH","DOK7"
"HCP5","SLC30A9","NSUN3","TULP3","LCLAT1","LINC01018","STK38","LTB","AFF1","USP4","CSTA",NA,"STARD3NL",NA,NA,"PPARGC1B",NA,NA,NA,NA,NA,NA,"TMEM161B","TDRP","ADRA2C"
"DAXX","KDR","RIOX2","RAD51AP1","SRD5A2","AC025171.2","RNF8","EGFL8","BDH2","IP6K1","ACPP",NA,"TCAF2",NA,NA,"AL031123.5",NA,NA,NA,NA,NA,NA,"CETN3","AGPAT5","LINC02447"
"PIM1","JCHAIN","SENP7","VAMP1","SPAST","AC093297.2","ADGRF5","ZBTB9","TIFA","CISH","DNAJC13",NA,"MIEF2",NA,NA,"BMPR2",NA,NA,NA,NA,NA,NA,"RAPGEF6","ERI1","ABLIM2"
"ENPP4","MRPL1","BBX","C3AR1","GPATCH11","DHX29","CENPQ","DEF6","METTL14","IL17RB","CEP63",NA,"ITGA9",NA,NA,"SCFD2",NA,NA,NA,NA,NA,NA,"HARS2","PPP1R3B","RAB28"
"CD109","TMEM150C","NECTIN3","STK38L","PRKD3","ANKRD55","FBXL4","KCTD20","NAA15","PDE12","DBR1",NA,"CEP72",NA,NA,"BBS9",NA,NA,NA,NA,NA,NA,"CSF1R","GATA4","RBPJ"
"ASCC3","SPP1","CD96","CPNE8","THUMPD2","PLK2","RPF2","STK38","MAML3","RPP14","RASA2",NA,"ZNF407",NA,NA,"AL133410.1",NA,NA,NA,NA,NA,NA,"CCDC69","NAT1","APBB2"
"SLC2A12","SMARCAD1","ARHGAP31","AC004241.1","SRBD1","CCDC125","DCBLD1","SAYSD1","MMAA","SHQ1","XRN1",NA,"GIMAP2",NA,NA,"TASOR2",NA,NA,NA,NA,NA,NA,"GALNT10","SCARA3","FIP1L1"
"AHI1","PPP3CA","PLA1A","NCKAP5L","MSH2","RAD17","ASF1A","BYSL","LSM6","C3orf38","GMPS",NA,"RAB11FIP2",NA,NA,"LST1",NA,NA,NA,NA,NA,NA,"MED7","RBPMS","SHROOM3"
"BCLAF1","SGMS2","RABL3","CSRNP2","MSH6","JMY","HDDC2","CUL7","LRBA","RIOX2","CCNL1",NA,"CHSY1",NA,NA,"SMIM6",NA,NA,NA,NA,NA,NA,"TENM2","XKR9","HERC6"
"PEX3","FAM241A","GOLGB1","TSPAN31","CHAC2","SSBP2","SLC18B1","XPO5","GATB","SENP7","RPL22L1",NA,"PTPRB",NA,NA,"MLLT6",NA,NA,NA,NA,NA,NA,"DOCK2","HNF4G","DNAJB14"
"PRR18","AC109347.1","SLC49A4","ATP23","LGALSL","ST8SIA4","TNFAIP3","AL033397.1","FNIP2","TRMT10C","FNDC3B",NA,"MTERF1",NA,NA,"PPP1R12B",NA,NA,NA,NA,NA,NA,"BNIP1","SLC10A5","CENPE"
"FAM120B","MFSD8","MYLK-AS1","RXYLT1","MEIS1","DMXL1","ADGRG6","RAB23","ING2","DZIP3","ZNF639",NA,"KMT2A",NA,NA,"MSI2",NA,NA,NA,NA,NA,NA,"B4GALT7","TMEM65","TBCK"
"PDCD2","NAA15","ZNF148","C12orf66","PCBP1-AS1","SOWAHA","HIVEP2","RWDD2A","ANKRD37","B4GALT4","LAMP3",NA,"AL441883.1",NA,NA,"SLC39A5",NA,NA,NA,NA,NA,NA,"BTNL8","ZFAT","LEF1"
"ELFN1","MMAA","TXNRD3","DYRK2","ALMS1","FAM53C","PLEKHG1","CYB5R4","MED10","CCDC58","CRYGS",NA,"CEP192",NA,NA,"TSHZ2",NA,NA,NA,NA,NA,NA,"SNRNP48","NRBP2","KIAA1109"
"PMS2","PRLR","AC108673.2","POC1B","AC005041.5","ECSCR","TMEM242","LINC02535","RETREG1","LINC02035","AC139887.2",NA,"ZNF395",NA,NA,"AC083900.1",NA,NA,NA,NA,NA,NA,"KDM1B","MROH1","JADE1"
"ZNF12","FBXO4","PIK3CB","IFT81","LBX2","UBE2D2","PDGFA","PNISR","C5orf22","RYK","SH3BP2",NA,"LPCAT2",NA,NA,"LRRC29",NA,NA,NA,NA,NA,NA,"TRIM38","MLANA","ELF2"
"SNHG26","MOCS2","PLSCR4","C12orf43","PARTICL","HBEGF","COX19","TSPYL4","NPR3","DBR1","ABLIM2",NA,"SNX16",NA,NA,"MRM1",NA,NA,NA,NA,NA,NA,"HIST1H1C","PSIP1","NR3C2"
"TRIL","SETD9","TSC22D2","LINC01089","C2orf68","GRPEL2","C7orf50","DSE","NUP155","ARMC8","ACOX3",NA,"AL355488.1",NA,NA,"MUS81",NA,NA,NA,NA,NA,NA,"BTN2A2","TOPORS","SAP30"
"ZMIZ2","TRIM23","SELENOT","ZNF10","ATOH8","ARHGEF37","PSMG3-AS1","HINT3","AK6","MRAS","WDR19",NA,"AKR1B1",NA,NA,"PCDH20",NA,NA,NA,NA,NA,NA,"LINC00240","MELK","UBE2QL1"
"MYO1G","SLC30A5","SIAH2","COG6","FABP1","CLINT1","ELFN1","ECHDC1","AC008771.1","CEP70","DCUN1D4",NA,"HSD11B1",NA,NA,"SLC9A6",NA,NA,NA,NA,NA,NA,"DHX16","CBWD3","ATPSCKMT"
"VOPP1","PTCD2","RAP2B","DLEU1","DUSP2","PWWP2A","GNA12","VNN2","CKMT2-AS1","MRPS22","USP46",NA,"SMARCAL1",NA,NA,"RFLNB",NA,NA,NA,NA,NA,NA,"STK19","GKAP1","OTULINL"
"NIPSNAP2","POLK","TIPARP","RNASEH2B","LIPT1","TENM2","SLC29A4","PEX7","ATG10","AC046134.2","HOPX",NA,"CASP2",NA,NA,"AC131097.2",NA,NA,NA,NA,NA,NA,"VPS52","AL353150.1","LIFR"
"TYW1","F2R","B3GALNT1","MYCBP2","REV1","STC2","RNF216","AL357075.4","CCNH","RBP1","SULT1B1",NA,"NES",NA,NA,"LINC01863",NA,NA,NA,NA,NA,NA,"ZBTB9","ZNF367","PRKAA1"
"HIP1","TENT2","SKIL","GPR180","AFF3","FAF2","FAM220A","AL360169.3","TMEM161B-AS1","PAQR9","UTP3",NA,"CCM2L",NA,NA,"TEDC1",NA,NA,NA,NA,NA,NA,"NUDT3","TMOD1","ZBED3"
"SSC4D","CAST","LINC02015","AL161668.4","MFSD9","MRNIP","ZNF316","RSPH3","FNIP1","COMMD2","SDAD1",NA,"SLC5A3",NA,NA,"INCA1",NA,NA,NA,NA,NA,NA,"ANKS1A","KIAA1958","LHFPL2"
"POMZP3","ATG12","TTC14","GPR135","TGFBRAP1","CNOT6","C1GALT1","GET4","P4HA2","P2RY13","SEPTIN11",NA,"AGK",NA,NA,"POU6F1",NA,NA,NA,NA,NA,NA,"PPARD","AKNA","TMEM161B"
