"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
"PDIA4","GUCA1B","GYG2","AL356019.2","SPATA41","ITGAD","CETP","AP001172.1","BICDL1","AC007389.5","ZNF503-AS2","MYLPF","GEMIN7-AS1",NA,NA,NA,NA,NA,NA,NA,"ITGB1-DT","PRSS8","STOX1",NA,"OTOGL","DUSP19","AC011468.5",NA
"CAST","AL355802.3","GPR143","AL161668.4","CACNA1H","COX6A2","NDRG4","MIR548XHG","CABP1","AL358852.1","ZMIZ1-AS1","AC106886.3","IGFL4",NA,NA,NA,NA,NA,NA,NA,"GDF10","AC007920.2","C12orf56",NA,"AC137695.3","PDE7B","TTYH1",NA
"LINC01616","AL109615.4","TLR8","TMEM253","AL031710.2","TP53TG3","CMTM1","DSCR9","FZD10","TP63","TMEM254-AS1","STX1B","PNMA8A",NA,NA,NA,NA,NA,NA,NA,"AC245041.2","COL4A4","AC005041.4",NA,"LINC02328","VWDE","AC245884.8",NA
"PNRC1","RCAN2","LANCL3","AC243965.2","NOXO1","AC007608.1","CTRL","AP001626.1","MMP17","GRAP","AC021028.1","ABCC11","AC010624.1",NA,NA,NA,NA,NA,NA,NA,"EGR2","NXPH4","AC025419.1",NA,"THAP2","STAB2","AC005498.3",NA
"LINC02616","PKHD1","AC231533.1","AL132780.2","AC009065.1","AC092118.2","AC092115.3","U2AF1","GALNT9","BEX1","AL359198.1","RRAD","AC020909.3",NA,NA,NA,NA,NA,NA,NA,"CHST3","SCARA5","CENPH",NA,"AL162377.1","FAM53A","ZNF17",NA
"CYB5A","LINC01564","GAGE1","LINC01588","AC092117.1","AC010542.4","MARVELD3","AC007666.1","LINC00539","AL359715.3","AL139124.1","EXOC3L1","SPACA6",NA,NA,NA,NA,NA,NA,NA,"PLAC9","ALPK2","AC093583.1",NA,"ACOT12","FGF23","ZNF772",NA
"APOC4","LRRC1","RIBC1","CDKL1","AC004233.2","CMTM2","LINC01572","MYO18B","SHISA2","AC005920.3","AL133353.1","SLC9A5","ZNF816",NA,NA,NA,NA,NA,NA,NA,"NRG3","HRG","GLI1",NA,"PTN","AC104123.1","AC012313.8",NA
"LHX2","AL135905.1","ZC4H2","AL118556.1","TVP23A","ZNF23","MAFTRR","SEZ6L","NBEA","ST6GALNAC5","AL139339.2","LRRC36","LILRA5",NA,NA,NA,NA,NA,NA,NA,"HTR7","LRCOL1","SLX4",NA,"AC005041.3","MUSK","DEFB132",NA
"NUCKS1","AL365226.1","SATL1","SPTB","SHISA9","MARVELD3","GAN","OSBP2","RUBCNL","OXCT2","RBM20","NRN1L","LILRA2",NA,NA,NA,NA,NA,NA,NA,"MYOF","ZBED9","CBWD3",NA,"MITF","RAB3B","OXT",NA
"SINHCAF","AL583856.2","NUP62CL","CCDC196","AC099518.5","DYNLRB2","AC040169.3","AL024495.1","AL359880.1","AC145207.2","TECTB","VAC14-AS1","AL110114.1",NA,NA,NA,NA,NA,NA,NA,"SFRP5","AL357033.4","AC093515.1",NA,"SLC6A13","AL445072.1","AL035461.2",NA
"CEP162","KCNQ5","GABRA3","AC005476.2","ZKSCAN2-DT","AC105429.1","WFDC1","AL008718.3","AL353660.1","WNT10B","ADRB1","CLEC18B","SNAP25",NA,NA,NA,NA,NA,NA,NA,"CRTAC1","LILRA2","CENPA",NA,"THBS4","GLI1","FAM242A",NA
"SMC5","FILIP1","AC244102.4","AC005225.2","EIF3CL","ZNF469","AC010531.6","TAFA5","GPR18","ABCA3","PNLIPRP3","AC106729.1","ISM1",NA,NA,NA,NA,NA,NA,NA,"AL356608.1","TRIP10","ATP13A4",NA,"AL390195.1","FOSL1","TNNC2",NA
"EIF5B","LCAL1","SPRY3","ZC2HC1C","AC018845.3","LINC02138","SPATA22","INE2","AL137002.1","C16orf74","EDRF1-DT","CBFA2T3","BFSP1",NA,NA,NA,NA,NA,NA,NA,"CALHM2","NRSN2","COL23A1",NA,"HYKK","CAPS2","ADNP-AS1",NA
"CTSB","ELOVL4","AL592183.1","LINC02321","DRC7","TLCD2","AC091153.3","AL591501.1","TRAV4","PDGFB","AL158835.2","GAS8-AS1","MIR663AHG",NA,NA,NA,NA,NA,NA,NA,"PLPP4","PSG4","ZNF423",NA,"AP000331.1","VAX2","ZNF831",NA
"MEMO1","DOP1A","AL359881.1","CHGA","BEAN1","SPEM2","USP6","MTMR8","MYH7","GRIA3","ADAM12","AC129507.1","AL110115.1",NA,NA,NA,NA,NA,NA,NA,"FGFR2","AKAP9","LCA5L",NA,"IQCN","NFE2","CU638689.4",NA
"AC010834.2","LINC02535","AL391832.2","AL133467.4","PLEKHG4","USP43","KCNAB3","EDA2R","AL136295.7","GUCY2D","AL162274.1","P2RX5","ADIG",NA,NA,NA,NA,NA,NA,NA,"CPXM2","AL117339.4","AC027031.2",NA,"AL672310.1","AC084876.1","NCAM2",NA
"ANKRD12","SMIM8","FRS3","LINC00637","AC027682.4","LINC02096","AC087501.4","NLGN3","CBLN3","AL450043.1","KNDC1","C17orf107","KCNK15",NA,NA,NA,NA,NA,NA,NA,"ADAM12","AL590399.3","LYPD6",NA,"SPAG8","LINC00997","DNAJC28",NA
"ALDH2","BACH2","IRAK1BP1","PWRN4","SMPD3","AC015922.3","FOXO3B","PHKA1","COCH","P3H2","AL161645.1","ZNF594","ZSWIM3",NA,NA,NA,NA,NA,NA,NA,"AC132217.1","ADH1A","BRINP1",NA,"PCSK4","AP001627.1","RIPPLY3",NA
"PHACTR1","MMS22L","C6orf163","AC123768.3","AC012184.3","AC002553.2","CCDC144NL-AS1","RPS6KA6","FUT8-AS1","AL161431.1","LINC02708","ALOX12-AS1","SLC12A5-AS1",NA,NA,NA,NA,NA,NA,NA,"TMEM9B-AS1","CARMIL2","DCST1-AS1",NA,"LINC02606","FOXL1","AP001432.1",NA
"AKR1C3","TSTD3","RNF217-AS1","DISP2","AC004943.2","ZNF287","AC087393.2","AL683813.1","RGS6","EPB41L1","ART5","HES7","CASS4",NA,NA,NA,NA,NA,NA,NA,"SPON1","ANGPTL4","AL391069.2",NA,"ACOT6","AL118558.4","SH3BGR",NA
"DNAJB14","MCHR2-AS1","NIPSNAP3B","C15orf62","AC009159.3","MTRNR2L1","AC011840.1","LINC00632","GPR68","NR4A3","AC022762.2","KRBA2","CDH26",NA,NA,NA,NA,NA,NA,NA,"ANO3","AL390066.1","EXO1",NA,"AC005840.2","CCDC24","PDE9A",NA
"CSPP1","GRIK2","AC023509.3","LTK","AC092123.1","AC010761.1","AC004223.4","SPANXB1","ASB2","AC108075.1","RIC3","AC005695.1","AL109761.1",NA,NA,NA,NA,NA,NA,NA,"FIBIN","TDRP","LINC00996",NA,"AC253536.6","AP001330.4","DGCR9",NA
"SERPINF1","Z98200.1","IGHVIII-38-1","SERINC4","LINC02166","AC003101.2","SLFN13","SPANXC","TCL1A","NPAS1","HPS5","AC002553.1","AF129075.2",NA,NA,NA,NA,NA,NA,NA,"PAMR1","PLPP4","PGC",NA,"AL139041.1","CXCR6","SEPTIN5",NA
"EIF3E","AL080317.2","MKRN3","AC022306.2","GAS8-AS1","AC005899.6","FBXO47","AL592435.1","AL139020.1","BRSK2","SPTY2D1OS","AC020558.1","LINC01426",NA,NA,NA,NA,NA,NA,NA,"CREB3L1","AC027682.6","ZNF774",NA,"MELTF-AS1","LINC00887","CRYBB1",NA
"PLOD2","GPRC6A","KCNE1B","AC016044.1","LINC02193","AC004223.4","KRT20","SLC9A2","TUNAR","CTRL","DTX4","AC127024.5","AC008079.1",NA,NA,NA,NA,NA,NA,NA,"AC090559.1","ACR","ZNF433",NA,"AL031667.3","SEPTIN4-AS1","AC004832.4",NA
"CFL1","SLC35F1","PLCH2","AC107871.2","AC130343.2","AC022706.1","HCRT","AC137630.4","BDKRB1","AL031259.1","AP003559.1","AC127024.6","AP000553.2",NA,NA,NA,NA,NA,NA,NA,"RAB3IL1","TMEM249","AC034231.1",NA,"ZNF566","WDR20","SEC14L6",NA
"DOK6","RNF217-AS1","CRMP1","AC105020.5","AC090617.10","SLFN12","AC068234.3","STRIT1","AL583810.2","AC011825.4","AP001160.2","AC130324.3","AL022324.3",NA,NA,NA,NA,NA,NA,NA,"CDC42BPG","BANK1","AC099329.1",NA,"C19orf38","PDCD4-AS1","Z73420.1",NA
"UGDH","CENPW","AC084759.2","CHRNB4","AC027796.4","RDM1","AC068234.2","AC078802.1","PLD4","GATA2","AP001107.2","MMP28","OSM",NA,NA,NA,NA,NA,NA,NA,"EFEMP2","PLCH2","ASNS",NA,"AC009404.1","RNF213-AS1","GALR3",NA
"PDIA3","PEX7","ALDH1A3","AC108451.2","CHRNE","AC243829.2","AC021491.4","PTPRZ1","GPR132","AL391839.2","RIN1","KRT20","AC004832.5",NA,NA,NA,NA,NA,NA,NA,"CD248","NDST3","RNF175",NA,"KLHL35","LRRC6","APOBEC3B",NA
"RNF168","AL356234.2","AC096708.3","AC027807.2","INCA1","TCAP","LINC01476","FGF20","IGHA2","TTTY13","MYEOV","C17orf113","AC005005.4",NA,NA,NA,NA,NA,NA,NA,"GSTP1","SYT15","LINC02848",NA,"TBC1D10A","ZNF583","TTLL1",NA
"TUBA1B","AL356234.3","AL357079.1","NR2F2-AS1","TMEM238L","AC004585.1","PRR29","TYRP1","IGHG2","HSPA12B","LINC01488","WNK4","SYN3",NA,NA,NA,NA,NA,NA,NA,"MRGPRF","SOX10","FIRRE",NA,"AL590550.1","LINC01814","GTSE1",NA
"PLEKHA5","HIVEP2","PLB1","NHLRC4","AC022816.1","HSPB9","AC103810.2","MMP12","IGHD","RNF180","AP000593.3","AC003102.1","SREBF2-AS1",NA,NA,NA,NA,NA,NA,NA,"ANO1","ADCY1","AL033384.1",NA,"AL136456.1","SOAT2","AC110995.1",NA
"HIST1H3B","AL023581.2","AC012640.1","RHBDL1","AC138207.4","AC100793.4","CACNG4","LINC02319","IGHV3-7","TMEM67","AP002761.4","SP2-AS1","AL121672.2",NA,NA,NA,NA,NA,NA,NA,"LRRC32","HBA2","AL136295.2",NA,"ZNF431","EFCAB5","ANOS1",NA
"HRG","EPM2A","AC008736.1","RAB26","AC005899.7","AC138150.1","LINC02074","DNAAF1","RASGRP1","EPSTI1","PCF11-AS1","AC004477.1","PRKX",NA,NA,NA,NA,NA,NA,NA,"TENM4","GPC6","IMPG2",NA,"MYO18B","AC012020.1","AC073529.1",NA
"ONECUT1","AL358852.1","SGO2","LINC00921","CCR10","AC138150.2","CD300E","TMEM238L","AC020659.1","AC004921.1","CCDC81","HOXB-AS1","AC097625.1",NA,NA,NA,NA,NA,NA,NA,"PIWIL4","C16orf54","AC022929.2",NA,"AC005280.2","C7orf31","TCEANC",NA
"KLHL11","TIAM2","AC004241.4","AC009171.2","FAM171A2","ARL17A","AC015802.6","AL354836.1","DUOX2","TSPYL5","FAT3","HOXB-AS3","AC107419.1",NA,NA,NA,NA,NA,NA,NA,"MMP7","CYP2B6","AC103703.1",NA,"SH3BGR","RNF148","MAP7D2",NA
"ADI1","TFB1M","AC005726.3","C16orf71","ITGA2B","MYL4","AC006566.1","TSPEAR-AS1","AC009754.2","SLC30A2","FUT4","C17orf67","EFHC2",NA,NA,NA,NA,NA,NA,NA,"RAB39A","RTN4RL2","UST",NA,"TERT","LINC02669","NR0B1",NA
"RDH11","RSPH3","SPTBN5","AC022167.4","AC091180.3","AC015912.3","MTCL1","AL391244.2","RORA-AS1","AC109347.2","MMP10","AC091271.1","ZNF630",NA,NA,NA,NA,NA,NA,NA,"LAYN","PTN","CDCA3",NA,"AC092164.1","AC104532.2","AL591501.1",NA
"XIAP","MAP3K4","PLPP7","AC138969.1","AC015845.2","GDPD1","AP001033.2","AC024361.1","AC011944.1","AC105460.1","BCO2","AC005332.3","FOXP3",NA,NA,NA,NA,NA,NA,NA,"HSPB2","CCN5","AL023806.1",NA,"SCIMP","AL138966.2","SYP",NA
"GAMT","PDGFA","SLC24A3","ACSM1","TBX2-AS1","AC005332.7","AC090912.2","SEL1L2","BCL2A1","AP003465.1","LINC00900","SOX9-AS1","Z83745.1",NA,NA,NA,NA,NA,NA,NA,"TAGLN","CGN","ROBO2",NA,"AL713998.1","ACOT11","SPIN4",NA
"HSPA8","GET4","CPNE8-AS1","ATP2A1","AC007448.4","SSTR2","AC011815.1","STAM-AS1","CPEB1","RASSF9","CEP164","TTYH2","FAM155B",NA,NA,NA,NA,NA,NA,NA,"JAML","IRAK3","AC009126.1",NA,"AC010336.8","ZNF347","SLC25A5-AS1",NA
"CBR1","CYP2W1","TNFRSF13B","AC087564.1","LINC01152","SLC16A5","AC007998.3","CDX2","NTRK3","SEPTIN4-AS1","SCN4B","AATK","NLGN3",NA,NA,NA,NA,NA,NA,NA,"UBASH3B","UGT2B7","RHBDL1",NA,"AC025265.1","AC007066.2","AL121601.1",NA
"GPX2","AC004982.1","SLC30A3","CES5A","LINC00511","SMIM6","AC023043.4","HUNK","MIR9-3HG","POLR2J2","USP2-AS1","AC144831.1","CHIC1",NA,NA,NA,NA,NA,NA,NA,"CLMP","APOBEC3F","TRAM1L1",NA,"SLC35F2","AL049795.2","AL365256.1",NA
"SLCO1B7","AC004948.1","AL365272.1","PLLP","CD300LB","LINC01978","SIGLEC15","MFSD2B","PRC1-AS1","AC109479.1","AP001977.1","AP001269.4","Z83843.1",NA,NA,NA,NA,NA,NA,NA,"SLC37A2","SLC28A1","WDR76",NA,"LINC01504","AC096733.2","FAM122C",NA
"HIST1H1C","THSD7A","AC073073.2","PARD6A","LINC01993","AC027601.1","PCSK4","CST5","Z92544.2","AC007823.1","VSIG2","ASXL3","MAGEC1",NA,NA,NA,NA,NA,NA,NA,"PKNOX2","GLIS2-AS1","CEP128",NA,"AL118558.3","NAALADL2","LINC00892",NA
"RBMS1","AC013470.2","HUS1B","AC009137.2","AC087741.2","AC132938.1","AC012615.2","AC008972.1","CCDC78","GAL3ST4","CHEK1","EPG5","LINC00278",NA,NA,NA,NA,NA,NA,NA,"FEZ1","NR0B2","AC089999.2",NA,"TSLP","LINC00526","AL589669.1",NA
"RPS26","SCIN","AL022162.1","TAT-AS1","AC139530.1","DLGAP1-AS2","AC005523.1","MAMDC2","AC120498.8","LRRC4C","LINC00942","AC100847.1","FOXD2-AS1",NA,NA,NA,NA,NA,NA,NA,"P3H3","A1BG","GPRC5A",NA,"LINC01693","AC136475.9","ZNF185",NA
"AC007566.1","LINC02587","CEACAM21","AC009053.2","AC132938.6","ARHGAP28","PSPN","ARHGEF25","ZG16B","CAMK4","FBXL14","JSRP1","AL050343.2",NA,NA,NA,NA,NA,NA,NA,"CLEC4E","AC069360.1","AC002463.1",NA,"BEX5","AC098484.4","RAB39B",NA
"CYP2C9","PRPS1L1","SCARF2","DYNLRB2","AC132938.3","AP002449.1","AC010336.2","TEX29","TVP23A","OSTN","CD163L1","AC007292.1","DUBR",NA,NA,NA,NA,NA,NA,NA,"KLRB1","AL135999.1","AL050341.2",NA,"LHB","AC064829.1","CLSPN",NA
"UACA","DNAH11","AC093512.1","ARLNC1","ZNF519","B4GALT6","ICAM5","AC113370.1","TNFRSF17","ARHGAP26-AS1","BCL2L14","PRR36","AC104825.1",NA,NA,NA,NA,NA,NA,NA,"AC010186.3","KRT7","AC004012.1",NA,"DOCK3","KCNJ11","SNX7",NA
"F2","STEAP1B","APOBR","AC087392.1","GREB1L","AC090229.1","ZNF763","AC005730.2","LINC02185","AFAP1L1","MANSC1","AC008946.1","AC026748.3",NA,NA,NA,NA,NA,NA,NA,"CD69","MT2A","FSTL4",NA,"GTF2H3","KIR3DL2","RTCA-AS1",NA
"UQCRB","PDE1C","TRAV6","AC129492.4","AC011731.1","ST8SIA3","BEST2","IPO9-AS1","XYLT1","TOX","GPR19","AC011451.4","CALCB",NA,NA,NA,NA,NA,NA,NA,"CLEC12B","NTS","AL356019.2",NA,"CFAP53","AC124242.1","ANGPTL1",NA
"EEF1D","AC004854.2","AC110285.2","AC005304.2","SIGLEC15","AC105094.2","ADGRL1","LINC01410","AC109446.3","CHST2","CASC1","ZNF490","AC127070.1",NA,NA,NA,NA,NA,NA,NA,"CLEC9A","TCEAL9","CKAP2L",NA,"LINC01547","EIF2AK3-DT","SCN2A",NA
"PABPC4","KCTD7","LINC01744","AC005224.2","AC105105.2","AC139100.2","KCNN1","PARM1","AC092287.1","IFITM1","PPFIBP1","LINC01842","FREM2",NA,NA,NA,NA,NA,NA,NA,"GPRC5A","FBXL20","TSNAXIP1",NA,"ABCA10","DUS4L","UGT1A8",NA
"GRINA","AC006001.2","AC242426.2","EVPLL","CNDP1","TEX45","AC011477.2","GLB1L2","SCNN1B","AC006273.1","REP15","PTGER1","AF111167.2",NA,NA,NA,NA,NA,NA,NA,"ART4","TTR","GLI3",NA,"AC114546.2","PACRG","AC026202.2",NA
"CYP3A43","SPDYE16","TTC39A","CORO6","MADCAM1","ZNF626","ZNF90","C6orf223","IL21R","LINC02029","ABCD2","AC024075.2","SNX22",NA,NA,NA,NA,NA,NA,NA,"PTPRO","GADD45B","ZSCAN20",NA,"MKRN3","AC021205.3","AC007620.2",NA
"TNRC6B","MAGI2","FBXO2","AC244100.3","FUT6","AC073534.2","AC007773.1","IFT74-AS1","SBK1","FLT4","AC008035.1","B3GNT3","AC087392.1",NA,NA,NA,NA,NA,NA,NA,"BHLHE41","CCL14","AC083900.1",NA,"ARHGAP8","SDR9C7","FABP2",NA
"PRDX6","STEAP4","CNTNAP2","CNTD1","ZNF177","AC020907.1","AC008747.1","C9orf50","CD19","LINC02795","BCDIN3D-AS1","PBX4","ORC1",NA,NA,NA,NA,NA,NA,NA,"SSPN","CYP2C19","ZNF547",NA,"ZNF451-AS1","KCNIP1","CDC25C",NA
"ST6GAL1","AC002451.1","AL359915.1","HOXB5","AC020931.1","ZNF790-AS1","RASGRP4","AC007611.1","SPN","DUSP18","KRT86","ZNF14","DLEC1",NA,NA,NA,NA,NA,NA,NA,"PTHLH","AC023302.1","RBFADN",NA,"DOCK10","AC004846.2","FZD9",NA
"DSP","MUC3A","ADGRG3","DGKE","ZNF69","ZNF540","LRFN1","AL591074.2","C16orf54","PRR16","LINC02381","LINC00663","AC022893.1",NA,NA,NA,NA,NA,NA,NA,"OVCH1-AS1","BCO2","TEDDM1",NA,"USH2A","CACNA2D3","SLC26A5",NA
"PPIB","SLC26A3","AC244250.1","SEPTIN4-AS1","AC003956.1","CATSPERG","LYPD3","GABRA3","AC012645.3","PELI2","GPR182","ZNF430","AL590399.3",NA,NA,NA,NA,NA,NA,NA,"TSPAN11","SLC10A1","ZNF850",NA,"AC025171.3","ZNF429","AL161457.2",NA
"ITM2B","LINC01393","PCDHB9","LINC01497","AC005785.1","CNTD2","AC006213.1","SCIN","AHSP","ZNF85","ZBTB39","ZNF714","AC018926.2",NA,NA,NA,NA,NA,NA,NA,"PRICKLE1","ITIH4","LINC01758",NA,"DAAM2","SUCNR1","TMEM254-AS1",NA
"CUTA","FAM71F1","PDE5A","KCNJ2-AS1","TMEM59L","ZNF404","ZNF230","LINC01684","NOD2","HMGA2-AS1","PPM1H","ZNF461","AC087741.2",NA,NA,NA,NA,NA,NA,NA,"AC025031.1","SIRT4","C11orf45",NA,"LINC00824","SSPN","BDNF",NA
"AOX1","STRIP2","PRSS16","KIF19","AC011477.2","ZNF222","ZNF225","FAM171B","AC007728.2","ADAT3","LINC01479","ZNF790-AS1","WNK3",NA,NA,NA,NA,NA,NA,NA,"CCDC184","ENTPD8","ARMC9",NA,"RPEL1","COBL","CDCA5",NA
"RALGPS2","CPA4","TMEM200A","RNF213-AS1","ZNF738","AC243964.3","ZNF613","DAB1","CCL17","AC092119.2","LINC02384","ZNF569","SEPTIN14",NA,NA,NA,NA,NA,NA,NA,"KRT7","TREM1","FAM111B",NA,"TSPYL5","GOLGA8O","FAM227B",NA
"PRPF40A","MKLN1-AS","ZKSCAN2","AC145207.3","ZNF99","CEACAM16","AC010332.3","AC135048.3","ADGRG5","AL513550.1","AC090116.1","ZNF571","IAPP",NA,NA,NA,NA,NA,NA,NA,"IGFBP6","IGFBP1","BARD1",NA,"LINC01473","AP002813.1","AC137932.1",NA
"AL512408.1","PLXNA4","KLRK1","AP000894.4","LGI4","SPACA6","AC005498.3","ST7-AS1","CARMIL2","GALNT18","TMCC3","RYR1","AL137002.1",NA,NA,NA,NA,NA,NA,NA,"GPR84","PRSS12","AC104162.2",NA,"SKOR1","E2F8","CCR7",NA
"RHOBTB3","AGBL3","PTGER2","AC006249.1","AC016590.3","ZNF610","ZNF460","PAXBP1-AS1","DPEP2","C1orf54","CCDC38","LINC01480","LHFPL1",NA,NA,NA,NA,NA,NA,NA,"RBMS2","SYNPO2","LINC02447",NA,"TIGD1","NRIR","NXPH3",NA
"SYNE2","ATP6V0A4","KLRD1","AC116447.1","AC011479.3","ZNF578","AVP","SYT13","CHST6","AC103691.2","ANKS1B","LIPE","DRD1",NA,NA,NA,NA,NA,NA,NA,"STAC3","C1R","AC005520.5",NA,"PDE6G","LZTS3","EME1",NA
"SLC5A3","PRSS2","AL590399.1","AC023043.1","PSG9","ZNF582-AS1","PLCB4","KIF25","CHST5","KIAA1211L","SYCP3","AC021092.1","IQSEC3",NA,NA,NA,NA,NA,NA,NA,"GLI1","RRAD","AC091043.1",NA,"AC053503.5","LINC02484","AP000240.1",NA
"CCDC87","OR2A1-AS1","RNF227","AC079062.1","AC021092.1","ZNF667","AL049794.1","SLC6A8","ATP2C2","Z83843.1","AC079907.1","LINC01595","DMC1",NA,NA,NA,NA,NA,NA,NA,"ARHGEF25","HHIP","AC018467.1",NA,"AC104113.1","EPHA1","HIC2",NA
"TXNDC5","TPK1","XCL1","RBFADN","HIF3A","AL050403.2","SPAG4","LINC01535","CBFA2T3","AL049840.2","ASCL1","AC011450.1","C17orf100",NA,NA,NA,NA,NA,NA,NA,"AGAP2-AS1","CXCL5","ATP1B2",NA,"HTRA4","AC015909.1","ODC1-DT",NA
"DDT","KCNH2","AC021097.2","C2CD4C","SULT2B1","DZANK1","DLGAP4-AS1","ZNF573","P2RX5","DNAJC28","AC089983.1","AC010624.5","TCAF2",NA,NA,NA,NA,NA,NA,NA,"LUM","MRO","CNTN6",NA,"SIGLEC14","AC023157.3","AL162726.4",NA
"AL139260.1","CRYGN","AC007663.2","MISP","NTN5","AL031673.1","AL391095.1","AP006284.1","GP1BA","AL031590.1","AC026368.1","KCNC3","SIRLNT",NA,NA,NA,NA,NA,NA,NA,"DCN","SYTL1","AC099520.1",NA,"AC009704.2","HLX-AS1","C11orf74",NA
"BPTF","PAXIP1-AS2","AL512652.1","EFNA2","AC010624.1","FAM182A","SLCO4A1","AL356056.1","ALOX15B","USHBP1","PXN-AS1","SIGLEC5","NTN5",NA,NA,NA,NA,NA,NA,NA,"LINC01619","AC098679.5","AC090204.1",NA,"AC010809.2","PIP5KL1","FAM111B",NA
"AL450384.2","AC093726.2","FIGNL2","PCSK4","SIGLEC7","ACTL10","FP565260.3","SBSPON","AC129492.1","AC105137.2","AC084018.2","AC010327.5","RBM26-AS1",NA,NA,NA,NA,NA,NA,NA,"ANO4","AC087392.1","ESR1",NA,"AC083855.2","KCNAB3","SINHCAF",NA
"UGT2B15","PTPRN2","TTLL9","IZUMO4","AC245884.8","MROH8","FP565260.6","TG","TNFRSF13B","SLC16A14","ATP6V0A2","AURKC","SIRT4",NA,NA,NA,NA,NA,NA,NA,"GLT8D2","TNXB","AL160314.2",NA,"HAGHL","DRD1","AC048338.2",NA
"AC106038.1","AC100810.1","SCAT8","TMPRSS9","BRSK1","AL021578.1","CU639417.4","AC026471.2","AC116407.2","C20orf203","DNAH10OS","AC012313.7","SPICE1",NA,NA,NA,NA,NA,NA,NA,"ALDH1L2","ANKDD1B","CCDC40",NA,"MCM3AP-AS1","NUTM2D","AC036176.1",NA
"VEZT","ARHGEF10","TMEM154","CELF5","EDDM13","NEURL2","AF127936.2","AL132709.7","CCL5","MUC5AC","AC079949.2","SIRPB1","XAGE1B",NA,NA,NA,NA,NA,NA,NA,"TMEM119","EP300-AS1","ADM5",NA,"HOXA-AS2","CCDC74B","NUDT11",NA
"DCLRE1C","CSMD1","AL158214.2","CCL25","ZNF582","LINC01273","AP000253.1","FREM1","IKZF3","AP006216.1","NOC4L","SNAP25-AS1","PRRX1",NA,NA,NA,NA,NA,NA,NA,"RHOF","CYP4A22","CDK15",NA,"SELE","MCMDC2","FOXO6",NA
"RSL1D1","AF131215.6","AC129507.2","ZNF426-DT","ZNF470","AP001596.1","CBR3","AL161668.3","AC004585.1","AC064807.4","AL161893.1","CSTL1","RETN",NA,NA,NA,NA,NA,NA,NA,"RFLNA","ERICH5","KIF26A",NA,"SULT2B1","PLCG1-AS1","ZNF595",NA
"PKN2","MTMR9","TSPO2","AC011472.4","ZSCAN22","AP000251.1","LINC01311","AC004771.4","CCR7","CNN1","SMAD9","CST4","HAPLN2",NA,NA,NA,NA,NA,NA,NA,"ALOX5AP","ZCWPW1","AF235103.3",NA,"MAGI1-IT1","AC010207.1","MAD2L1",NA
"TGM5","TNFRSF10A","AC019080.6","AC011472.3","ZNF132","AP000331.1","AC000068.2","LIMS4","KCNH4","AC018413.1","LINC01048","AL023803.2","SPRR3",NA,NA,NA,NA,NA,NA,NA,"MEDAG","IL7R","AL137127.1",NA,"AC025171.2","AC099063.4","LINC00689",NA
"AKR1D1","NKX3-1","LINC00638","ZNF136","AL121906.2","AP000692.2","TMEM191C","LINC02132","AC008105.3","SLC37A2","ENOX1","JPH2","HDGFL1",NA,NA,NA,NA,NA,NA,NA,"DCLK1","F9","AC116025.1",NA,"AC135050.3","SNAP91","CHKB-DT",NA
"CCDC34","CDCA2","TCEANC","MAST1","PLCG1-AS1","ZNF295-AS1","OSM","LY6G6D","MAP3K14-AS1","AC099811.5","CDADC1","LINC01620","AC010547.1",NA,NA,NA,NA,NA,NA,NA,"POSTN","SERPINA3","AL162231.2",NA,"AC021097.2",NA,"AC009961.1",NA
"PPP2R5E","PNMA2","AC084125.4","AC024075.3","LINC01260","LINC01694","SEC14L4","AC110597.1","TBX21","LRRIQ1","ALG11","LINC01754","DCHS2",NA,NA,NA,NA,NA,NA,NA,"GPC6","MYOM2","SNAPC1",NA,"AC010680.1",NA,"VWDE",NA
"AC104506.1","ZNF395","DAB1","INSL3","AL133227.1","MIF-AS1","PVALB","RPRM","OR4D1","ADGRF5","AL442636.1","EDN3","SNHG22",NA,NA,NA,NA,NA,NA,NA,"NALCN","CDKL3","ADAMTSL1",NA,"AC013652.1",NA,"NPIPA3",NA
"GSTA2","AC120036.4","VPS37D","HAPLN4","LINC01271","DDTL","APOBEC3A","AC008033.3","AC004687.1","TMC5","PCDH20","DNAJC28","ZNF805",NA,NA,NA,NA,NA,NA,NA,"ITGBL1","MCEMP1","SPRR3",NA,"DNAJC27",NA,"RPS10-NUDT3",NA
"MPP6","EFCAB1","ZNF273","AC020912.1","PHACTR3","CRYBB2","CACNA1I","EVX1","SLC16A6","IFI44L","AL139002.1","AP001065.3","LINC02313",NA,NA,NA,NA,NA,NA,NA,"GAS6","ACOD1","B4GALNT1",NA,"TLR2",NA,"AC024560.1",NA
"GABRR3","AC113145.1","AGRP","SLC7A9","AL137077.2","RNF215","NDUFA6-DT","AC016705.1","AC015802.3","PKD2L1","AL158064.1","AP000527.1","ARL17A",NA,NA,NA,NA,NA,NA,NA,"SLC22A17","ACSM2A","MRO",NA,"CCDC157",NA,"PCDHB4",NA
