"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"RBMS3-AS3","GPD2","AL135924.2","CBWD3","AC019080.1","IDH1-AS1","ZNF385B","CEBPA-DT","ZNF684",NA,"CIRBP-AS1",NA,NA,"FAM13C","RGS11","TMEM185B","GTF3C3","NR4A2","CCDC93","ARHGEF3","CDK15","AFF3","SULT1C4","FCRL6"
"ACVR2B","SCN9A","C9orf40","PGM5","SLC39A10","ARMC9","C2orf88","FZD10-AS1","PLAGL1",NA,"LINC00661",NA,NA,"ASPHD1","IQCJ-SCHIP1","SPOPL","INO80D","STK36","TMEM37","NSUN3","IKZF2","TBC1D8","TMEM177","IGSF9"
"LRRC2","TTN","CDK20","ZNF367","CCDC150","COPS7B","NEMP2","CEL","E2F5",NA,"AC006504.7",NA,NA,"ARHGEF25","CCDC30","KIF5C","VIL1","CLDN14","CCDC115","COL8A1","DIRC3","IL1R2","MCM6","PCP4L1"
"CCDC71","ASNSD1","OGN","ALDOB","TMEM237","COL6A3","ORC2","C5orf30","IL34",NA,"FXYD3",NA,NA,"CLDN9","SULF1","STAM2","USP37","CEP68","LINC01806","SENP7","SLC4A3","LINC01831","GPD2","UCK2"
"NICN1","MFSD6","OMD","KIAA1958","FZD7","AC024060.2","GPBAR1","PAN3-AS1","ABHD17C",NA,"CEACAM6",NA,NA,"PLCH2","TSNARE1","AC007405.1","AC010980.1","ZKSCAN5","GALNT3","BBX","HTR2B","AC009404.1","AC009506.1","AL645568.1"
"SEMA3F","AC068544.2","AL445222.1","DCLRE1C","CD28","AC022382.1","CATIP-AS1","TIGD1",NA,NA,"NTN5",NA,NA,"NBPF3","CACNB1","TTN-AS1","SP110",NA,"GPR155","TRAT1","IQCA1","NMI","SCRN3","AL713852.1"
"NAA80","INO80D","AL136141.1","ANKRD26","ICOS","IL17RE","IHH","PHACTR3",NA,NA,"KLK11",NA,NA,"ZNF90","APOD","PDE1A","SP140",NA,"CHN1","NECTIN3","KIF1A","TTC21B","PJVK","SWT1"
"RRP9","ZDBF2","AIF1L","UNC5B","RPE","PLCL2","GLB1L","AC002451.1",NA,NA,"LAMP5",NA,NA,"FMN1","LINC01138","ORC2","AC106876.1",NA,"SESTD1","CD96","LINC01266","STK39","FKBP7","AL096803.2"
"PCBP4","MAP2","LCN10","BTBD16","SMARCAL1","LINC02084","USP40","STRIP2",NA,NA,"CST1",NA,NA,"PHYHIPL","UCA1","RPE","DUSP28",NA,"KCTD18","BTLA","AC023481.1","LINC01124","CWC22","DENND1B"
"POC1A","TTLL4","LCN6","LINC01001","SLC11A1","CCR5","UGT1A1","AL133351.1",NA,NA,"BPIFB1",NA,NA,"PDE5A","FAP","IHH","THUMPD3-AS1",NA,"CCNYL1","TIGIT","SYN2","METAP1D","PARD3B","LHX9"
"DNAH1","AC009974.1","LINC00702","HBB","EPHA4","KLHL18","MROH2A","HRCT1",NA,NA,"CEBPB-AS1",NA,NA,"ZNF831","TUBB2B","SPEGNB","OGG1",NA,"CXCR2","IQCB1","PPARG","ITGA6","ADAM23","DDX59"
"NT5DC2","CCL20","SFMBT2","SBF2","SP140L","ATRIP","CAPN10","APOD",NA,NA,"FAM3B",NA,NA,"TESC","ZNF284","SLC16A14","TTLL3",NA,"RNF25","EAF2","SUSD5","TTC30B","NHEJ1","MYBPH"
"RFT1","B3GNT7","H2AFY2","CTR9","HDAC4","PHF7","MAB21L4","TRHDE",NA,NA,"TFF2",NA,NA,"PPM1J","NCAM1","GIGYF2","CIDEC",NA,"CCL20","RAB6B","AC112220.2","SESTD1","SERPINE2","CHIT1"
"DCP1A","DGKD","TMEM254-AS1","PRR5L","DTYMK","NT5DC2","AC104809.1","TBC1D19",NA,NA,"TFF1",NA,NA,"CLDN10","C19orf33","SNORC","EOMES",NA,"RNPEPL1","SLCO2A1","SCN5A","NUP35","B3GNT7","PIK3C2B"
"AC116036.2","AC093802.1","LDB3","PHF21A","HDAC11","KCTD6","RAD18","MCF2L-AS1",NA,NA,"TMPRSS3",NA,NA,"GJD3","CFTR","AGAP1-IT1","TMPPE",NA,"RAD18","TRPC1","AC006059.1","TYW5","RBMS3","FCAMR"
"ATXN7","ANO7","FAM24B","MALAT1","EOMES","FHIT","TAMM41","ZNF551",NA,NA,"RSPH1",NA,NA,"PHOSPHO2","ZNF280C","HDAC4","MLH1",NA,"SATB1","GPR171","HHATL","TMEM237","OSBPL10","CR1L"
"CRYBG3","GRIP2","MYBPC3","P4HA3","CLASP2","DHFR2","OXNAD1","FAM27C",NA,NA,"AP001625.3",NA,NA,"GJC3","C19orf38","TTLL3","EXOG",NA,"CNOT10","P2RY13","KIF15","CYP20A1","GPD1L","NSL1"
"CEP97","FGD5","MS4A1","AP002784.1","CDCP1","LSAMP","ZNF621","LOH12CR2",NA,NA,"AP000345.2",NA,NA,"RNF43","PTCH2","TSEN2","ACKR2",NA,"ITGA9-AS1","ABCC5","ASB14","PARD3B","ACVR2B","TATDN3"
"CCDC58","AC096921.2","ASRGL1","ALKBH8","XCR1","ADPRH","QRICH1","GBGT1",NA,NA,"SLC5A1",NA,NA,"CDYL2","JRKL","CHCHD4","POMGNT2",NA,"ACKR2","EPHB3","AC093928.1","KLF7","ENTPD3-AS1","PROX1-AS1"
"AC112484.1","EPM2AIP1","C11orf98","ARHGAP20","CCR2","TM4SF18","ARF4-AS1","ZNF436",NA,NA,"LINC00685",NA,NA,"AC005498.2","AC113410.4","AC116096.1","SLC26A6",NA,"AC099329.2","IDUA","MITF","PLEKHM3","CLEC3B","DUSP10"
"TFDP2","C3orf35","AP003071.4","APOC3","CCR5AS","PHC3","C3orf14","ASPHD1",NA,NA,"POF1B",NA,NA,"GLRB","SLFN13","EXOG","SEMA3G",NA,"USP19","AC092535.5","GXYLT2","PIKFYVE","TMEM158","TAF1A-AS1"
"ATR","PLCD1","LINC02550","APOA1","CCR5","USP13","FBXO40","ZBED9",NA,NA,"EPS8L3",NA,NA,"BCORL1","MPP3","POMGNT2","NSUN3",NA,"PCBP4","HAUS3","LINC00960","MREG","CCRL2","DISP1"
"C3orf33","ZNF35","JAML","CEP164","CCRL2","TBCCD1","SEC22A","RAD54B",NA,NA,"LINC02268",NA,NA,"SNAI3-AS1","IL12RB1","TMEM42","C3orf85",NA,"STIMATE","AC108519.1","LINC02008","IRS1","KIF9","OBSCN"
"MLF1","SEMA3B-AS1","ADAMTS8","AC026369.3","NBEAL2","RTP4","AC108673.2","ZNF213-AS1",NA,NA,"SLC35F2",NA,NA,"RAPGEFL1","CXCL6","LARS2","B4GALT4",NA,"ROBO1","ATP8A1","CADM2","MROH2A","ELP6","AL162595.1"
"PLD1","C3orf18","KCNA5","CACNA2D4","RFT1","TCTEX1D2","LINC02004","AL355816.2",NA,NA,"SYT8",NA,NA,"OGN","VDR","NBEAL2","AC108673.2",NA,"C3orf38","PARM1","VGLL3","HES6","MAP4","ARV1"
"MFN1","DCAF1","CD163L1","PUS7L","ABI3BP","FBXO45","SLC25A36","OLFML2A",NA,NA,"B3GNT3",NA,NA,"HIST3H2A","TTC9","IP6K1","AC083799.1",NA,"TXNRD3","HERC5","ZBTB11-AS1","PER2","SLC26A6","AL445524.1"
"THPO","PDZRN3","FAM66C","VDR","DZIP3","HAUS3","COMMD2","NIPSNAP3B",NA,NA,"TROAP",NA,NA,"ITGB4","SCML4","RRP9","TOPBP1",NA,"IFT122","TSPAN5","DUBR","SRGAP3","C3orf18","MAP10"
"CLDN16","CPOX","SSPN","IKZF4","TRAT1","ADRA2C","CLDN11","C17orf67",NA,NA,"PRSS22",NA,NA,"ABHD17C","ZBTB42","C3orf14","IL20RB",NA,"TMCC1-AS1","DAPP1","GUCA1C","TADA3","FAM107A","COA6-AS1"
"XXYLT1","SLC35A5","SMCO2","THAP2","CFAP44","CCDC149","NAALADL2","NETO2",NA,NA,"NLRP2",NA,NA,"PDZD4","HIST3H2A","ADGRG7","GK5",NA,"LINC02004","ALPK1","BOC","CRELD1","ATXN7","ERO1B"
"TNK2","B4GALT4","PRICKLE1","SYT1","AC083798.2","LGI2","KCNMB3","FAR2",NA,NA,"FAM86B1",NA,NA,"NALCN","PRC1","TFG","PFN2",NA,"RASA2","FGF2","ALDH1L1-AS2","VHL","SENP7","GREM2"
"CRIPAK","SLC15A2","CACNB3","TRPV4","TOPBP1","TLR6","XXYLT1","SLFN13",NA,NA,"SLC17A7",NA,NA,"KCNT2","AC008969.1","USF3","SLITRK3",NA,"LINC00886","GUCY1B1","PODXL2","ATP2B2","ZBTB11","SMYD3"
"TACC3","MCM2","WNT1","ZNF605","ZBTB38","NPNT","PIGZ","KCNQ4",NA,NA,"C19orf33",NA,NA,"PRRX1","GALNT14","ZDHHC23","SERPINI1",NA,"ARL14","ZDHHC11","PPP2R3A","NUP210","NXPE3","PGBD2"
"ABLIM2","TMCC1","MSRB3","N4BP2L2-IT2","TIPARP-AS1","CYP2U1","PDE6B","SLC45A4",NA,NA,"CREB3L1",NA,NA,"TMEM198","MSX1","GTF2E1","LRRC31",NA,"TMEM41A","AC025171.5","FAIM","CCDC174","IFT57","AC108488.1"
"PROM1","AC107027.3","CAPS2","MTRF1","MYNN","ANK2","UVSSA","SUSD4",NA,NA,"LINC01504",NA,NA,NA,"DENND1C","PLS1","CLDN11",NA,"CRYGS","EMB","FOXL2","GALNT15","C3orf85","ID2-AS1"
"KIT","KY","LINC02397","NUFIP1","TMEM44","ANAPC10","CRIPAK","CBWD3",NA,NA,"AC016773.1",NA,NA,NA,NA,"SUCNR1","TNIK",NA,"ZNF141","MAP3K1","PCOLCE2","NGLY1","SPICE1","ODC1-DT"
"DCK","HPS3","TMEM119","AL355075.4","NSG1","PRIMPOL","TMEM128","GPR160",NA,NA,"KCNK15",NA,NA,NA,NA,"RSRC1","NCEH1",NA,"S100P","PDE4D","KCNAB1","SLC4A7","ADPRH","ATP6V1C2"
"RCHY1","AC092944.1","NRAV","AL627171.2","LINC02482","DROSHA","PPP2R2C","PRRX1",NA,NA,"CYS1",NA,NA,NA,NA,"DGKG","TPRG1",NA,"LINC02447","IPO11","PTX3","LARS2","AC112484.3","LRATD1"
"WDFY3","ECT2","CLDN10","SERPINA1","HTRA3","NPR3","LINC02447","SGPP2",NA,NA,"TOLLIP-AS1",NA,NA,NA,NA,"RPL39L","LSG1",NA,"HS3ST1","ANKRA2","SLC66A1L","LZTFL1","SUCNR1","HS1BP3"
"SMARCAD1","GMNC","ITGBL1","SYNE3","ZNF518B","SLC1A3","SLC2A9","TBC1D3L",NA,NA,"SLC1A7",NA,NA,NA,NA,"ZNF721","PIGX",NA,"SEPSECS-AS1","AC008771.1","IFT80","DALRD3","SHOX2","LDAH"
"AP001816.1","RUBCN","PRIMA1","DTWD1","PACRGL","AC010457.1","TEC","ARX",NA,NA,"LIF",NA,NA,NA,NA,"IDUA","MELTF",NA,"COMMD8","FER","AC117453.1","GMPPB","SLITRK3","AC010872.2"
"GSTCD","MAN2B2","GPR132","ONECUT1","ATP8A1","FBXO4","SGCB","TWIST2",NA,NA,"CARNS1",NA,NA,NA,NA,"CTBP1-DT","MYL5",NA,"SCFD2","CAMK4","MCF2L2","CACNA2D2","AC007620.2","WDCP"
"AADAT","AC093323.1","AC023449.2","CSPG4","GNPDA2","AC008875.3","EXOC1","ZNF124",NA,NA,"SMIM6",NA,NA,NA,NA,"SLIT2","NSD2",NA,"EXOC1","RAPGEF6","CAMK2N2","SFMBT1","P3H2","DNAJC27"
"AC114291.1","LCORL","AC091057.3","GOLGA6L4","NUP54","PARP8","UGT2B10","COLQ",NA,NA,"PLBD1-AS1",NA,NA,NA,NA,"LGI2","GRK4",NA,"UBA6","DNAJC18","AC107294.2","ACTR8","TNK2","UCN"
"FASTKD3","AC095057.3","FGF7","KIF7","COQ2","ANKRD55","AFP","TMIGD2",NA,NA,"SLC6A19",NA,NA,NA,NA,"SEL1L3","SORCS2",NA,"MOB1B","TMCO6","ADIPOQ-AS1","ABI3BP","SLC26A1","IFT172"
"DROSHA","GUF1","LINC00926","MCTP2","WDFY3","RNF180","HERC5","ATP6V0D2",NA,NA,"LCN2",NA,NA,NA,NA,"N4BP2","AC005674.2",NA,"LINC02499","GRPEL2","PLAAT1","MORC1","TRMT44","SPAST"
"NPR3","USP46","CSPG4","HBA2","FAM13A-AS1","AC012636.1","INTS12",NA,NA,NA,"AC116667.1",NA,NA,NA,NA,"ANXA3","PROM1",NA,"CXCL3","AC011374.2","ATP13A5-AS1","NEPRO","LNX1","TTC27"
"ANXA2R","AC107396.1","SNHG21","HBA1","INTS12","MCTP1","TBCK",NA,NA,NA,"GULP1",NA,NA,NA,NA,"TRMT10A","LINC02484",NA,"CCNG2","GALNT10","NAT8L","SPICE1","CLOCK","QPCT"
"ZNF131","AC021146.12","AC068831.6","CCNF","LEF1-AS1","GPR150","TLR2",NA,NA,NA,"ZNF525",NA,NA,NA,NA,"C4orf54","WDR19",NA,"SPP1","SLIT3","CRMP1","ARHGAP31","PPAT","HNRNPLL"
"KIF2A","SULT1B1","RGMA","PMM2","ZGRF1","ERAP2","PDGFC",NA,NA,NA,"TCTN2",NA,NA,NA,NA,"EMCN","HOPX",NA,"HERC6","SPDL1","CC2D2A","TMEM39A","CCDC158","GEMIN6"
"TRIM23","PAQR3","ALDH1A3","OTOA","SYNPO2","C5orf56","IRF2",NA,NA,NA,"KCNN4",NA,NA,NA,NA,"CYP2U1","COX18",NA,"AP001816.1","ZNF346","TMEM156","ITGB5","THAP9-AS1","THUMPD2"
"RAD17","SNCA","AC002310.1","GNAO1","KIAA1109","NRG2","DNAJC21",NA,NA,NA,"PCNX2",NA,NA,NA,NA,"NUDT6","SCARB2",NA,"TET2","MRNIP","LIMCH1","SLC41A3","LIN54","SLC8A1"
"CKMT2-AS1","TSPAN5","ZNF646","MT2A","IL15","PCDHA10","NADK2",NA,NA,NA,"SCGB2A1",NA,NA,NA,NA,"LINC02615","MRPL1",NA,"PAPSS1","HEIH","AC096586.1","AC063919.1","HELQ","DYNC2LI1"
"ATG10","CASP6","DPEP1","HP","DCLK2","FAM153A","TTC33",NA,NA,NA,"AC245884.8",NA,NA,NA,NA,"NOCT","FRAS1",NA,"MCUB","FAM50B","SPINK2","AC092969.1","ABRAXAS1","PIGF"
"AC008592.4","FAM241A","VPS9D1-AS1","AC090617.10","FAM160A1","AC106795.2","CCDC152",NA,NA,NA,"GABRP",NA,NA,NA,NA,"INPP4B","AC093827.4",NA,"GAR1","RPP40","LINC01088","IL20RB","FAM13A-AS1","CRIPT"
"KCNN2","AC097376.3","ZNF594","RAP1GAP2","FASTKD3","F13A1","CCL28",NA,NA,NA,"AF165147.1",NA,NA,NA,NA,"HHIP-AS1","NAP1L5",NA,"EXOSC9","MBOAT1","WDFY3-AS2","PAQR9","ANK2","AC008280.3"
"SNX24","IL15","HS3ST3A1","DLG4","OTULINL","LY86","ZBED3-AS1",NA,NA,NA,"PCSK4",NA,NA,NA,NA,"NPY5R","SMARCAD1",NA,"NUDT6","RIPOR2","ARHGAP24","AC091607.2","GYPE","AC016747.1"
"HBEGF","GUCY1A1","RSKR","CDRT4","C1QTNF3","GFOD1","MSH3",NA,NA,NA,"PMM2",NA,NA,NA,NA,"CDKN2AIP","NPNT",NA,"MAP9","BTN2A2","MAPK10","TIPARP-AS1","SLC10A7","CEP68"
"SPRY4","AC104083.1","AC243829.1","SPAG5","BRIX1","AL023583.1","ACOT12",NA,NA,NA,"TESC",NA,NA,NA,NA,"STOX2","BBS7",NA,"PPID","BTN2A1","UNC5C","PIK3CA","TLR2","SPRED2"
"DOCK2","VEGFC","FZD2","SLC4A1","CARD6","ID4","CETN3",NA,NA,NA,"Z69706.1",NA,NA,NA,NA,"GOLPH3","INTU",NA,"AC093788.1","UBD","BANK1","EEF1AKMT4","LRAT","FBXO48"
"SH3PXD2B","SNHG18","HIGD1B","METTL2A","PLCXD3","BTN3A1","POLR3G",NA,NA,NA,"ARHGEF16",NA,NA,NA,NA,"NUP155","MFSD8",NA,"HPF1","MDC1","CENPE","VPS8","FSTL5","GMCL1"
"ZNF346","ADAMTS12","TSPOAP1-AS1","AC005332.5","CDK7","ZKSCAN8","RFESD",NA,NA,NA,"ZNF285",NA,NA,NA,NA,"OSMR","NOCT",NA,"C1QTNF3","DDR1","PDE5A","TCTEX1D2","NAF1","LINC01816"
"NSD1","AC008966.2","NDUFV2-AS1","SLC16A6","AC008972.1","UBD","YTHDC2",NA,NA,NA,"FLVCR1-DT",NA,NA,NA,NA,"RICTOR","MAML3",NA,"AC010245.2","AL645933.2","MAD2L1","UBXN7","AC093788.1","ANKRD53"
"DBN1","ANKRD55","PSMA8","ABCA10","TCF7","NRM","TICAM2",NA,NA,NA,"LINC01315",NA,NA,NA,NA,"AC093297.2","SMAD1",NA,"AP3B1","PHF1","PRDM5","ZNF595","DDX60L","CYP26B1"
"FAM153CP","SGTB","AC068506.1","ZNF521","RELL2","NCR3","DMXL1",NA,NA,NA,"MTCL1",NA,NA,NA,NA,"MRPS36","ARHGAP10",NA,"RASA1","PPIL1","PCDH18","SLC26A1","HPF1","SMYD5"
"RUFY1","AC112206.2","RTTN","TTR","AFAP1L1","FKBPL","ALDH7A1",NA,NA,NA,"ZNF546",NA,NA,NA,NA,"CDK7","TMEM154",NA,"EPB41L4A","FGD2","SCOC-AS1","FAM193A","MFAP3L","CCDC142"
"FLT4","FAM169A","LINC01836","MRO","THG1L","EGFL8","LMNB1",NA,NA,NA,"TMEM45B",NA,NA,NA,NA,"F2RL1","TMEM144",NA,"TNFAIP8","TREM2","RNF150","CCDC96","HMGB2","LBX2"
"EXOC2","CMYA5","GNA15","ELAC1","PTTG1","ITPR3","CDKN2AIPNL",NA,NA,NA,"PAN3-AS1",NA,NA,NA,NA,"RASGRF2","CPE",NA,"FAM53C","CUL7","DCLK2","HTRA3","HAND2-AS1","TRABD2A"
"SLC22A23","ATG10","TMIGD2","ZNF407","AC106795.2","SUPT3H","JADE2",NA,NA,NA,"KCNJ15",NA,NA,NA,NA,"ZCCHC9","PRIMPOL",NA,"HARS2","CUL9","GLRB","RAB28","CDKN2AIP","POLR1A"
"SNRNP48","CCDC112","CNN1","GZMM","TRIM52","BMP5","PROB1",NA,NA,NA,"CEP135",NA,NA,NA,NA,"SSBP2","CCDC127",NA,"MFAP3","SUPT3H","FAM198B-AS1","DCAF16","TPPP","CNNM4"
"TBC1D7","SEMA6A","AC008770.3","GNA15","EDN1","FIG4","PFDN1",NA,NA,NA,"SEMA3E",NA,NA,NA,NA,"NUDT12","OTULIN",NA,"LINC00847","PKHD1","C4orf46","SEPSECS-AS1","C5orf49","ANKRD23"
"HMGN4","DTWD2","MEF2B","VMAC","HFE","CALHM6","HMGXB3",NA,NA,NA,"AC080013.1",NA,NA,NA,NA,"FBXL17","EGFLAM",NA,"FAM50B","GSTA4","SAP30","WDR19","CDH6","FAHD2B"
"GABBR1","C5orf56","AC008736.1","LRRC8E","BTN3A3","MED23","MED7",NA,NA,NA,"FENDRR",NA,NA,NA,NA,"EPB41L4A","AC010457.1",NA,"AL031123.5","SDHAF4","AC093849.2","FIP1L1","CARD6","ANKRD36B"
"C6orf136","PCDHB11","ARHGAP33","FBXW9","ZNF322","RGS17","RNF44",NA,NA,NA,"GCNT3",NA,NA,NA,NA,"SEMA6A","TRAPPC13",NA,"AL031058.1","KCNQ5","C5orf38","CASP6","ELOVL7","C2orf92"
"MSH5","FGF1","ZNF382","C19orf44","HIST1H2AG","TAGAP","GMDS",NA,NA,NA,"ATP10B",NA,NA,NA,NA,"DTWD2","ST8SIA4",NA,"GMNN","UBE3D","PDZD2","SEC24D","AC010359.2","TSGA10"
"STK19","LINC02202","ZNF793-AS1","FXYD7","ZKSCAN4","MAP3K4","RIOK1",NA,NA,NA,"UGT2A3",NA,NA,NA,NA,"CDKN2AIPNL","SRFBP1",NA,"CARMIL1","TRAPPC3L","CPLANE1","ANAPC10","BDP1","IL18R1"
"ATF6B","DOCK2","AC243960.1","ETV2","NKAPL","SMOC2","AL138724.1",NA,NA,NA,"CFTR",NA,NA,NA,NA,"IGIP","MIR3936HG",NA,"GTF2H4","L3MBTL3","PTGER4","GUCY1A1","WDR41","MFSD9"
"NOTCH4","SFXN1","ZNF888","ZNF566","NRM","WDR27","BTN2A2",NA,NA,NA,"FCRL5",NA,NA,NA,NA,"PCDHB14","ADRB2",NA,"CCHCR1","SAMD3","AC025171.1","LINC01612","LYSMD3","ST6GAL2"
"TEAD3","GMDS-DT","KMT5C","ZNF567","C4B","AC102953.2","MDC1",NA,NA,NA,"MPP3",NA,NA,NA,NA,"HDAC3","HMGXB3",NA,"NFKBIL1","TBPL1","AC025171.2","VEGFC","RGMB","FBLN7"
"ETV7","SLC22A23","CST2","ZFP30","AL354740.1","HDAC9","TCF19",NA,NA,NA,"RNF39",NA,NA,NA,NA,"SPRY4","MAML1",NA,"MSH5","AHI1","ESM1","LINC02362","STARD4","AC010976.2"
"USP49","AL021328.1","COX4I2","APOE","ZNF76","BBS9","C6orf47",NA,NA,NA,"B3GNT8",NA,NA,NA,NA,"ARHGAP26","PAK1IP1",NA,"ANKS1A","NUP43","ERCC8","AC099343.3","NREP","AC012306.2"
"C6orf226","SLC17A4","KIAA1755","APOC1","DEF6","AC018647.2","DXO",NA,NA,NA,"FLJ45513",NA,NA,NA,NA,"DPYSL3","ELOVL2",NA,"TEAD3","AGPAT4","RGS7BP","CASP3","FEM1C","SAP130"
"ZNF318","HIST1H4J","KCNB1","FTL","RNF8","BLVRA","C4A",NA,NA,NA,"LRRN3",NA,NA,NA,NA,"NEURL1B","JARID2",NA,"TBC1D22B","IQCE","MAST4-AS1","EXOC3-AS1","ATG12","ARHGEF4"
"TJAP1","C4A","CASS4","LILRB4","C6orf226","IKZF1","PPT2",NA,NA,NA,"CXCL6",NA,NA,NA,NA,"ZNF354B","CDKAL1",NA,"SAYSD1","CARD11","CENPH","C5orf22","LYRM7","AC016682.1"
"ADGRB3","KCTD20","LINC00205","ZNF460","NFKBIE","ZNF107","AGER",NA,NA,NA,"BAIAP2L2",NA,NA,NA,NA,"CNOT6","CASC15",NA,"FOXP4","RBAK","GTF2H2","AC025181.2","CCNI2","LINC01818"
"OGFRL1","MED20","SEPTIN5","RNF24","CLIC5","VPS37D","ZBTB9",NA,NA,NA,"PLLP",NA,NA,NA,NA,"GMDS-DT","MICA",NA,"TFEB","ETV1","PDE8B","PRLR","JADE2","TNFAIP6"
"LINC02532","BICRAL","SCARF2","TSHZ2","RCAN2","TMEM243","BTBD9",NA,NA,NA,"ITGB4",NA,NA,NA,NA,"FARS2","NELFE",NA,"PTK7","OSBPL3","PCSK1","RANBP3L","SNHG4","NEB"
"SOBP","CUL7","VPREB3","HORMAD2-AS1","SLC25A27","KMT2E-AS1","TBCC",NA,NA,NA,"C10orf143",NA,NA,NA,NA,"RREB1","UHRF1BP1",NA,"POLR1C","NOD1","KIF3A","NIPBL-DT","SLC23A1","NR4A2"
"WASF1","ICK","DUSP18","SHISAL1","SDHAF4","COG5","ICK",NA,NA,NA,"POC5",NA,NA,NA,NA,"MYLIP","PIM1",NA,"MTO1","AC006027.1","PITX1","LIFR-AS1","IGIP","WDSUB1"
"SLC16A10","DOP1A","AL022322.2","ARHGAP6","WASF1","AC006333.2","AL589935.1",NA,NA,NA,"BRICD5",NA,NA,NA,NA,"RBM24","PEX6",NA,"COL12A1","MINDY4","KIF20A","TMEM171","HBEGF","PLA2R1"
"ADAT2","UFL1","CSF2RA","AL034397.3","THEMIS","GIMAP1","RWDD2A",NA,NA,NA,"TYW1B",NA,NA,NA,NA,"HCG11","CRIP3",NA,"FILIP1","TRG-AS1","AC135457.1","POLK","GRPEL2","FASTKD1"
"EPM2A","QRSL1","AC233976.1","FOXO4","NUP43","PAXIP1-AS1","ME1",NA,NA,NA,"CLDN4",NA,NA,NA,NA,"LINC00240","EFHC1",NA,"ELOVL4","YAE1","PCDHB3","MSH3","ARHGEF37","SP5"
"STXBP5","CD24","GPR174","NHSL2","LRP11","DOK2","LINC02535",NA,NA,NA,"PSORS1C1",NA,NA,NA,NA,"DHX16","LINC01564",NA,"RNGTT","MYO1G","CARMN","NR2F1-AS1","PPARGC1B","AC007405.3"
"UST","SMPD2","NAP1L3","TRMT2B","AL596202.1","AC100861.1","RNGTT",NA,NA,NA,"CRACR2B",NA,NA,NA,NA,"SYNGAP1","COL21A1",NA,"LYRM2","ZNF680","EBF1","FAM172A","TCOF1","DCAF17"
"SYNJ2","DCBLD1","SH2D1A","GAB3","SYTL3","AC026979.2","PRDM1",NA,NA,NA,"RAPGEFL1",NA,NA,NA,NA,"ZBTB9","BAG2",NA,"FBXL4","ZNF138","STC2","LINC01023","GALNT10","AC010894.2"
"PACRG","SLC35F1","CD40LG","MT-ND1","TBP","LSM1","DDO",NA,NA,NA,"BICC1",NA,NA,NA,NA,"NUDT3","RAB23",NA,"USP45","POMZP3","RASGEF1C","TNFAIP8","TENM2","PDE11A"
"NUDT1","PLN","EDNRA","MT-ND2","GET4","DDHD2","REV3L",NA,NA,NA,NA,NA,NA,NA,NA,"AL451165.2","LGSN",NA,"SMPD2","KIAA1324L","AC008443.1","AC022101.1","BNIP1","PPP1R1C"
"ZNF316","THEMIS","ITGB4","MT-CO1","GLCCI1","OTUD6B","HSF2",NA,NA,NA,NA,NA,NA,NA,NA,"SAYSD1","RWDD2A",NA,"FIG4","SGCE","AL391422.4","FAM13B","CPEB4","OSGEPL1"
"GLCCI1","AL590617.2","INKA2","MT-CO2","ICA1","VPS13B","AKAP7",NA,NA,NA,NA,NA,NA,NA,NA,"KCNK5","TSTD3",NA,"REV3L","IFT22","TFAP2A","PCDHB14","GRK6","PMS1"
"AC004160.1","TBP","AC015726.1","MT-ATP8","AC004160.2","AZIN1-AS1","CTAGE9",NA,NA,NA,NA,NA,NA,NA,NA,"TAF8","ATG5",NA,"ZUP1","PODXL","TFAP2A-AS1","SH3RF2","DBN1","PGAP1"
"CREB5","DNAAF5","PLCD3","MT-ATP6","SNHG26","HAS2","MAP3K5",NA,NA,NA,NA,NA,NA,NA,NA,"MAD2L1BP","PPIL6",NA,"HBS1L","AC083862.3","ERVFRD-1","NDST1-AS1","MAPK9","SATB2"
"BMPER","COX19","TSHZ3","MT-CO3","OSBPL3","TATDN1","MTHFD1L",NA,NA,NA,NA,NA,NA,NA,NA,"TDRD6","RPF2",NA,"STXBP5","CNOT4","ADTRP","SLC36A1","GFPT2","FTCDNL1"
"GLI3","ICA1","TIAM2","MT-ND3","NFE2L3","PVT1","CCR6",NA,NA,NA,NA,NA,NA,NA,NA,"LINC02535","ENPP3",NA,"LATS1","DENND2A","GMPR","SGCD","GMDS","PPIL3"
"POLM","AC007130.1","AC133644.2","MT-ND4L","KCTD7","ZNF623","GET4",NA,NA,NA,NA,NA,NA,NA,NA,"SRSF12","KATNA1",NA,"AL022069.3","TRBC1","CAP2","PTTG1","LYRM4","NIF3L1"
"MYO1G","GARS-DT","WDR53","MT-ND4","GTPBP10","PDCD1LG2","ADAP1",NA,NA,NA,NA,NA,NA,NA,NA,"MAP3K7","AGPAT4",NA,"CCZ1B","CASP2","SCGN","THOC3","AL021328.1","ICA1L"
"AC027644.3","ZNF92","RFX3","MT-ND5","MTERF1","ERMP1","AC091729.3",NA,NA,NA,NA,NA,NA,NA,NA,"HACE1","LINC01558",NA,"MINDY4","AC004889.1","U91328.1","SCGB3A1","BLOC1S5","AC096772.1"
