"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
NA,"CDO1","PNMA8B",NA,"TAZ","DENND1C",NA,NA,NA,NA,"CYB561D2"
NA,"GATAD1","LMCD1-AS1",NA,"ACYP1","BLOC1S1",NA,NA,NA,NA,"EZH1"
NA,"APPBP2","APTX",NA,"MTRNR2L10","GPRC5C",NA,NA,NA,NA,"SGPP2"
NA,"TRPM8","TTLL12",NA,"CTNND1","AOC3",NA,NA,NA,NA,"SNPH"
NA,"AL442128.2","AC015912.3",NA,"TTC38","UGT2B7",NA,NA,NA,NA,"MRPL1"
NA,"ALDH1L1","ESF1",NA,"AC005393.1","ABHD14B",NA,NA,NA,NA,"XPO5"
NA,"F2RL1","ANXA2",NA,"UTRN","CD82",NA,NA,NA,NA,"AC078909.1"
NA,"CYB5A","GALNS",NA,"ZIC1","MRPS18B",NA,NA,NA,NA,"TET2"
NA,"FAN1","AL592183.1",NA,"CLPTM1","SPSB3",NA,NA,NA,NA,"C5orf56"
NA,"CYP8B1","RASGRF2",NA,"MVP","LARP4",NA,NA,NA,NA,"RP2"
NA,"TSG101","AC008764.6",NA,"SIL1","CTDSPL",NA,NA,NA,NA,"PPIL3"
NA,"THRSP","FOXP1-IT1",NA,"LAMB1","AP3M1",NA,NA,NA,NA,"RGS11"
NA,"AC097376.3","LBX2",NA,"TG","CYP51A1",NA,NA,NA,NA,"ANKRD39"
NA,"SLC13A3","CCNF",NA,"RPGRIP1","ARHGEF17",NA,NA,NA,NA,"PHF2"
NA,"ESF1","PTPRC",NA,"DDB1","LAS1L",NA,NA,NA,NA,"C2orf69"
NA,"TTC36","KLHL20",NA,"SRSF11","ATP5MC2",NA,NA,NA,NA,"ZNF236-DT"
NA,"ARSE","SH3D21",NA,"SLC22A18","CERS4",NA,NA,NA,NA,"KLHL9"
NA,"MRPL3","SPART",NA,"CALHM6","AP3S2",NA,NA,NA,NA,"NDST3"
NA,"OASL","LGR6",NA,"VMP1","UGT2B10",NA,NA,NA,NA,"LMOD1"
NA,"PHGDH","CXCL16",NA,"PMPCB","FAM234A",NA,NA,NA,NA,"VAMP1"
NA,"UFSP2","CRYBG3",NA,"ATRAID","ALDH1A1",NA,NA,NA,NA,"TIAM2"
NA,"COPB1","NEK11",NA,"FBXW5","MBD4",NA,NA,NA,NA,"GATAD2A"
NA,"PEX6","EP400",NA,"AL160153.1","DYNLRB1",NA,NA,NA,NA,"SLC41A3"
NA,"MTUS1","AL050309.1",NA,"TRAC","NUP188",NA,NA,NA,NA,"MAN1A2"
NA,"SOD1","SKA3",NA,"CD99","CEP170",NA,NA,NA,NA,"CHM"
NA,"PGP","IFIT5",NA,"NPM1","NRBP2",NA,NA,NA,NA,"PODXL2"
NA,"AXL","AC025031.1",NA,"PABPC4","APOF",NA,NA,NA,NA,"FCRLB"
NA,"CYP2C8","ANKS3",NA,"IQSEC1","LIME1",NA,NA,NA,NA,"MRVI1"
NA,"TADA2B","FNDC4",NA,"EMILIN1","TALDO1",NA,NA,NA,NA,"RNF10"
NA,"PCK2","TXLNB",NA,"AC006027.1","RIPOR1",NA,NA,NA,NA,"CNOT8"
NA,"ARL2BP","JHY",NA,"TXNDC11","TAZ",NA,NA,NA,NA,"AP000766.1"
NA,"LMTK2","RNF112",NA,"PLPP1","ALDH6A1",NA,NA,NA,NA,"IRAK2"
NA,"PIK3AP1","PCDHB2",NA,"ZDHHC4","ETFA",NA,NA,NA,NA,"COMMD10"
NA,"LEMD3","TPT1",NA,"LGALS9","ASS1",NA,NA,NA,NA,"DOLK"
NA,"Z93930.2","TREM2",NA,"MAP3K12","RNF167",NA,NA,NA,NA,"MDM1"
NA,"ST3GAL6","RNASEH1",NA,"NR3C1","ANG",NA,NA,NA,NA,"BLOC1S3"
NA,"RAPGEF2","RNF169",NA,"ANP32E","TK2",NA,NA,NA,NA,"THAP9-AS1"
NA,"AC024909.1","ZNF486",NA,"ADAR","ACACB",NA,NA,NA,NA,"AHSA1"
NA,"AF274853.1","PLAT",NA,"RWDD1","LCAT",NA,NA,NA,NA,"OTUD6B"
NA,"ACY1","TUBA1A",NA,"C17orf67","DYNLT1",NA,NA,NA,NA,"DXO"
NA,"PCDH1","ZNF208",NA,"ARRDC3","LRG1",NA,NA,NA,NA,"CD276"
NA,"FAM222A","XIAP",NA,"CARMIL3","ID2",NA,NA,NA,NA,"ELP4"
NA,"PKP4","EXOC2",NA,"GPAT4","CNIH1",NA,NA,NA,NA,"ARHGEF25"
NA,"CES2","SOX17",NA,"IGKV1-9","HAMP",NA,NA,NA,NA,"TMEM63B"
NA,"CPPED1","MRO",NA,"FUNDC2","ARID4A",NA,NA,NA,NA,"RAMAC"
NA,"KIAA2012","PIBF1",NA,"TRMT112","C1RL",NA,NA,NA,NA,"BMP2"
NA,"GNA12","TNFRSF1B",NA,"RNF145","EDEM1",NA,NA,NA,NA,"SENP1"
NA,"APOF","HPS4",NA,"PLEKHG4B","C8orf82",NA,NA,NA,NA,"ZNF224"
NA,"CES1","ZFAND5",NA,"ELOVL5","MPND",NA,NA,NA,NA,"MFN1"
NA,"SLC8B1","IGHM",NA,"CRISPLD2","CADM1",NA,NA,NA,NA,"SLC18B1"
NA,"ACSM2A","TANC2",NA,"CCDC57","SLC35D1",NA,NA,NA,NA,"AC118549.1"
NA,"ZNF277","AC026369.3",NA,"CYBC1","PCED1A",NA,NA,NA,NA,"SMYD5"
NA,"ZNF154","COG8",NA,"UROC1","ACAT1",NA,NA,NA,NA,"SEC11C"
NA,"SSTR1","ZNF761",NA,"EHBP1L1","ZNF644",NA,NA,NA,NA,"CCDC183"
NA,"AC112236.2","DUBR",NA,"EFCAB14","AK1",NA,NA,NA,NA,"IL21R"
NA,"IDNK","LINC00685",NA,NA,"CREB3L3",NA,NA,NA,NA,"ZNF620"
NA,"HSD17B6","CRYBG2",NA,NA,"HCLS1",NA,NA,NA,NA,"PET117"
NA,"JPT2","TSR1",NA,NA,"ANKRD13A",NA,NA,NA,NA,"TMEM147"
NA,"EXOC3L1","CXCL5",NA,NA,"EMP2",NA,NA,NA,NA,"SBSPON"
NA,"LYPD5","VEGFA",NA,NA,"CD93",NA,NA,NA,NA,"POLR3A"
NA,"H2AFY2","RABGAP1",NA,NA,"ARL6IP1",NA,NA,NA,NA,"RECQL5"
NA,"RCCD1","CENPB",NA,NA,"UROS",NA,NA,NA,NA,"ZKSCAN5"
NA,"SYBU","AMOT",NA,NA,"PDHA1",NA,NA,NA,NA,"PACS1"
NA,"POLR3G","COMMD9",NA,NA,"FRA10AC1",NA,NA,NA,NA,"STAM2"
NA,"ADH1C","COL6A3",NA,NA,"SNRPG",NA,NA,NA,NA,"GPRC5D-AS1"
NA,"CRACR2A","CTLA4",NA,NA,"POLR3C",NA,NA,NA,NA,"ATP11A"
NA,"SERPINA5","VIM",NA,NA,"DGCR6L",NA,NA,NA,NA,"LINC00891"
NA,"CEP57L1","CAST",NA,NA,"RAB2A",NA,NA,NA,NA,"CCDC188"
NA,"MAPK8","TCTN2",NA,NA,"ANKH",NA,NA,NA,NA,"DCTN4"
NA,"PTPN11","SAA1",NA,NA,"TGFBR3",NA,NA,NA,NA,"ATF1"
NA,"KARS","CEP57L1",NA,NA,"LILRB5",NA,NA,NA,NA,"AC106791.1"
NA,"UNC119","RNF213",NA,NA,"YWHAE",NA,NA,NA,NA,"SAMD5"
NA,"SDSL","WDR46",NA,NA,"CLDN1",NA,NA,NA,NA,"ANKRD40"
NA,"C9","PML",NA,NA,"MED16",NA,NA,NA,NA,"PVRIG"
NA,"RTN4RL2","IL17RA",NA,NA,"UBALD2",NA,NA,NA,NA,"IDUA"
NA,"FEZ2","NKAP",NA,NA,"CHKB",NA,NA,NA,NA,"AL683807.1"
NA,"MINCR","DYRK3",NA,NA,"LSR",NA,NA,NA,NA,"CRIPT"
NA,"FMO3","UCP3",NA,NA,"MLST8",NA,NA,NA,NA,"DNAJC24"
NA,"KCNK13","MTIF3",NA,NA,"HDGF",NA,NA,NA,NA,"HAGLR"
NA,"LILRB5","CHST11",NA,NA,"LEAP2",NA,NA,NA,NA,"GLI2"
NA,"CENPC","AL356019.2",NA,NA,"ARIH2",NA,NA,NA,NA,"FOXO4"
NA,"SLC7A2","AC019080.1",NA,NA,"TATDN2",NA,NA,NA,NA,"CTSK"
NA,"C1orf122","CHST15",NA,NA,"TRUB2",NA,NA,NA,NA,"EDIL3"
NA,"EFNA1","IL23A",NA,NA,"PSMD9",NA,NA,NA,NA,"SH3BP4"
NA,"ORM1","PLA2G6",NA,NA,"IST1",NA,NA,NA,NA,"KCTD15"
NA,"PDE2A","TRIM44",NA,NA,"PARL",NA,NA,NA,NA,"RALGPS2"
NA,"VKORC1","ABHD12",NA,NA,"NHP2",NA,NA,NA,NA,"TRIM5"
NA,"GTF3A","LZTFL1",NA,NA,"GID8",NA,NA,NA,NA,"HECTD4"
NA,"PMPCA","MIR210HG",NA,NA,"QARS",NA,NA,NA,NA,"DTNB"
NA,"COIL","MIGA2",NA,NA,"CD79B",NA,NA,NA,NA,"NOL9"
NA,"CCR10","ZNF525",NA,NA,"MPV17",NA,NA,NA,NA,"SLMAP"
NA,"AC011700.1","ZMPSTE24",NA,NA,"FBXO7",NA,NA,NA,NA,"PATL2"
NA,"MIR762HG","SMPD4",NA,NA,"GLDC",NA,NA,NA,NA,"ZBP1"
NA,"RARG","RIPK3",NA,NA,"PJA2",NA,NA,NA,NA,"TATDN3"
NA,"AL157394.3","ZNF503-AS2",NA,NA,"FXYD2",NA,NA,NA,NA,"ADAMTS12"
NA,"LINC02289","TRIP4",NA,NA,"ZBTB25",NA,NA,NA,NA,"HAUS3"
NA,"AC005225.2","ZNF793",NA,NA,"MFSD14C",NA,NA,NA,NA,"RAMP2"
NA,"PPP1R15A","PYGM",NA,NA,"C8G",NA,NA,NA,NA,"MRPL33"
NA,"JOSD1","SULT1C2",NA,NA,"IQGAP2",NA,NA,NA,NA,"CIAPIN1"
NA,"SIRT1","DLEU7",NA,NA,"TM9SF2",NA,NA,NA,NA,"POLA2"
NA,"EMILIN2","MED13",NA,NA,"GNB4",NA,NA,NA,NA,"TPSAB1"
NA,"NDUFAB1","MAFG",NA,NA,"GMIP",NA,NA,NA,NA,"PORCN"
NA,"F11R","STK32B",NA,NA,"DGAT1",NA,NA,NA,NA,"ARSG"
NA,"APOB","SPATA12",NA,NA,"RMDN1",NA,NA,NA,NA,"NAIP"
NA,"AC046134.2","DHX29",NA,NA,"PLEKHA1",NA,NA,NA,NA,"JAZF1"
NA,"MTTP","USP48",NA,NA,"AARSD1",NA,NA,NA,NA,"SP4"
NA,"POR","C9orf72",NA,NA,"C4orf48",NA,NA,NA,NA,"AC002398.2"
NA,"AC097500.1","SLIT2",NA,NA,"TMED9",NA,NA,NA,NA,"ZFYVE9"
NA,"AL109936.2","NHLH1",NA,NA,"PGLYRP2",NA,NA,NA,NA,"SH3BP5-AS1"
NA,"GC","BRMS1",NA,NA,"PKIG",NA,NA,NA,NA,"COL11A1"
NA,"ETFB","TMF1",NA,NA,"PCMTD1",NA,NA,NA,NA,"NUDT14"
NA,"MGLL","BBOF1",NA,NA,"RHOQ",NA,NA,NA,NA,"MECOM"
NA,"TOP3B","RBBP6",NA,NA,"PON1",NA,NA,NA,NA,"BRWD3"
NA,"FAM13A","DDX23",NA,NA,"AP1AR",NA,NA,NA,NA,"SLC39A10"
NA,"AL592435.1","AL117336.2",NA,NA,"TSC2",NA,NA,NA,NA,"MRPS6"
NA,"AC036214.2","SMC2",NA,NA,"TNFSF12",NA,NA,NA,NA,"TFAM"
NA,"MUC5B","HAUS2",NA,NA,"ZCCHC24",NA,NA,NA,NA,"FAM200B"
NA,"FAAH","CRP",NA,NA,"TSTD1",NA,NA,NA,NA,"UMPS"
NA,"CSMD2","SLC30A7",NA,NA,"RAD23A",NA,NA,NA,NA,"TCF12"
NA,"ORMDL3","EZH1",NA,NA,"BCAP31",NA,NA,NA,NA,"HIRIP3"
NA,"SRPX","NCOA7",NA,NA,"PRKAG1",NA,NA,NA,NA,"LRRC32"
NA,"STXBP4","CCT2",NA,NA,"PYGL",NA,NA,NA,NA,"NMNAT1"
NA,"AC104041.1","CDR2",NA,NA,"INHBC",NA,NA,NA,NA,"ALDH1A3"
NA,"UBE3D","C17orf97",NA,NA,"INSIG1",NA,NA,NA,NA,"GPR157"
NA,"ABCG8","SHPK",NA,NA,"GABARAPL2",NA,NA,NA,NA,"RTL8C"
NA,"AHSA1","MED12",NA,NA,"RBP1",NA,NA,NA,NA,"ABCC9"
NA,"PRMT5","FAM207A",NA,NA,"TMX4",NA,NA,NA,NA,"CCL11"
NA,"AC078795.2","AC015871.4",NA,NA,"ADK",NA,NA,NA,NA,"APH1B"
NA,"LCN2","BIRC3",NA,NA,"SDR39U1",NA,NA,NA,NA,"ICOS"
NA,"PDE3B","ACTB",NA,NA,"TBRG4",NA,NA,NA,NA,"GNPAT"
NA,"MBIP","CRK",NA,NA,"DHCR7",NA,NA,NA,NA,"ANGEL1"
NA,"TRIM14","NKAPL",NA,NA,"HTRA1",NA,NA,NA,NA,"MMD"
NA,"C3","HIST1H1B",NA,NA,"C7orf50",NA,NA,NA,NA,"ZNF43"
NA,"ACTL6A","FHL1",NA,NA,"UBAC2",NA,NA,NA,NA,"BX546450.2"
NA,"STX5","ZNF136",NA,NA,"CD46",NA,NA,NA,NA,"IARS"
NA,"FKBP4","TMEM181",NA,NA,"NR1H3",NA,NA,NA,NA,"SCRN1"
NA,"MEGF9","AP5M1",NA,NA,"PPP2R1A",NA,NA,NA,NA,"NMRAL1"
NA,"HARBI1","CABLES2",NA,NA,"CALHM6",NA,NA,NA,NA,"KCTD7"
NA,"HAPLN2","EML6",NA,NA,"CMTM7",NA,NA,NA,NA,"ZNF397"
NA,"Z83745.1","CDH3",NA,NA,"KLKB1",NA,NA,NA,NA,"BHLHE41"
NA,"TBC1D9B","CCDC18",NA,NA,"TRIO",NA,NA,NA,NA,"GSTP1"
NA,"DCXR","SCAF11",NA,NA,"ELAVL1",NA,NA,NA,NA,"POLR3H"
NA,"IPO9","AC005899.5",NA,NA,"F10",NA,NA,NA,NA,"ALKAL2"
NA,"ABCB9","ATL1",NA,NA,"USP8",NA,NA,NA,NA,"PTRHD1"
NA,"PON1","EXOSC2",NA,NA,"MFF",NA,NA,NA,NA,"AC002347.1"
NA,"CES5A","ATP1A2",NA,NA,"F7",NA,NA,NA,NA,"RNF11"
NA,"MAP2K4","ALG11",NA,NA,"SMTN",NA,NA,NA,NA,"VRK3"
NA,"RPUSD2","MXRA5",NA,NA,"DYNLL2",NA,NA,NA,NA,"CLEC1A"
NA,"AL356488.3","CBFA2T3",NA,NA,"ELF3",NA,NA,NA,NA,"DERL3"
NA,"RAMAC","ASAP1-IT2",NA,NA,"SQOR",NA,NA,NA,NA,"LYPD6B"
NA,"PFN2","ZMYND10",NA,NA,"RBFOX2",NA,NA,NA,NA,"GREB1"
NA,"LINC02453","TIMP1",NA,NA,"PNPLA2",NA,NA,NA,NA,"FAM66B"
NA,"OXR1","LIMK2",NA,NA,"MRPL4",NA,NA,NA,NA,"COPS8"
NA,"PGM1","IGF1",NA,NA,"AGPAT2",NA,NA,NA,NA,"LMTK2"
NA,"IGKV2D-28","ZSCAN22",NA,NA,"LAP3",NA,NA,NA,NA,"NKAP"
NA,"ACO1","AL121832.2",NA,NA,"PLG",NA,NA,NA,NA,"AC104506.1"
NA,"CRLF1","NR2F2",NA,NA,"UBP1",NA,NA,NA,NA,"KIAA0586"
NA,"POLR2F","AZI2",NA,NA,"CARMN",NA,NA,NA,NA,"XBP1"
NA,"DECR2","CCDC144NL-AS1",NA,NA,"ACO1",NA,NA,NA,NA,"ARHGEF3"
NA,"DOK5","AC009549.1",NA,NA,"EHD4",NA,NA,NA,NA,"SRM"
NA,"FGF11","ZNF12",NA,NA,"P4HTM",NA,NA,NA,NA,"WDR25"
NA,"PLCB4","C9orf85",NA,NA,"SDC4",NA,NA,NA,NA,"ZC3H12A"
NA,"ALDOB","HRCT1",NA,NA,"LGR4",NA,NA,NA,NA,"ST6GALNAC3"
NA,"AC005562.1","MDM2",NA,NA,"HPR",NA,NA,NA,NA,"AL159169.2"
NA,"DTX4","ALDH1A3",NA,NA,"VEGFA",NA,NA,NA,NA,"EIF2B1"
NA,"RANBP10","ARHGAP24",NA,NA,"PROS1",NA,NA,NA,NA,"RASAL2-AS1"
NA,"UGT2B4","ASB9",NA,NA,"MEF2A",NA,NA,NA,NA,"LPXN"
NA,"ZNF135","TRIM66",NA,NA,"PPP3CB",NA,NA,NA,NA,"NSD2"
NA,"RELN","MDM4",NA,NA,"HSPA4",NA,NA,NA,NA,"DNM3"
NA,"CIART","SMARCD3",NA,NA,"ECH1",NA,NA,NA,NA,"ASXL3"
NA,"PCBP1-AS1","NLRP2",NA,NA,"TMCO1",NA,NA,NA,NA,"PIM1"
NA,"GSTZ1","CCDC40",NA,NA,"NOTCH2",NA,NA,NA,NA,"ZNF559"
NA,"ZNF711","MPP2",NA,NA,"FLII",NA,NA,NA,NA,"HSPB6"
NA,"AL135999.1","KIF3C",NA,NA,"PSMC6",NA,NA,NA,NA,"AC069224.1"
NA,"HGFAC","MAP1LC3B2",NA,NA,"GAMT",NA,NA,NA,NA,"UNC119B"
NA,"CREBZF","SHE",NA,NA,"SS18",NA,NA,NA,NA,"DNAJC3-DT"
NA,"DCPS","IQSEC3",NA,NA,"ACOT13",NA,NA,NA,NA,"AFF3"
NA,"MTURN","ZNF507",NA,NA,"CLPTM1L",NA,NA,NA,NA,"C17orf58"
NA,"AC016727.1","IGLV2-23",NA,NA,"AOX1",NA,NA,NA,NA,"PSMD13"
NA,"PDCD1LG2","ADAMTS6",NA,NA,"HGD",NA,NA,NA,NA,"ZNF229"
NA,"CMSS1","GARS-DT",NA,NA,"PYGB",NA,NA,NA,NA,"MARK2"
NA,"EXOC3","FGF14-AS2",NA,NA,"BUD31",NA,NA,NA,NA,"TMEM185A"
NA,"UBASH3A","TRAPPC3",NA,NA,"NDUFA7",NA,NA,NA,NA,"TOPBP1"
NA,"AC146507.3","SVIL",NA,NA,"EFEMP2",NA,NA,NA,NA,"AC007485.1"
NA,"PAXIP1-AS2","AC068446.2",NA,NA,"TOMM40",NA,NA,NA,NA,"AC109361.1"
NA,"RAB21","SLC7A5",NA,NA,"ARF4",NA,NA,NA,NA,"TMEM251"
NA,"F12","MYO9B",NA,NA,"ELMSAN1",NA,NA,NA,NA,"MAPK3"
NA,"RAB4A","C5orf30",NA,NA,"SLCO1B1",NA,NA,NA,NA,"CALHM5"
NA,"JAK2","RBMX",NA,NA,"PFKL",NA,NA,NA,NA,"CTDP1"
NA,"ATP5PF","SLC30A1",NA,NA,"SHFL",NA,NA,NA,NA,"TPBG"
NA,"UBTF","C1QB",NA,NA,"ZNF133",NA,NA,NA,NA,"ARMC7"
NA,"UBQLNL","TADA2B",NA,NA,"CDC42EP1",NA,NA,NA,NA,"AP4S1"
NA,"KIF15","KDM5D",NA,NA,"PLIN2",NA,NA,NA,NA,"ARAP1"
NA,"ZNF891","TNNT1",NA,NA,"TOMM22",NA,NA,NA,NA,"TRA2B"
NA,"AC103702.2","AC016588.2",NA,NA,"ECI2",NA,NA,NA,NA,"C9orf43"
NA,"ZNF773","AURKA",NA,NA,"PPM1B",NA,NA,NA,NA,"PACC1"
NA,"AKR7A3","ULBP3",NA,NA,"TMEM183A",NA,NA,NA,NA,"KLHL8"
NA,"GPRC5C","EXOC7",NA,NA,"PRKAR1A",NA,NA,NA,NA,"TMEM198"
NA,"EMC6","TECTA",NA,NA,"NDUFA5",NA,NA,NA,NA,"ZNF607"
NA,"NSG1","CFTR",NA,NA,"SEC16A",NA,NA,NA,NA,"MAST2"
NA,"FAM180A","MCOLN3",NA,NA,"PDCD6IP",NA,NA,NA,NA,"COL14A1"
NA,"TTYH2","PARVG",NA,NA,"CTCF",NA,NA,NA,NA,"WDR62"
NA,"PTPRN2","SART3",NA,NA,"CYGB",NA,NA,NA,NA,"AC107959.1"
NA,"ZSCAN30","MEFV",NA,NA,"ISOC2",NA,NA,NA,NA,"PRG3"
NA,"URI1","ELP6",NA,NA,"JTB",NA,NA,NA,NA,"ZDHHC11"
NA,"ZBED6CL","ZFP37",NA,NA,"LRRC32",NA,NA,NA,NA,"KIF2A"
NA,"ZNF683","C20orf194",NA,NA,"CCDC159",NA,NA,NA,NA,"RAB11FIP5"
NA,"HECTD4","C5AR1",NA,NA,"SLC39A14",NA,NA,NA,NA,"FAM204A"
NA,"DCAF11","TBX6",NA,NA,"DHCR24",NA,NA,NA,NA,"ICAM4"
NA,"VAC14","MID1",NA,NA,"WAC",NA,NA,NA,NA,"DCN"
NA,"MRPS18C","METAP2",NA,NA,"ZBTB38",NA,NA,NA,NA,"AL021368.3"
NA,"KLF9","ZNF69",NA,NA,"MSL1",NA,NA,NA,NA,"PLEKHG5"
NA,"RIMS3","GPM6B",NA,NA,"SMARCD2",NA,NA,NA,NA,"KIAA1755"
NA,"CYP4F2","ZNF552",NA,NA,"GSTA1",NA,NA,NA,NA,"SEMA4A"
NA,"TTC39C","BEX4",NA,NA,"MRPL41",NA,NA,NA,NA,"TMSB15B"
NA,"POLE4","AL355388.2",NA,NA,"PPIL2",NA,NA,NA,NA,"CTDNEP1"
NA,"TTC38","RAD17",NA,NA,"ZDHHC7",NA,NA,NA,NA,"TECPR2"
NA,"ASS1","TRAK1",NA,NA,"SPON2",NA,NA,NA,NA,"COMTD1"
NA,"TIMM10","SERPINE1",NA,NA,"MGST1",NA,NA,NA,NA,"AC023509.3"
NA,"SLC33A1","CCL2",NA,NA,"SLC16A3",NA,NA,NA,NA,"ASB7"
NA,"AC015871.4","LRRC69",NA,NA,"ATP6AP2",NA,NA,NA,NA,"RPUSD4"
NA,"YIPF5","SLC6A6",NA,NA,"SMC1A",NA,NA,NA,NA,"WRAP53"
NA,"ISOC1","INTS4",NA,NA,"ANXA7",NA,NA,NA,NA,"AC023043.1"
NA,"DHRS3","AL135925.1",NA,NA,"C6",NA,NA,NA,NA,"CTNNBL1"
NA,"EDNRB","ZNF267",NA,NA,"NNT",NA,NA,NA,NA,"MEIS2"
NA,"AL355312.2","AC107959.1",NA,NA,"CSKMT",NA,NA,NA,NA,"RALY-AS1"
NA,"HPRT1","FAM186B",NA,NA,"MZT2A",NA,NA,NA,NA,"CHST14"
NA,"ZNF568","AL359504.2",NA,NA,"SARS",NA,NA,NA,NA,"ORAI2"
NA,"PTH1R","U2SURP",NA,NA,"COX5A",NA,NA,NA,NA,"PARN"
NA,"NR2F6","ZBTB43",NA,NA,"HAO1",NA,NA,NA,NA,"NAB1"
NA,"CHERP","U2AF1",NA,NA,"FOXK2",NA,NA,NA,NA,"GALT"
NA,"LINC01485","EID2",NA,NA,"TMEM238",NA,NA,NA,NA,"PLA2G2D"
NA,"ABCB10","GOLGA1",NA,NA,"KLF9",NA,NA,NA,NA,"ZNF628"
NA,"RPS6KA5","SETDB2",NA,NA,"DDT",NA,NA,NA,NA,"BMP6"
NA,"HSD17B2","BTN3A2",NA,NA,"SERPINA7",NA,NA,NA,NA,"PREB"
NA,"AC007182.1","ZCWPW2",NA,NA,"STAT5B",NA,NA,NA,NA,"VSIG10L"
NA,"BDH2","NADSYN1",NA,NA,"CYP4F3",NA,NA,NA,NA,"SMAD1"
NA,"NIPSNAP1","TERF2",NA,NA,"NFE2L1",NA,NA,NA,NA,"TNIP3"
NA,"AC244197.2","PLAUR",NA,NA,"MAOA",NA,NA,NA,NA,"TFAP2C"
NA,"HNMT","FBXO33",NA,NA,"IVD",NA,NA,NA,NA,"RYR3"
NA,"AP000873.4","DRP2",NA,NA,"SLC35C2",NA,NA,NA,NA,"FOXM1"
NA,"HAPLN4","SKAP2",NA,NA,"TMUB2",NA,NA,NA,NA,"EXTL3"
NA,"ARHGAP44","COG7",NA,NA,"VAV2",NA,NA,NA,NA,"SMAD4"
NA,"BTD","MED20",NA,NA,"ADH5",NA,NA,NA,NA,"IP6K2"
NA,"CHPT1","KLC3",NA,NA,"SPP2",NA,NA,NA,NA,"LINC01550"
NA,"PAPPA","AC007448.4",NA,NA,"DVL1",NA,NA,NA,NA,"FNBP1"
NA,"COMT","PRDM1",NA,NA,"PMP22",NA,NA,NA,NA,"FAM126B"
NA,"BDH1","UBE2E2",NA,NA,"RPS27L",NA,NA,NA,NA,"CTR9"
NA,"YPEL5","LRRC34",NA,NA,"ZNF22",NA,NA,NA,NA,"NOXA1"
NA,"ANKRD6","NPIPB3",NA,NA,"ICAM3",NA,NA,NA,NA,"MPP6"
NA,"SLC25A27","EHBP1L1",NA,NA,"AGXT",NA,NA,NA,NA,"DCTN1"
NA,"ROM1","CDK2AP1",NA,NA,"PSEN1",NA,NA,NA,NA,"ADAMTS1"
NA,"ZMAT3","ARL11",NA,NA,"TMEM179B",NA,NA,NA,NA,"FBXL8"
NA,"TMX1","INTS6",NA,NA,"HTATIP2",NA,NA,NA,NA,"ATF7"
NA,"EEF1AKMT2","AC026202.2",NA,NA,"CYCS",NA,NA,NA,NA,"COPE"
NA,"HSD17B12","AL049840.4",NA,NA,"TNFRSF10B",NA,NA,NA,NA,"MGP"
NA,"AC008267.5","LINC02325",NA,NA,"SNHG8",NA,NA,NA,NA,"TBX2"
NA,"ZSCAN25","PROM1",NA,NA,"CDK13",NA,NA,NA,NA,"CASP2"
NA,"AL138976.2","AC253572.2",NA,NA,"CCNT2",NA,NA,NA,NA,"MRPS12"
NA,"PAX8","KLRC4",NA,NA,"COPG1",NA,NA,NA,NA,"DDX41"
NA,"HACD3","S100A9",NA,NA,"TMEM47",NA,NA,NA,NA,"RGS4"
NA,"HMGCLL1","CEP19",NA,NA,"PRDX3",NA,NA,NA,NA,"A4GALT"
NA,"APCS","DNASE2",NA,NA,"ATRN",NA,NA,NA,NA,"TTC27"
NA,"MT-ND4L","VPS45",NA,NA,"CES2",NA,NA,NA,NA,"MED13L"
NA,"ZNF329","AL360020.1",NA,NA,"SLC25A1",NA,NA,NA,NA,"CRISPLD2"
NA,"TGFBRAP1","KRT80",NA,NA,"RAB32",NA,NA,NA,NA,"HACD4"
NA,"STEAP4","TRIM56",NA,NA,"TMEM176A",NA,NA,NA,NA,"LINC01010"
NA,"EIF6","GNAI2",NA,NA,"NOB1",NA,NA,NA,NA,"RUNX3"
NA,"CCDC186","TRADD",NA,NA,"APLP2",NA,NA,NA,NA,"ATP9B"
NA,"LDHD","ZRSR2",NA,NA,"RNPEPL1",NA,NA,NA,NA,"ARFGAP3"
NA,"RTF1","NDOR1",NA,NA,"NDUFB10",NA,NA,NA,NA,"SLC30A4"
NA,"GATM","NCKAP5",NA,NA,"CST7",NA,NA,NA,NA,"C22orf34"
NA,"ANG","AC016074.2",NA,NA,"PRG4",NA,NA,NA,NA,"ZBED5"
NA,"NDUFB4","LOXL2",NA,NA,"ZNF106",NA,NA,NA,NA,"LINC02541"
NA,"AC104958.2","AL356056.1",NA,NA,"SLC25A13",NA,NA,NA,NA,"AL121929.3"
NA,"KLHL15","SPATS2L",NA,NA,"MMADHC",NA,NA,NA,NA,"TRIM33"
NA,"ABCA8","AC007066.2",NA,NA,"MANF",NA,NA,NA,NA,"PRPF31"
NA,"CEP295NL","HYI",NA,NA,"PQBP1",NA,NA,NA,NA,"RPL39L"
NA,"CUTC","TMEM150C",NA,NA,"TNPO1",NA,NA,NA,NA,"IER3IP1"
NA,"TAF6","BMERB1",NA,NA,"APOM",NA,NA,NA,NA,"THAP11"
NA,"RAB4B","UCN",NA,NA,"ABI1",NA,NA,NA,NA,"C19orf81"
